,0,1,2,3,4,5,6,7,8,9,10,11
0,, , , , ,CONTAINER RAIL MOVES HISTORY, ,PIER CONTAINER HISTORY, , ,TEU HISTORY, 
1,0.0,0,0,PERIOD,INTERMODAL,CHS RAIL MOVES RATIO,LOADED,EMPTY,TOTAL,LOADED,EMPTY,TOTAL
2,1.0,1,1,,DRAYS,,EXPORT IMPORT,EXPORT IMPORT,,EXPORT IMPORT,EXPORT IMPORT,
36,35.0,35,35,"April, 2000",0,0 0.00%,"3 5,414 3 1,519","6 ,239 4 ,688","7 7,860","6 2,583 5 5,329","1 0,069 7 ,995","1 35,976"
37,36.0,36,36,"May, 2000",0,0 0.00%,"3 1,082 2 9,463","8 ,218 5 ,818","7 4,581","5 5,266 5 1,596","1 3,702 1 0,558","1 31,121"
38,37.0,37,37,"June, 2000",0,0 0.00%,"3 5,624 3 2,133","8 ,861 6 ,444","8 3,062","6 2,461 5 5,823","1 4,674 1 1,157","1 44,114"
39,38.0,38,38,"July, 2000",0,0 0.00%,"2 9,308 3 2,291","1 3,576 6 ,332","8 1,507","5 1,352 5 6,508","2 3,260 1 1,682","1 42,801"
40,39.0,39,39,"August, 2000",0,0 0.00%,"3 1,644 3 2,316","1 2,470 2 ,995","7 9,425","5 5,954 5 6,109","2 1,374 5 ,427","1 38,864"
41,40.0,40,40,"September, 2000",0,0 0.00%,"3 1,915 2 9,893","1 1,473 5 ,501","7 8,782","5 6,296 5 2,058","1 9,584 9 ,749","1 37,687"
42,41.0,41,41,"October, 2000",0,0 0.00%,"2 9,386 3 0,298","1 1,095 6 ,504","7 7,283","5 1,614 5 2,729","1 8,460 1 2,055","1 34,857"
43,42.0,42,42,"November, 2000",0,0 0.00%,"3 2,646 3 0,836","1 0,313 5 ,783","7 9,578","5 7,025 5 2,925","1 7,882 9 ,429","1 37,261"
44,43.0,43,43,"December, 2000",0,0 0.00%,"2 9,396 3 2,121","1 2,299 7 ,057","8 0,873","5 1,675 5 5,555","2 0,743 1 2,013","1 39,985"
45,44.0,44,44,"January, 2001",0,0 0.00%,"2 8,323 2 6,727","9 ,247 7 ,037","7 1,334","4 9,769 4 6,228","1 4,402 1 1,177","1 21,575"
46,45.0,45,45,"February, 2001",0,0 0.00%,"3 1,070 2 9,437","1 0,805 4 ,628","7 5,940","5 4,435 5 0,980","1 7,827 7 ,615","1 30,857"
47,46.0,46,46,"March, 2001",0,0 0.00%,"3 3,571 3 2,120","8 ,440 7 ,161","8 1,292","5 9,320 5 5,879","1 3,869 1 2,354","1 41,422"
