, , , , ,CONTAINER RAIL MOVES HISTORY, ,PIER CONTAINER HISTORY, , ,TEU HISTORY, 
0,0,0,PERIOD,INTERMODAL,CHS RAIL MOVES RATIO,LOADED,EMPTY,TOTAL,LOADED,EMPTY,TOTAL
1,1,1,,DRAYS,,EXPORT IMPORT,EXPORT IMPORT,,EXPORT IMPORT,EXPORT IMPORT,
36,36,36,"April, 2020","20,683","20,683 20.52%","3 0,945 4 7,445","1 9,683 2 ,737","1 00,810","5 6,611 8 2,899","3 1,463 5 ,178","1 76,152"
37,37,37,"May, 2020","22,290","22,290 22.75%","3 2,356 4 2,210","2 0,496 2 ,904","9 7,966","5 8,972 7 3,072","3 2,400 5 ,262","1 69,705"
38,38,38,"June, 2020","25,358","25,358 28.48%","3 1,524 3 9,770","1 5,606 2 ,127","8 9,027","5 7,935 6 9,775","2 5,021 3 ,762","1 56,494"
39,39,39,"July, 2020","27,145","27,145 27.30%","3 1,230 4 5,879","2 0,819 1 ,503","9 9,431","5 7,628 8 1,530","3 5,140 2 ,676","1 76,974"
40,40,40,"August, 2020","30,355","30,355 26.11%","3 6,134 5 3,956","2 4,952 1 ,206","1 16,248","6 6,825 9 6,965","4 2,817 2 ,230","2 08,837"
41,41,41,"September, 2020","29,134","29,134 27.02%","3 2,916 5 0,045","2 1,886 2 ,969","1 07,816","6 0,245 9 0,399","3 8,804 5 ,653","1 95,101"
42,42,42,"October, 2020","31,724","31,724 26.44%","3 7,757 5 3,820","2 5,406 3 ,003","1 19,986","6 9,093 9 6,563","4 4,717 5 ,824","2 16,196"
43,43,43,"November, 2020","29,755","29,755 25.90%","3 5,209 5 1,963","2 5,407 2 ,320","1 14,899","6 4,447 9 3,369","4 5,090 4 ,161","2 07,066"
44,44,44,"December, 2020","31,349","31,349 26.87%","3 6,438 5 2,279","2 5,396 2 ,572","1 16,685","6 7,239 9 3,568","4 3,990 4 ,810","2 09,606"
45,45,45,"January, 2021","29,172","29,172 24.06%","3 6,871 5 3,639","2 8,234 2 ,492","1 21,236","6 7,937 9 5,478","4 8,224 4 ,626","2 16,265"
46,46,46,"February, 2021","29,185","29,185 28.72%","3 6,498 4 5,852","1 7,341 1 ,918","1 01,609","6 7,411 8 1,899","2 9,293 3 ,666","1 82,269"
47,47,47,"March, 2021","34,661","34,661 25.14%","4 2,695 6 3,565","2 6,779 4 ,816","1 37,855","7 9,077 1 13,867","4 6,872 8 ,981","2 48,796"
48,48,48,"April, 2021","27,718","27,718 22.01%","3 9,605 5 8,936","2 4,813 2 ,605","1 25,959","7 3,333 1 05,054","4 2,252 4 ,497","2 25,136"
49,49,49,"May, 2021","26,624","26,624 20.72%","3 9,374 5 9,701","2 5,917 3 ,527","1 28,519","7 3,281 1 07,050","4 4,445 6 ,095","2 30,870"
50,50,50,"June, 2021","27,827","27,827 21.63%","3 7,476 5 8,643","2 7,623 4 ,880","1 28,622","6 8,990 1 05,668","4 8,037 9 ,064","2 31,758"
51,51,51,"July, 2021","25,607","25,607 18.67%","3 5,511 6 6,686","3 1,678 3 ,283","1 37,158","6 5,655 1 19,445","5 4,188 5 ,534","2 44,821"
52,52,52,"August, 2021","26,381","26,381 20.18%","3 5,107 6 3,698","2 9,845 2 ,079","1 30,729","6 5,207 1 14,671","5 1,084 3 ,727","2 34,688"
53,53,53,"September, 2021","25,967","25,967 22.88%","3 3,068 5 4,718","2 4,183 1 ,517","1 13,486","6 1,705 9 8,208","4 2,152 2 ,943","2 05,008"
54,54,54,"October, 2021","27,344","27,344 20.97%","3 6,270 6 0,370","3 0,772 3 ,005","1 30,417","6 7,595 1 07,773","5 3,612 5 ,943","2 34,923"
55,55,55,"November, 2021","28,821","28,821 20.80%","3 6,145 7 0,530","2 8,006 3 ,892","1 38,573","6 7,639 1 27,081","4 8,819 7 ,172","2 50,711"
56,56,56,"December, 2021","29,007","29,007 21.10%","3 0,540 6 5,900","3 7,253 3 ,813","1 37,506","5 7,136 1 18,710","6 4,055 6 ,298","2 46,198"
57,57,57,"January, 2022","22,947","22,947 18.29%","2 8,925 6 4,938","3 0,078 1 ,511","1 25,452","5 4,256 1 17,181","5 2,103 2 ,976","2 26,515"
58,58,58,"February, 2022","23,160","23,160 18.17%","2 9,059 6 6,274","3 1,160 9 99","1 27,492","5 4,755 1 19,582","5 4,141 1 ,942","2 30,420"
59,59,59,"March, 2022","27,201","27,201 18.71%","3 6,451 7 3,257","3 4,684 1 ,023","1 45,415","6 9,017 1 32,203","6 1,093 2 ,021","2 64,334"
60,60,60,"April, 2022","23,873","23,873 16.38%","2 9,393 7 7,946","3 7,725 7 15","1 45,779","5 5,571 1 40,730","6 6,405 1 ,392","2 64,099"
61,61,61,"May, 2022","25,391","25,391 17.90%","2 8,347 7 0,380","4 2,137 9 59","1 41,823","5 3,312 1 26,320","7 3,638 1 ,835","2 55,104"
62,62,62,"June, 2022","23,590","23,590 21.62%","2 3,672 5 0,610","3 4,012 8 30","1 09,124","4 4,694 9 0,090","5 9,788 1 ,653","1 96,225"
63,63,63,"July, 2022","19,798","19,798 16.52%","2 6,159 5 8,440","3 4,246 1 ,027","1 19,872","4 9,309 1 04,846","6 0,020 1 ,923","2 16,097"
64,64,64,"August, 2022","21,500","21,500 17.48%","2 7,763 6 2,517","3 1,687 1 ,044","1 23,011","5 1,884 1 13,864","5 5,630 2 ,034","2 23,411"
