, , , , ,CONTAINER RAIL MOVES HISTORY, ,PIER CONTAINER HISTORY, , ,TEU HISTORY, 
0,0,0,PERIOD,INTERMODAL,CHS RAIL MOVES RATIO,LOADED,EMPTY,TOTAL,LOADED,EMPTY,TOTAL
1,1,1,,DRAYS,,EXPORT IMPORT,EXPORT IMPORT,,EXPORT IMPORT,EXPORT IMPORT,
2,2,2,"March, 2007",0,0 0.00%,"3 6,005 4 0,763","1 3,453 3 ,688","9 3,909","6 3,864 7 1,351","2 2,290 6 ,451","1 63,956"
3,3,3,"April, 2007",0,0 0.00%,"3 2,213 3 8,543","1 3,124 3 ,000","8 6,880","5 7,123 6 7,630","2 3,076 5 ,285","1 53,114"
4,4,4,"May, 2007",0,0 0.00%,"3 2,392 3 6,573","1 1,811 3 ,576","8 4,352","5 6,601 6 3,664","2 0,705 6 ,221","1 47,191"
5,5,5,"June, 2007",0,0 0.00%,"3 4,022 3 9,287","1 1,356 3 ,417","8 8,082","5 9,492 6 9,010","2 0,043 5 ,488","1 54,033"
6,6,6,"July, 2007",0,0 0.00%,"2 8,562 3 6,043","1 2,085 3 ,144","7 9,834","4 9,389 6 2,877","2 0,938 4 ,544","1 37,748"
7,7,7,"August, 2007",0,0 0.00%,"3 2,735 3 8,484","1 2,680 3 ,664","8 7,563","5 6,556 6 7,641","2 1,867 5 ,169","1 51,233"
8,8,8,"September, 2007",0,0 0.00%,"3 2,486 3 6,866","1 0,856 3 ,407","8 3,615","5 5,804 6 4,723","1 9,339 5 ,679","1 45,544"
9,9,9,"October, 2007",0,0 0.00%,"3 1,543 3 4,949","9 ,630 3 ,054","7 9,176","5 4,775 6 1,404","1 7,770 5 ,184","1 39,132"
10,10,10,"November, 2007",0,0 0.00%,"3 3,888 3 4,242","9 ,013 4 ,197","8 1,340","5 8,674 5 9,831","1 5,614 7 ,455","1 41,573"
11,11,11,"December, 2007",0,0 0.00%,"3 2,703 3 4,191","6 ,113 4 ,030","7 7,037","5 6,843 5 9,525","1 0,936 7 ,425","1 34,729"
12,12,12,"January, 2008",0,0 0.00%,"3 0,752 3 1,070","8 ,088 4 ,628","7 4,538","5 3,662 5 4,027","1 3,623 7 ,562","1 28,874"
13,13,13,"February, 2008",0,0 0.00%,"3 5,806 3 4,734","7 ,077 3 ,661","8 1,278","6 3,023 6 0,573","1 1,593 5 ,725","1 40,913"
