, , , , ,CONTAINER RAIL MOVES HISTORY, ,PIER CONTAINER HISTORY, , ,TEU HISTORY, 
14,14,14,"March, 2008",0,0 0.00%,"3 3,529 3 6,025","6 ,872 3 ,336","7 9,762","5 8,681 6 2,682","1 2,006 6 ,105","1 39,474"
15,15,15,"April, 2008",0,0 0.00%,"3 4,525 3 4,418","6 ,542 3 ,598","7 9,083","6 0,652 5 9,653","1 0,724 6 ,667","1 37,695"
16,16,16,"May, 2008",0,0 0.00%,"3 6,997 3 8,183","9 ,441 4 ,816","8 9,437","6 5,520 6 6,335","1 6,634 9 ,064","1 57,553"
17,17,17,"June, 2008",0,0 0.00%,"3 4,715 3 2,781","7 ,187 5 ,445","8 0,128","6 1,250 5 7,055","1 1,922 9 ,809","1 40,036"
18,18,18,"July, 2008",0,0 0.00%,"3 2,461 3 4,476","6 ,846 5 ,636","7 9,419","5 6,722 6 0,131","1 1,587 9 ,751","1 38,191"
19,19,19,"August, 2008",0,0 0.00%,"3 5,856 3 5,666","9 ,181 4 ,982","8 5,685","6 3,186 6 2,454","1 5,442 8 ,113","1 49,195"
20,20,20,"September, 2008",0,0 0.00%,"3 1,291 3 1,219","5 ,908 3 ,188","7 1,606","5 5,917 5 4,680","1 0,135 5 ,424","1 26,156"
21,21,21,"October, 2008",0,0 0.00%,"3 0,468 3 6,462","1 2,894 4 ,050","8 3,874","5 4,294 6 3,890","2 1,174 7 ,521","1 46,878"
22,22,22,"November, 2008",0,0 0.00%,"2 5,465 2 9,314","1 1,728 4 ,462","7 0,969","4 5,581 5 0,779","1 9,243 7 ,629","1 23,231"
23,23,23,"December, 2008",0,0 0.00%,"2 2,197 2 5,641","1 0,759 2 ,647","6 1,244","3 9,781 4 4,378","1 8,203 4 ,977","1 07,339"
24,24,24,"January, 2009",0,0 0.00%,"2 2,667 2 5,757","9 ,597 3 ,013","6 1,034","4 0,885 4 4,577","1 5,532 5 ,429","1 06,423"
25,25,25,"February, 2009",0,0 0.00%,"2 1,776 2 3,890","6 ,479 3 ,397","5 5,542","3 9,290 4 1,790","9 ,922 6 ,545","9 7,547"
26,26,26,"March, 2009",0,0 0.00%,"2 2,691 2 2,754","4 ,657 3 ,151","5 3,253","4 0,589 3 9,113","7 ,991 5 ,847","9 3,540"
27,27,27,"April, 2009",0,0 0.00%,"2 1,579 2 2,387","6 ,222 3 ,311","5 3,499","3 8,247 3 8,650","1 0,568 6 ,467","9 3,932"
28,28,28,"May, 2009",0,0 0.00%,"2 3,945 2 3,335","4 ,457 4 ,004","5 5,741","4 2,148 4 0,454","7 ,298 7 ,704","9 7,603"
29,29,29,"June, 2009",0,0 0.00%,"2 1,434 2 1,968","4 ,564 2 ,388","5 0,354","3 7,912 3 8,179","7 ,377 4 ,477","8 7,945"
30,30,30,"July, 2009",0,0 0.00%,"2 3,173 2 7,002","5 ,495 2 ,933","5 8,603","4 0,876 4 6,992","9 ,011 5 ,327","1 02,205"
31,31,31,"August, 2009",0,0 0.00%,"2 2,960 2 2,954","6 ,227 4 ,637","5 6,778","4 0,202 3 9,696","1 0,089 8 ,687","9 8,674"
32,32,32,"September, 2009",0,0 0.00%,"2 4,086 2 3,196","4 ,279 5 ,288","5 6,849","4 1,615 4 0,551","7 ,248 9 ,239","9 8,653"
33,33,33,"October, 2009",0,0 0.00%,"2 6,269 2 7,150","5 ,872 3 ,855","6 3,146","4 5,916 4 6,823","9 ,694 6 ,872","1 09,305"
34,34,34,"November, 2009",0,0 0.00%,"2 4,695 2 2,979","4 ,708 4 ,657","5 7,039","4 2,729 3 9,867","7 ,549 8 ,169","9 8,313"
35,35,35,"December, 2009",0,0 0.00%,"2 4,194 2 3,748","3 ,238 5 ,697","5 6,877","4 1,946 4 0,572","5 ,474 9 ,226","9 7,217"
36,36,36,"January, 2010",0,0 0.00%,"2 5,620 2 3,454","5 ,800 6 ,970","6 1,844","4 4,557 4 0,088","9 ,667 1 1,511","1 05,822"
37,37,37,"February, 2010",0,0 0.00%,"2 6,001 2 3,658","4 ,385 5 ,448","5 9,492","4 4,674 4 1,044","7 ,018 9 ,164","1 01,900"
38,38,38,"March, 2010",0,0 0.00%,"2 8,114 2 4,954","4 ,081 9 ,098","6 6,247","4 8,900 4 2,533","6 ,336 1 5,982","1 13,750"
39,39,39,"April, 2010",0,0 0.00%,"2 9,791 2 8,013","5 ,700 5 ,253","6 8,757","5 1,997 4 8,127","9 ,061 8 ,372","1 17,556"
40,40,40,"May, 2010",0,0 0.00%,"2 6,386 2 8,152","8 ,247 5 ,453","6 8,238","4 6,106 4 8,487","1 4,049 9 ,428","1 18,070"
41,41,41,"June, 2010",0,0 0.00%,"2 6,026 2 6,709","8 ,397 6 ,206","6 7,338","4 5,552 4 6,044","1 3,897 1 0,804","1 16,297"
42,42,42,"July, 2010",0,0 0.00%,"2 6,982 3 0,977","1 0,073 5 ,786","7 3,818","4 7,366 5 3,611","1 7,170 9 ,815","1 27,963"
43,43,43,"August, 2010",0,0 0.00%,"2 5,953 2 9,378","1 0,162 3 ,220","6 8,713","4 4,855 5 0,959","1 7,368 4 ,871","1 18,053"
44,44,44,"September, 2010",0,0 0.00%,"2 3,436 2 7,740","7 ,087 2 ,795","6 1,058","4 0,938 4 8,182","1 2,331 4 ,829","1 06,279"
45,45,45,"October, 2010",0,0 0.00%,"2 8,226 2 8,805","8 ,162 4 ,736","6 9,929","4 9,466 5 0,210","1 3,573 7 ,980","1 21,229"
46,46,46,"November, 2010",0,0 0.00%,"2 6,251 2 6,119","6 ,880 6 ,001","6 5,251","4 5,081 4 4,968","1 1,803 8 ,864","1 10,716"
47,47,47,"December, 2010",0,0 0.00%,"2 4,599 2 5,297","6 ,638 5 ,871","6 2,405","4 2,411 4 3,466","1 0,711 1 0,279","1 06,866"
48,48,48,"January, 2011",0,0 0.00%,"2 8,048 2 7,097","5 ,635 5 ,083","6 5,863","4 8,560 4 6,757","9 ,176 8 ,207","1 12,699"
49,49,49,"February, 2011",0,0 0.00%,"2 6,956 2 5,042","5 ,527 6 ,013","6 3,538","4 6,998 4 3,254","8 ,759 9 ,983","1 08,994"
50,50,50,"March, 2011",0,0 0.00%,"3 0,641 2 8,561","4 ,481 6 ,143","6 9,826","5 3,731 4 9,143","6 ,832 1 0,559","1 20,265"
51,51,51,"April, 2011",0,0 0.00%,"2 6,814 2 8,295","6 ,650 4 ,671","6 6,430","4 7,371 4 8,818","1 0,394 8 ,082","1 14,664"
52,52,52,"May, 2011",0,0 0.00%,"2 7,618 2 8,791","8 ,133 5 ,034","6 9,576","4 9,256 4 9,589","1 2,716 8 ,979","1 20,539"
53,53,53,"June, 2011",0,0 0.00%,"2 4,853 2 9,865","7 ,813 4 ,037","6 6,568","4 4,310 5 1,459","1 2,140 7 ,360","1 15,268"
54,54,54,"July, 2011",0,0 0.00%,"2 4,475 2 9,845","8 ,273 2 ,667","6 5,260","4 3,169 5 1,477","1 4,010 4 ,848","1 13,503"
55,55,55,"August, 2011",0,0 0.00%,"2 5,761 3 0,461","8 ,697 1 ,465","6 6,384","4 5,122 5 2,896","1 4,374 2 ,442","1 14,833"
56,56,56,"September, 2011",0,0 0.00%,"2 7,929 3 0,650","9 ,182 4 ,504","7 2,265","4 9,181 5 3,511","1 4,972 7 ,367","1 25,032"
57,57,57,"October, 2011",0,0 0.00%,"2 6,284 2 8,644","7 ,074 3 ,702","6 5,704","4 6,130 5 0,041","1 1,343 6 ,136","1 13,650"
58,58,58,"November, 2011",0,0 0.00%,"2 4,928 2 8,989","7 ,024 3 ,439","6 4,380","4 4,176 5 0,331","1 1,754 6 ,171","1 12,431"
59,59,59,"December, 2011",0,0 0.00%,"2 6,385 2 7,832","4 ,880 3 ,988","6 3,085","4 7,151 4 8,218","7 ,503 6 ,600","1 09,472"
60,60,60,"January, 2012",0,0 0.00%,"2 4,196 2 8,296","7 ,700 4 ,434","6 4,626","4 3,327 4 9,100","1 2,169 7 ,979","1 12,575"
61,61,61,"February, 2012",0,0 0.00%,"2 8,043 2 8,488","5 ,720 5 ,253","6 7,504","5 0,439 4 9,706","8 ,938 9 ,970","1 19,052"
62,62,62,"March, 2012",0,0 0.00%,"3 0,066 3 2,502","8 ,802 5 ,675","7 7,045","5 3,445 5 6,104","1 4,564 1 0,746","1 34,857"
63,63,63,"April, 2012",166,166 0.23%,"2 6,526 3 0,418","1 0,260 3 ,903","7 1,107","4 7,230 5 2,895","1 6,333 6 ,980","1 23,439"
64,64,64,"May, 2012",377,377 0.50%,"2 8,300 3 4,053","9 ,933 3 ,330","7 5,616","5 0,349 5 9,830","1 5,971 6 ,348","1 32,498"
65,65,65,"June, 2012","1,791","1,791 2.60%","2 5,730 2 9,297","9 ,325 4 ,523","6 8,875","4 5,679 5 1,457","1 5,459 8 ,370","1 20,964"
66,66,66,"July, 2012","2,134","2,134 2.84%","2 7,663 3 3,504","1 1,208 2 ,826","7 5,201","4 8,774 5 8,853","1 9,200 4 ,941","1 31,767"
67,67,67,"August, 2012","1,944","1,944 2.48%","2 8,482 3 4,549","1 1,105 4 ,144","7 8,280","5 0,697 6 0,670","1 8,584 7 ,088","1 37,039"
68,68,68,"September, 2012","1,884","1,884 2.52%","2 9,823 3 0,334","1 0,626 3 ,889","7 4,672","5 2,983 5 3,272","1 8,194 7 ,238","1 31,686"
69,69,69,"October, 2012","3,553","3,553 5.16%","2 5,465 2 9,681","1 0,925 2 ,774","6 8,845","4 5,383 5 2,202","1 8,189 5 ,036","1 20,810"
70,70,70,"November, 2012","2,140","2,140 2.99%","2 8,335 3 1,085","7 ,222 4 ,875","7 1,517","5 0,573 5 4,458","1 2,105 8 ,644","1 25,780"
71,71,71,"December, 2012","3,990","3,990 5.61%","3 1,541 2 7,907","6 ,739 4 ,918","7 1,105","5 6,155 4 8,425","1 0,849 8 ,691","1 24,120"
72,72,72,"January, 2013","5,715","5,715 8.26%","2 6,324 2 8,749","9 ,757 4 ,326","6 9,156","4 6,812 4 9,992","1 6,224 8 ,259","1 21,286"
73,73,73,"February, 2013","6,610","6,610 8.82%","3 2,684 3 1,571","6 ,198 4 ,486","7 4,939","5 8,022 5 5,083","9 ,954 8 ,576","1 31,634"
74,74,74,"March, 2013","6,361","6,361 8.23%","3 2,255 3 1,226","7 ,156 6 ,676","7 7,313","5 7,193 5 4,886","1 2,210 1 2,588","1 36,877"
75,75,75,"April, 2013","6,584","6,584 8.54%","3 0,962 3 0,980","9 ,914 5 ,204","7 7,060","5 4,832 5 3,650","1 7,058 9 ,178","1 34,718"
76,76,76,"May, 2013","7,256","7,256 9.10%","3 1,433 3 3,554","1 0,224 4 ,485","7 9,696","5 5,837 5 8,371","1 7,035 7 ,900","1 39,143"
77,77,77,"June, 2013","6,876","6,876 9.55%","2 9,805 2 9,709","8 ,515 3 ,977","7 2,006","5 2,541 5 1,365","1 3,937 7 ,414","1 25,257"
78,78,78,"July, 2013","9,653","9,653 12.52%","2 7,627 3 2,299","1 1,545 5 ,655","7 7,126","4 8,598 5 6,631","1 9,942 1 0,988","1 36,159"
79,79,79,"August, 2013","8,432","8,432 10.22%","3 2,235 3 4,230","1 2,369 3 ,651","8 2,485","5 7,065 6 0,021","2 0,893 6 ,670","1 44,649"
80,80,80,"September, 2013","8,279","8,279 10.95%","2 9,441 3 1,315","1 0,582 4 ,257","7 5,595","5 2,321 5 4,943","1 7,863 7 ,885","1 33,011"
81,81,81,"October, 2013","9,885","9,980 12.61%","2 9,618 3 3,170","1 1,532 4 ,822","7 9,142","5 3,010 5 8,825","2 0,085 9 ,129","1 41,049"
82,82,82,"November, 2013","8,606","9,361 12.46%","3 0,691 3 1,016","8 ,974 4 ,433","7 5,114","5 5,448 5 4,663","1 5,034 8 ,336","1 33,481"
83,83,83,"December, 2013","8,561","9,424 13.43%","2 7,407 2 9,748","8 ,355 4 ,685","7 0,195","4 9,221 5 2,103","1 3,928 8 ,851","1 24,103"
84,84,84,"January, 2014","10,229","11,211 15.29%","2 9,166 3 0,957","8 ,385 4 ,795","7 3,303","5 3,013 5 4,425","1 3,266 8 ,859","1 29,562"
85,85,85,"February, 2014","12,409","13,823 18.74%","2 9,599 3 0,290","8 ,063 5 ,810","7 3,762","5 3,661 5 3,169","1 2,641 1 0,277","1 29,747"
86,86,86,"March, 2014","13,082","14,726 17.20%","3 5,453 3 6,200","7 ,794 6 ,169","8 5,616","6 4,272 6 2,980","1 2,341 1 0,923","1 50,516"
87,87,87,"April, 2014","14,234","16,251 18.79%","3 3,636 3 6,151","1 1,906 4 ,812","8 6,505","6 0,641 6 2,982","1 8,995 9 ,173","1 51,790"
88,88,88,"May, 2014","13,496","15,686 17.06%","3 5,494 3 7,011","1 2,165 7 ,278","9 1,948","6 4,102 6 4,704","1 9,394 1 3,459","1 61,658"
89,89,89,"June, 2014","13,132","15,062 17.54%","3 1,433 3 5,400","1 4,737 4 ,324","8 5,894","5 6,802 6 2,107","2 3,037 7 ,237","1 49,183"
90,90,90,"July, 2014","15,401","17,119 19.48%","3 0,616 3 7,459","1 4,865 4 ,942","8 7,882","5 5,739 6 5,888","2 3,450 8 ,840","1 53,916"
91,91,91,"August, 2014","13,670","15,766 16.91%","3 3,703 3 7,192","1 5,620 6 ,706","9 3,221","6 0,727 6 5,453","2 5,878 1 1,913","1 63,970"
92,92,92,"September, 2014","14,552","16,977 19.82%","3 0,925 3 5,810","1 3,640 5 ,263","8 5,638","5 6,216 6 2,655","2 2,486 9 ,432","1 50,790"
93,93,93,"October, 2014","14,580","17,465 18.49%","3 2,948 4 0,380","1 6,289 4 ,853","9 4,470","6 0,174 7 0,326","2 5,990 8 ,182","1 64,672"
94,94,94,"November, 2014","12,839","14,892 18.06%","3 1,511 3 4,604","1 2,900 3 ,451","8 2,466","5 7,519 6 0,087","2 0,376 6 ,237","1 44,218"
95,95,95,"December, 2014","14,884","16,547 20.16%","2 9,908 3 5,388","1 3,323 3 ,457","8 2,076","5 4,578 6 0,804","2 0,993 5 ,581","1 41,956"
96,96,96,"January, 2015","15,176","17,577 19.83%","3 0,561 3 7,597","1 5,482 4 ,979","8 8,619","5 5,859 6 5,101","2 2,982 8 ,976","1 52,917"
97,97,97,"February, 2015","15,019","17,555 20.35%","3 4,839 3 4,915","1 1,451 5 ,053","8 6,258","6 4,063 6 1,486","1 7,835 9 ,542","1 52,925"
98,98,98,"March, 2015","17,331","19,623 20.19%","3 6,480 3 9,676","1 5,619 5 ,416","9 7,191","6 6,428 6 9,414","2 4,985 1 0,286","1 71,113"
99,99,99,"April, 2015","17,823","20,543 21.36%","3 4,620 4 1,041","1 5,014 5 ,491","9 6,166","6 2,946 7 0,763","2 4,167 1 0,306","1 68,182"
100,100,100,"May, 2015","17,845","20,783 19.98%","3 6,278 4 3,332","2 0,485 3 ,908","1 04,003","6 5,657 7 6,069","3 2,991 7 ,092","1 81,809"
101,101,101,"June, 2015","19,820","22,896 23.62%","3 4,288 4 0,894","1 8,054 3 ,680","9 6,916","6 1,976 7 1,535","2 9,627 6 ,776","1 69,913"
102,102,102,"July, 2015","20,622","23,615 23.82%","3 3,049 4 2,913","1 9,994 3 ,188","9 9,144","6 0,038 7 5,666","3 3,751 5 ,768","1 75,223"
103,103,103,"August, 2015","19,354","22,597 23.40%","3 4,596 4 0,333","1 8,693 2 ,937","9 6,559","6 2,762 7 0,827","3 1,363 5 ,575","1 70,528"
104,104,104,"September, 2015","20,052","23,344 24.86%","3 3,075 3 9,944","1 8,528 2 ,360","9 3,907","6 0,504 7 0,426","3 2,088 4 ,531","1 67,549"
105,105,105,"October, 2015","17,558","20,480 22.01%","3 3,003 4 1,804","1 5,463 2 ,776","9 3,046","5 9,961 7 4,046","2 5,535 5 ,192","1 64,734"
106,106,106,"November, 2015","16,729","19,479 22.62%","3 2,691 3 6,179","1 4,588 2 ,662","8 6,120","5 9,482 6 3,485","2 5,518 5 ,109","1 53,594"
107,107,107,"December, 2015","17,364","19,948 24.21%","2 9,414 3 7,662","1 3,401 1 ,921","8 2,398","5 3,739 6 6,381","2 1,158 3 ,441","1 44,718"
108,108,108,"January, 2016","14,317","17,715 21.61%","2 8,660 3 7,384","1 4,051 1 ,898","8 1,993","5 2,290 6 6,295","2 3,083 3 ,425","1 45,092"
109,109,109,"February, 2016","17,184","20,664 23.31%","3 5,193 3 9,059","1 1,597 2 ,794","8 8,643","6 3,961 6 9,477","1 9,286 5 ,238","1 57,962"
110,110,110,"March, 2016","18,176","22,072 22.96%","3 4,129 4 2,055","1 6,314 3 ,625","9 6,123","6 2,398 7 4,288","2 7,458 6 ,596","1 70,740"
111,111,111,"April, 2016","15,007","18,959 21.22%","3 3,645 3 9,092","1 4,975 1 ,614","8 9,326","6 1,560 6 8,813","2 4,527 3 ,060","1 57,959"
112,112,112,"May, 2016","17,639","21,160 21.00%","3 6,366 4 3,904","1 8,576 1 ,928","1 00,774","6 6,552 7 7,225","3 0,398 3 ,691","1 77,865"
113,113,113,"June, 2016","16,298","19,347 21.79%","3 1,725 4 0,879","1 4,341 1 ,828","8 8,773","5 8,068 7 1,822","2 3,768 3 ,550","1 57,207"
114,114,114,"July, 2016","17,670","20,382 20.31%","3 4,103 4 5,908","1 7,992 2 ,363","1 00,366","6 2,160 8 1,120","2 9,410 4 ,575","1 77,265"
115,115,115,"August, 2016","21,833","25,536 25.25%","3 5,593 4 3,301","1 9,825 2 ,406","1 01,125","6 5,220 7 7,223","3 3,198 4 ,512","1 80,153"
116,116,116,"September, 2016","18,512","22,371 24.37%","3 4,383 4 1,810","1 2,827 2 ,764","9 1,784","6 2,598 7 4,009","2 1,130 5 ,121","1 62,858"
117,117,117,"October, 2016","17,203","21,198 22.17%","3 6,420 4 4,168","1 2,239 2 ,781","9 5,608","6 6,187 7 8,341","2 0,217 4 ,732","1 69,477"
118,118,118,"November, 2016","19,447","22,993 23.22%","3 5,426 4 1,621","1 7,552 4 ,442","9 9,041","6 5,099 7 3,910","2 8,225 7 ,984","1 75,217"
119,119,119,"December, 2016","17,937","20,881 22.46%","3 4,155 4 0,273","1 4,909 3 ,619","9 2,956","6 2,618 7 0,813","2 4,214 6 ,836","1 64,480"
120,120,120,"January, 2017","18,418","21,848 20.85%","3 6,386 4 7,157","1 8,062 3 ,187","1 04,792","6 6,868 8 3,098","2 9,299 5 ,753","1 85,018"
121,121,121,"February, 2017","19,766","23,367 23.78%","3 6,219 4 1,644","1 6,691 3 ,705","9 8,259","6 6,296 7 3,855","2 8,682 6 ,988","1 75,820"
122,122,122,"March, 2017","19,966","24,296 22.30%","3 8,649 4 5,759","1 9,677 4 ,876","1 08,961","7 0,347 8 1,137","3 2,265 8 ,662","1 92,411"
123,123,123,"April, 2017","16,979","21,537 20.06%","3 6,642 4 7,035","2 0,390 3 ,273","1 07,340","6 6,911 8 2,897","3 3,717 5 ,791","1 89,315"
124,124,124,"May, 2017","25,002","25,002 24.17%","3 8,280 4 4,681","1 7,352 3 ,149","1 03,462","6 9,862 7 8,398","2 8,207 5 ,986","1 82,452"
