, , , , ,CONTAINER RAIL MOVES HISTORY, ,PIER CONTAINER HISTORY, , ,TEU HISTORY, 
0,0,0,PERIOD,INTERMODAL,CHS RAIL MOVES RATIO,LOADED,EMPTY,TOTAL,LOADED,EMPTY,TOTAL
1,1,1,,DRAYS,,EXPORT IMPORT,EXPORT IMPORT,,EXPORT IMPORT,EXPORT IMPORT,
2,2,2,"July, 1997",0,0 0.00%,"2 5,562 2 2,855","3 ,002 7 ,390","5 8,809","4 3,734 3 8,533","5 ,010 1 3,241","1 00,518"
3,3,3,"August, 1997",0,0 0.00%,"2 7,963 2 1,439","3 ,178 6 ,314","5 8,894","4 7,827 3 5,836","5 ,028 1 1,043","9 9,734"
4,4,4,"September, 1997",0,0 0.00%,"2 6,648 2 1,328","3 ,338 6 ,899","5 8,213","4 5,075 3 5,943","5 ,561 1 2,582","9 9,161"
5,5,5,"October, 1997",0,0 0.00%,"2 6,617 2 4,101","2 ,906 8 ,549","6 2,173","4 5,376 4 0,723","4 ,418 1 4,773","1 05,290"
6,6,6,"November, 1997",0,0 0.00%,"2 7,321 1 9,382","1 ,922 8 ,804","5 7,429","4 6,387 3 2,463","3 ,328 1 4,473","9 6,651"
7,7,7,"December, 1997",0,0 0.00%,"2 7,416 2 3,654","3 ,720 1 0,510","6 5,300","4 6,982 3 9,316","5 ,917 1 9,097","1 11,312"
8,8,8,"January, 1998",0,0 0.00%,"2 6,613 2 1,529","4 ,092 9 ,699","6 1,933","4 6,011 3 6,497","6 ,241 1 7,940","1 06,689"
9,9,9,"February, 1998",0,0 0.00%,"2 8,663 2 1,683","3 ,537 7 ,382","6 1,265","4 8,942 3 6,994","5 ,496 1 3,085","1 04,517"
10,10,10,"March, 1998",0,0 0.00%,"3 0,727 2 4,213","2 ,888 1 0,127","6 7,955","5 2,986 4 1,411","4 ,393 1 7,669","1 16,459"
11,11,11,"April, 1998",0,0 0.00%,"2 8,713 2 4,212","2 ,212 6 ,753","6 1,890","4 9,520 4 1,318","3 ,104 1 2,387","1 06,329"
12,12,12,"May, 1998",0,0 0.00%,"2 9,036 2 4,144","3 ,536 7 ,670","6 4,386","5 0,518 4 1,284","5 ,360 1 3,543","1 10,705"
13,13,13,"June, 1998",0,0 0.00%,"2 6,501 2 2,850","3 ,165 6 ,869","5 9,385","4 5,460 3 9,215","5 ,073 1 2,146","1 01,894"
