, , ,ORIGIN,Cut/Avail,M,Tu,W,Th,F,Sa,Su,Fastest
0,0,0,"AUSTELL, GA",CUTOFF,M 0001,Tu 0001,W 0001,Th 0001,F 0001,Sa 0001,Su 0001,2 Day
1,1,1,"CHARLESTON, SC",AVAILABLE,W 0800,Th 0800,F 0800,Sa 0800,Su 0800,M 0800,T 0800,
2,2,2,"CHARLOTTE, NC",CUTOFF,M 1100,Tu 1100,W 1100,Th 1100,F 1100,,,3 Days
3,3,3,"CHARLESTON, SC",AVAILABLE,Th 0800,F 0800,Sa 0800,Su 0800,M 0800,,,
4,4,4,"CHICAGO LANDERS, IL",CUTOFF,M 1500,Tu 1500,W 1500,Th 1500,F 1500,Sa 1500,Su 1500,5 Days
5,5,5,"CHARLESTON, SC",AVAILABLE,Sa 0800,Su 0800,M 0800,Tu 0800,W 0800,Th 0800,F 0800,
6,6,6,"CINCINNATI, OH",CUTOFF,M 1700,Tu 1700,W 1700,Th 1700,F 1700,,,7 Days
7,7,7,"CHARLESTON, SC",AVAILABLE,M 0800,Tu 0800,W 0800,Th 0800,F 0800,,,
8,8,8,"GREER, SC",CUTOFF,M 1500,Tu 1500,W 1500,Th 1500,F 1500,Sa 1500,,1 Day
9,9,9,"CHARLESTON, SC",AVAILABLE,Tu 1600,W 1600,Th 1600,F 1600,Sa 1600,Su 1600,,
10,10,10,"HUNTSVILLE, AL",CUTOFF,M 1600,Tu 1600,W 1600,Th 1600,F 1600,,,4 Days
11,11,11,"CHARLESTON, SC",AVAILABLE,F 0800,Sa 0800,M 0800,M 0800,Tu 0800,,,
12,12,12,"LOUISVILLE, KY",CUTOFF,M 1730,Tu 1730,W 1730,Th 1730,F 1730,,,5 Days
13,13,13,"CHARLESTON, SC",AVAILABLE,Sa 0800,Su 0800,M 0800,Tu 0800,W 0800,,,
14,14,14,"MEMPHIS, TN",CUTOFF,,Tu 1800,W 1800,Th 1800,F 1800,Sa 1800,,4 Days
15,15,15,"CHARLESTON, SC",AVAILABLE,,Sa 0800,M 0800,Tu 0800,W 0800,Th 0800,,
16,16,16,"NEW ORLEANS, LA",CUTOFF,M 1500,,,,F 1500,,,6 Days
17,17,17,"CHARLESTON, SC",AVAILABLE,Su 0800,,,,F 0800,,,
18,18,18,"WYLIE INTERMODAL, TX",CUTOFF,M 1700,Tu 1700,W 1700,Th 1700,F 1700,,,5 Days
19,19,19,"CHARLESTON, SC",AVAILABLE,Sa 0800,M 0800,M 0800,Tu 0800,W 0800,,,
