,Port,2010 short tons,Rank,Port,Short tons 2009,Port,Short tons 2009
19,"Albany, NY","5,726",68,Brownsville (TX),"4,616","Escanaba, MI","4,855"
20,"Stoneport, MI","5,652",69,Bridgeport (CT),"4,535","Stoneport, MI","4,847"
21,"Wilmington, DE","5,629",70,Conneaut (OH),"3,558","Calcite, MI","4,796"
22,"Calcite, MI","5,590",71,Morehead City (NC),"3,498","Brownsville, TX","4,674"
23,"Louisville, KY","5,465",72,Port Manatee,"3,288","Bridgeport, CT","4,577"
24,"New Castle, DE","5,050",73,Port Dolmite (MI),"3,249","Wilmington, DE","4,482"
25,"Port Inland, MI","4,868",74,Portsmouth(NH),"2,964","St. Paul, MN","4,148"
26,"Ashtabula, OH","4,716",75,Panama City (FL),"2,891","Nikishka, AK","4,065"
27,"Conneaut, OH","4,669",76,Anchorage (AK),"2,770","Burns  Harbor, IN","4,026"
28,"St. Paul, MN","4,588",77,Marblehead (OH),"2,588","Portsmouth, NH","3,583"
29,"Nikishka, AK","4,525",78,Saginaw River (MI),"2,521","Silver Bay, MN","3,552"
30,"Escanaba, MI","4,128",79,Fall River (MA),"2,517","Port Inland, MI","3,506"
31,"Port Manatee, FL","3,724",80,Canaveral (FL),"2,510","Ashtabula, OH","3,448"
32,"Morehead City, NC","3,570",81,Brunswick (GA),"2,438","Fall River, MA","3,423"
33,"Victoria, TX","3,528",82,Milwaukee (WI),"2,435","Milwaukee, WI","3,381"
34,"Kahului, Maui, HI","3,504",83,Monroe (MI),"2,413","Vicksburg, MS","3,316"
35,"Stockton, CA","3,482",84,Palm Beach (FL),"2,374","Morehead City, NC","3,278"
36,"Port Canaveral, FL","3,462",85,Sandusky (OH),"2,304","Biloxi, MS","3,233"
37,"Portsmouth, NH","3,047",86,Alpena (MI),"2,148","Conneaut, OH","3,122"
38,"Port Dolomite, MI","2,959",87,Kahului (HI),"2,114","Port Manatee, FL","2,898"
39,"Marblehead, OH","2,938",88,Gulfport (MS),"2,080","Kivilina, AK","2,678"
40,"Milwaukee, WI","2,901",89,Searsport (ME),"1,987","Panama City, FL","2,461"
41,"Anchorage, AK","2,784",90,Green Bay (WI),"1,910","Palm Beach, FL","2,342"
42,"Kivilina, AK","2,706",91,Ponce (PR),"1,843","Port Dolomite, MI","2,331"
43,"Vicksburg, MS","2,623",92,Stockton (CA),"1,814","Port Canaveral, FL","2,301"
44,"Bridgeport, CT","2,593",93,Grays Harbor (WA),"1,680","Ponce, PR","2,214"
45,"Greenville, MS","2,529",94,Coos Bay (OR),"1,586","Alpena, MI","2,199"
46,"Chattanooga, TN","2,404",95,Fairport (OH),"1,498","Anchorage, AK","2,193"
47,"Sandusky, OH","2,370",96,Muskegon (MI),"1,479","Kahului, Maui, HI","2,139"
48,"Coos Bay, OR","2,332",97,Hueneme (CA),"1,382","Morgan City, La","2,129"
49,"Alpena, MI","2,330",98,Everett (WA),"1,380","Greenville, MS","2,115"
50,"Monroe, MI","2,251",99,San Diego (CA),"1,325","Green Bay, WI","2,104"
51,"Fairport Harbor, OH","2,201",100,Buffalo (NY),"1,298","Brunswick, GA","2,094"
52,"Green Bay, WI","2,178",101,Olympia (WA),"1,2691,135","Marblehead, OH","2,092"
53,"Gulfport, MS","2,151",102,Hilo (HI),102,"1,998",102
54,"Panama City, FL","2,142",103,Buffington (IN),"1,128","Port Jefferson, NY","1,955"
55,"Brunswick, GA","2,054",104,Drummond Island (MI),"1,069","Victoria, TX","1,952"
56,"Tulsa/Catoosa, OK","2,037",105,Kawaihae (HI),"1,050","Kansas City, MO","1,934"
57,"Hilo, HI","1,984",106,Redwood City (CA),"1,045","Penn Manor, PA","1,923"
58,"Penn Manor, PA","1,946",107,Marquette (MI),"1,010","Gulfport, MS","1,868"
59,"Nashville, TN","1,918",108,Hopewell (VA),"1,009","Tulsa, OK","1,762"
60,"Palm Beach, FL","1,813",109,New London (CT),977,"Guntersville, AL","1,746"
61,"Kawaihae Harbor, HI","1,811",110,Seward (AK),959,"Muskegon, MI","1,737"
62,"Marquette, MI","1,774",111,San Francisco (CA),906,"Sandusky, OH","1,654"
63,"Fall River, MA","1,772",112,Nawiliwili (HI),877,"Stockton, CA","1,633"
64,"Searsport, ME","1,728",113,Richmond (VA),858,"Chattanooga, TN","1,601"
65,"Ponce, PR","1,683",114,Lorain (OH),853,"Helena, AR","1,566"
66,"Nawiliwili, Kauai, HI","1,667",115,Pensacola (FL),848,"Searsport, ME","1,490"
