,rank,port,Short tons 1974,port,Short tons 1973,Port,Short tons 1972
17,16.0,Huron (OH),"3,325",Presque Isle (MI),"3,741",Presque Isle (MI),"3,450"
18,17.0,Bridgeport (CT),"3,295",Fairport (OH),"3,681",Barbers Point (HI),"3,420"
19,18.0,Canaveral (FL),"3,242",Huron (OH),"3,655",Huron (OH),"3,381"
20,19.0,Vancouver (WA),"3,142",Vancouver (WA),"3,591",Alpena (MI),"3,380"
21,20.0,Presque Isle (MI),"3,118",Bellingham (WA),"3,565",Ludington (MI),"3,368"
22,21.0,Alpena (MI),"3,082",Bridgeport (CT),"3,554",Anacortes (WA),"3,316"
23,22.0,St. Clair (MI),"3,075",St. Clair (MI),"3,338",Vancouver (WA),"3,189"
24,23.0,Camden (NJ),"3,066",Muskegon (MI),"2,923",Fairport (OH),"2,913"
25,24.0,Port Angeles (WA),"2,990",Port Angeles (WA),"2,919",Camden (NJ),"2,854"
26,25.0,Fairport (OH),"2,938",Anacortes (WA),"2,896",Port Angeles (WA),"2,849"
27,26.0,Drummond Island (MI),"2,910",Alpena (MI),"2,854",Muskegon (MI),"2,836"
28,27.0,Brownsville (TX),"2,837",Drummond Island (MI),"2,733",Green Bay (WI),"2,824"
29,28.0,Green Bay (WI),"2,531",Green Bay (WI),"2,724",San Francisco (CA),"2,590"
30,29.0,Muskegon (MI),"2,508",Camden (NJ),"2,698",Portsmouth(NH),"2,188"
31,30.0,Portsmouth(NH),"2,364",Anchorage (AK),"2,625",Ketchikan (AK),"2,186"
32,31.0,Anchorage (AK),"2,340",Ludington (MI),"2,542",Bellingham (WA),"2,184"
33,32.0,Pensacola (FL),"2,239",Canaveral (FL),"2,363",Anchorage (AK),"2,058"
34,33.0,Astoria (OR),"2,234",Portsmouth(NH),"2,315",Olympia (WA),"2,027"
35,34.0,Ludington (MI),"2,179",Pensacola (FL),"2,279",Pensacola (FL),"2,015"
36,35.0,Ketchikan (AK),"2,162",Ketchikan (AK),"2,167",Astoria (OR),"1,922"
37,36.0,San Diego (CA),"2,115",San Diego (CA),"2,063",Canaveral (FL),"1,835"
38,37.0,Salem (MA),"2,031",Astoria (OR),"1,827",Drummond Island (MI),"1,784"
39,38.0,Brunswick (GA),"1,966",Stockton (CA),"1,807",San Diego (CA),"1,666"
40,39.0,Bellingham (WA),"1,946",Panama City (FL),"1,806",Panama City (FL),"1,663"
41,40.0,Panama City (FL),"1,891",Salem (MA),"1,800",Salem (MA),"1,592"
42,41.0,Georgetown(SC),"1,620",Sacramento (CA),"1,601",Georgetown(SC),"1,524"
43,42.0,Skagway (AK),"1,515",Georgetown(SC),"1,486",Stockton (CA),"1,515"
44,43.0,Morehead City (NC),"1,513",Humboldt Bay (CA),"1,432",Orange (TX),"1,486"
45,44.0,Stockton (CA),"1,476",Brunswick (GA),"1,394",Kalama (WA),"1,468"
46,45.0,Humboldt Bay (CA),"1,398",Kalama (WA),"1,382",Morehead City (NC),"1,423"
47,46.0,Sacramento (CA),"1,347",Skagway (AK),"1,348",Port Townsend (WA),"1,399"
48,47.0,Port Townsend (WA),"1,338",Port Townsend (WA),"1,347",Sacramento (CA),"1,393"
49,48.0,Orange (TX),"1,331",Searsport (ME),"1,323",Skagway (AK),"1,388"
