,rank,Port,Short tons 1994,port,Short tons 1993,port,Short tons 1992,port,Short tons 1991
1,0.0,Barbers Point (HI),"9,022",Stoneport (MI),"8,752",Stoneport (MI),"8,650",New Haven (CT),"8,154"
2,1.0,Stoneport (MI),"8,416",New Haven (CT),"8,740",New Haven (CT),"8,430",Portland (ME),"8,032"
3,2.0,Wilmington (NC),"7,913",Wilmington (NC),"7,813",Escanaba (MI),"7,401",Longview (WA),"7,806"
4,3.0,Escanaba (MI),"7,775",Vancouver (WA),"7,380",Wilmington (NC),"7,226",Presque Isle (MI),"7,801"
5,4.0,Calcite (MI),"7,456",Escanaba (MI),"7,142",Calcite (MI),"7,049",Wilmington (NC),"7,175"
6,5.0,Port Lavaca (TX),"7,380",Miami (FL),"6,696",Grays Harbor (WA),"6,953",Escanaba (MI),"6,492"
7,6.0,Providence (RI),"6,567",Providence (RI),"6,558",Vancouver (WA),"6,839",Vancouver (WA),"6,485"
8,7.0,Miami (FL),"6,517",Kalama (WA),"6,501",Kalama (WA),"6,676",Conneaut (OH),"6,336"
9,8.0,Longview (WA),"6,442",Calcite (MI),"6,419",Conneaut (OH),"6,540",Port Lavaca (TX),"6,266"
10,9.0,Vancouver (WA),"6,281",Albany (NY),"6,053",Miami (FL),"6,451",Providence (RI),"6,015"
11,10.0,Albany (NY),"6,107",Port Lavaca (TX),"5,893",Longview (WA),"6,309",Albany (NY),"5,967"
12,11.0,St. Clair (MI),"5,887",Longview (WA),"5,476",Providence (RI),"6,185",Kalama (WA),"5,881"
13,12.0,Camden (NJ),"5,669",Coos Bay (OR),"5,413",Everett (WA),"6,010",Camden (NJ),"5,668"
14,13.0,Conneaut (OH),"5,655",Saginaw River (MI),"5,234",Albany (NY),"5,674",Coos Bay (OR),"5,523"
15,14.0,Sandusky (OH),"5,422",Sandusky (OH),"5,176",Port Lavaca (TX),"5,390",Everett (WA),"5,453"
16,15.0,Kalama (WA),"5,351",St. Clair (MI),"5,039",Sandusky (OH),"5,179",Morehead City (NC),"5,237"
17,16.0,Saginaw River (MI),"5,119",Everett (WA),"4,714",Camden (NJ),"4,855",St. Clair (MI),"4,778"
18,17.0,Wilmington (DE),"4,503",Camden (NJ),"4,664",St. Clair (MI),"4,666",Pensacola (FL),"4,760"
19,18.0,Morehead City (NC),"4,195",Grays Harbor (WA),"4,383",Coos Bay (OR),"4,458",Miami (FL),"4,720"
20,19.0,Everett (WA),"4,192",Wilmington (DE),"4,106",Morehead City (NC),"4,440",Grays Harbor (WA),"4,488"
21,20.0,Fall River (MA),"4,178",Morehead City (NC),"3,999",Wilmington (DE),"3,826",Wilmington (DE),"4,154"
22,21.0,Coos Bay (OR),"3,744",Portsmouth(NH),"3,692",Saginaw River (MI),"3,789",Sandusky (OH),"4,018"
23,22.0,Canaveral (FL),"3,625",Conneaut (OH),"3,534",Portsmouth(NH),"3,738",Marine City (MI),"3,896"
24,23.0,Marine City (MI),"3,572",Fall River (MA),"3,458",Fall River (MA),"3,530",Saginaw River (MI),"3,895"
25,24.0,Portsmouth(NH),"3,479",Marine City (MI),"3,454",San Francisco (CA),"3,198",Fall River (MA),"3,884"
26,25.0,Brownsville (TX),"3,396",Canaveral (FL),"3,454",Marine City (MI),"3,174",Portsmouth(NH),"3,537"
27,26.0,Bridgeport (CT),"3,054",Bridgeport (CT),"2,942",Canaveral (FL),"2,968",Bridgeport (CT),"3,268"
28,27.0,Fairport (OH),"2,955",Port Manatee,"2,890",Bridgeport (CT),"2,948",Canaveral (FL),"3,004"
29,28.0,Palm Beach (FL),"2,884",Palm Beach (FL),"2,816",Port Manatee,"2,797",Panama City (FL),"2,938"
30,29.0,Port Manatee,"2,730",Green Bay (WI),"2,587",Panama City (FL),"2,734",San Francisco (CA),"2,898"
31,30.0,Alpena (MI),"2,672",Panama City (FL),"2,586",Palm Beach (FL),"2,646",Port Angeles (WA),"2,680"
32,31.0,Milwaukee (WI),"2,641",Alpena (MI),"2,547",Fairport (OH),"2,613",Kahului (HI),"2,434"
33,32.0,Anchorage (AK),"2,559",Milwaukee (WI),"2,496",Anchorage (AK),"2,540",Anchorage (AK),"2,309"
34,33.0,Panama City (FL),"2,503",Anchorage (AK),"2,470",Alpena (MI),"2,486",Humboldt Bay (CA),"2,301"
35,34.0,Kahului (HI),"2,368",Fairport (OH),"2,403",Buffalo (NY),"2,473",Alpena (MI),"2,284"
36,35.0,Green Bay (WI),"2,288",San Francisco (CA),"2,340",Green Bay (WI),"2,431",New London (CT),"2,130"
37,36.0,Monroe (MI),"2,035",Kahului (HI),"2,216",Kahului (HI),"2,357",Milwaukee (WI),"2,076"
38,37.0,Muskegon (MI),"2,004",Drummond Island (MI),"2,205",Port Angeles (WA),"2,336",Palm Beach (FL),"2,075"
39,38.0,Gulfport (MS),"1,842",Buffalo (NY),"2,109",Milwaukee (WI),"2,153",Green Bay (WI),"2,068"
40,39.0,Ketchikan (AK),"1,759",Port Angeles (WA),"1,987",Ketchikan (AK),"1,986",Fairport (OH),"2,052"
41,40.0,San Francisco (CA),"1,739",Redwood City (CA),"1,829",Skagway (AK),"1,949",Richmond (VA),"1,909"
42,41.0,Port Angeles (WA),"1,695",New London (CT),"1,793",Monroe (MI),"1,778",Richmond (VA),"1,909"
43,42.0,Buffalo (NY),"1,685",Brownsville (TX),"1,735",New London (CT),"1,765",Buffalo (NY),"1,895"
44,43.0,New London (CT),"1,675",Port Huron (MI),"1,687",Stockton (CA),"1,719",Monroe (MI),"1,837"
45,44.0,Grays Harbor (WA),"1,654",Richmond (VA),"1,669",Pensacola (FL),"1,690",Brunswick (GA),"1,719"
46,45.0,Brunswick (GA),"1,626",Richmond (VA),"1,669",Port Huron (MI),"1,652",Brownsville (TX),"1,610"
47,46.0,Stockton (CA),"1,609",Pensacola (FL),"1,650",Richmond (VA),"1,633",Port Huron (MI),"1,609"
48,47.0,Charlevoix (MI),"1,549",Muskegon (MI),"1,635",Richmond (VA),"1,633",Port Manatee,"1,602"
