,Port,Short tons 2005,Rank,port,Short tons 2004,Port,Short tons 2003
19,"Albany, NY","7,250",68,"Camden-Gloucester, NJ","7,189","Wilmington, NC","6,445"
20,"Stoneport, MI","6,785",69,"Vancouver, WA","6,973","Kalama, WA","6,420"
21,"Barbers Point, Oahu, HI","6,344",70,"Escanaba, MI","6,620","Camden-Gloucester, NJ","5,930"
22,"Vancouver, WA","6,266",71,"Barbers Point, Oahu, HI","6,086","Barbers Point, Oahu, HI","5,885"
23,"Mount Vernon, IN","5,846",72,"Silver Bay, MN","5,951","St. Paul, MN","5,152"
24,"Bridgeport, CT","5,482",73,"Mount Vernon, IN","5,768","Port Inland, MI","5,056"
25,"Portsmouth, NH","5,254",74,"Bridgeport, CT","5,671","Silver Bay, MN","5,025"
26,"Longview, WA","5,178",75,"Port Inland, MI","5,574","Brownsville, TX","4,971"
27,"Silver Bay, MN","5,177",76,"St. Clair, MI","5,281","Victoria, TX","4,861"
28,"Brownsville, TX","5,105",77,"St. Paul, MN","5,126","Longview, WA","4,782"
29,"Escanaba, MI","5,073",78,"Wilmington, DE","4,999","Escanaba, MI","4,756"
30,"St. Paul, MN","4,998",79,"Longview, WA","4,800","Bridgeport, CT","4,752"
31,"Port Inland, MI","4,946",80,"Portsmouth, NH","4,795","St. Clair, MI","4,750"
32,"Port Canaveral, FL","4,944",81,"Port Canaveral, FL","4,630","Wilmington, DE","4,582"
33,"Port Manatee, FL","4,470",82,"Port Manatee, FL","4,428","Sandusky, OH","4,363"
34,"Nashville, TN","4,454",83,"Brownsville, TX","4,171","Vicksburg, MS","4,254"
35,"Marine City, MI","4,225",84,"Palm Beach, FL","4,147","Port Manatee, FL","4,183"
36,"St. Clair, MI","4,151",85,"Marine City, MI","4,077","Nashville, TN","4,004"
37,"Kahului, Maui, HI","4,132",86,"Nashville, TN","3,941","Portsmouth, NH","3,886"
38,"Vicksburg, MS","4,057",87,"Vicksburg, MS","3,922","Palm Beach, FL","3,778"
39,"Port Dolomite, MI","3,987",88,"Kahului, Maui, HI","3,901","Port Canaveral, FL","3,731"
40,"Palm Beach, FL","3,965",89,"Marblehead, OH","3,827","Mount Vernon, IN","3,709"
41,"Morehead City, NC","3,954",90,"Victoria, TX","3,712","Marine City, MI","3,671"
42,"Milwaukee, WI","3,805",91,"Kansas City, MO","3,663","Ponce, PR","3,650"
43,"Sandusky, OH","3,555",92,"Ponce, PR","3,565","Kansas City, MO","3,597"
44,"Anchorage, AK","3,527",93,"Port Dolomite, MI","3,505","Kahului, Maui, HI","3,585"
45,"Marblehead, OH","3,496",94,"Morehead City, NC","3,407","Fall River, MA","3,220"
46,"Kansas City, MO","3,280",95,"Sandusky, OH","3,404","Marblehead, OH","3,179"
47,"Alpena, MI","3,229",96,"Alpena, MI","3,275","Alpena, MI","3,002"
48,"Victoria, TX","3,224",97,"Fall River, MA","3,161","Port Dolomite, MI","3,000"
49,"San Diego, CA","3,218",98,"Milwaukee, WI","3,156","Kivilina, AK","2,977"
50,"Fall River, MA","3,157",99,"San Diego, CA","3,107","Milwaukee, WI","2,900"
51,"Panama City, FL","3,153",100,"Anchorage, AK","3,086","Everett, WA","2,864"
52,"Lorain, OH","3,055",101,"Greenville, MS","3,046","Anchorage, AK","2,843"
53,"Kivilina, AK","2,780",102,"Everett, WA","3,021","Penn Manor, PA","2,804"
54,"Green Bay, WI","2,728",103,"Lorain, OH","3,007","Greenville, MS","2,712"
55,"Stockton, CA","2,643",104,"Kivilina, AK","2,932","Chattanooga, TN","2,622"
56,"Ponce, PR","2,608",105,"Penn Manor, PA","2,853","Brunswick, GA","2,546"
57,"Chattanooga, TN","2,600",106,"Stockton, CA","2,803","Port Jefferson, NY","2,545"
58,"Greenville, MS","2,528",107,"Fairport Harbor, OH","2,772","San Diego, CA","2,526"
59,"Taconite, MN","2,508",108,"Panama City, FL","2,752","Panama City, FL","2,297"
60,"Penn Manor, PA","2,501",109,"Chattanooga, TN","2,748","Stockton, CA","2,243"
61,"Fairport Harbor, OH","2,452",110,"Muskegon, MI","2,684","Guntersville, AL","2,241"
62,"Brunswick, GA","2,347",111,"Biloxi, MS","2,670","Biloxi, MS","2,217"
63,"Everett, WA","2,318",112,"San Francisco, CA","2,655","Fairport Harbor, OH","2,154"
64,"San Francisco, CA","2,303",113,"Port Jefferson, NY","2,399","Gulfport, MS","2,119"
65,"Coos Bay, OR","2,244",114,"Gulfport, MS","2,375","Muskegon, MI","2,103"
66,"Kawaihae Harbor, HI","2,217",115,"Green Bay, WI","2,361","Tulsa, Port of Catoosa, OK","2,084"
67,"Chester, PA","2,118",116,"Kawaihae Harbor, HI","2,277","Morehead City, NC","2,066"
68,"Muskegon, MI","2,063",117,"Brunswick, GA","2,255","Green Bay, WI","2,021"
69,"Hilo, HI","1,996",118,"Tulsa, Port of Catoosa, OK","2,160","San Francisco, CA","1,992"
70,"Nawiliwili, Kauai, HI","1,977",119,"Coos Bay, OR","1,987","Chester, PA","1,980"
71,"Searsport, ME","1,965",120,"Guntersville, AL","1,878","Helena, AR","1,883"
72,"Port Angeles, WA","1,853",121,"Hilo, HI","1,850","Minneapolis, MN","1,850"
73,"Guntersville, AL","1,840",122,"Searsport, ME","1,832","Hilo, HI","1,848"
74,"Richmond, VA","1,827",123,"Nawiliwili, Kauai, HI","1,757","Coos Bay, OR","1,847"
75,"Gulfport, MS","1,780",124,"Grand Haven, MI","1,757","Buffalo, NY","1,812"
76,"Tulsa, Port of Catoosa, OK","1,752",125,"Drummond Island, MI","1,716","Port Angeles, WA","1,801"
77,"Grays Harbor, WA","1,670",126,"Olympia, WA","1,701","Grays Harbor, WA","1,728"
78,"Buffalo, NY","1,611",127,"Grays Harbor, WA","1,640","Kawaihae Harbor, HI","1,721"
79,"Port Hueneme, CA","1,611",128,"Buffalo, NY","1,592","Nawiliwili, Kauai, HI","1,537"
80,"Monroe, MI","1,587",129,"Port Angeles, WA","1,577","Manistee, MI","1,475"
81,"Grand Haven, MI","1,475",130,"Chester, PA","1,567","Olympia, WA","1,427"
82,"Drummond Island, MI","1,460",131,"Marquette, MI","1,538","Pensacola, FL","1,419"
83,"Olympia, WA","1,460",132,"Charlevoix, MI","1,463","Georgetown, SC","1,403"
0,"Biloxi, MS","1,452",133,"Buffington, IN","1,449","Richmond, VA","1,401"
1,"Helena, AR","1,314",134,"Richmond, VA","1,448","Erie, PA","1,319"
2,"Salem, MA","1,313",135,"Helena, AR","1,429","Weedon Island, FL","1,305"
0,"Redwood City, CA","1,306",136.0,"Redwood City, CA.1","1,423","Charlevoix, MI","1,291"
1,"Charlevoix, MI","1,295",137.0,"Marysville, MI","1,362","Marysville, MI","1,270"
2,"Pensacola, FL","1,285",138.0,"Port Hueneme, CA","1,314","Kelleys Island, OH","1,264"
3,"Marysville, MI","1,259",139.0,"Minneapolis, MN","1,311","Buffington, IN","1,213"
4,"Buffington, IN","1,157",140.0,"Hempstead, NY","1,266","Hempstead, NY","1,206"
5,"Marquette, MI","1,121",141.0,"Taconite, MN","1,209","Drummond Island, MI","1,190"
6,"Trenton, NJ","1,089",142.0,"Erie, PA","1,100","Sabine Pass, TX","1,175"
7,"Erie, PA","1,066",143.0,"Stamford, CT","1,021","Port Hueneme, CA","1,141"
8,"Humboldt, CA","1,063",144.0,"Fajardo, PR","1,014","Hopewell, VA","1,121"
9,"Huron, OH","1,032",145.0,"Humboldt, CA","1,010","Searsport, ME","1,093"
10,"Hopewell, VA","1,007",146.0,"Weedon Island, FL","1,000","Stamford, CT","1,090"
11,"Hempstead, NY",928,147.0,"Hopewell, VA",987,"Trenton, NJ","1,077"
12,"Minneapolis, MN",927,148.0,"Georgetown, SC",968,"Monroe, MI",858
