,Rank,port,Short tons 1998,port,Short tons 1997,port,Short tons 1996,port,Short tons 1995
50,49.0,Galveston (TX),"11,049",Oakland (CA),"10,858",Escanaba (MI),"9 ,253",Ashtabula (OH),"1 0,010"
51,50.0,Presque Isle (MI),"10,483",Gary (IN),"10,417",Port Lavaca (TX),"9 ,151",Taconite (MN),"9 ,247"
0,,Calcite (MI),"9,389",Burns Waterway (IN),"10,414",Presque Isle (MI),"8 ,959",Port Lavaca (TX),"9 ,237"
1,0.0,New Haven (CT),"9,193",Galveston (TX),"10,126",Gary (IN),"8 ,882",New Haven (CT),"8 ,813"
2,1.0,Stoneport (MI),"9,114",Calcite (MI),"10,036",New Haven (CT),"8 ,838",Escanaba (MI),"8 ,479"
3,2.0,Gary (IN),"9,083",New Haven (CT),"9,594",Barbers Point (HI),"8 ,745",Stoneport (MI),"8 ,468"
4,3.0,Burns Waterway (IN),"9,006",Port Lavaca (TX),"9,429",Calcite (MI),"8 ,669",Calcite (MI),"8 ,381"
5,4.0,Taconite (MN),"8,761",Providence (RI),"8,814",Taconite (MN),"8 ,408",Two Harbors (MI),"8 ,265"
6,5.0,Escanaba (MI),"8,530",Taconite (MN),"8,607",Kalama (WA),"8 ,223",Barbers Point (HI),"8 ,233"
7,6.0,Port Lavaca (TX),"8,040",Kalama (WA),"8,301",Wilmington (NC),"8 ,121",Wilmington (NC),"8 ,111"
8,7.0,Providence (RI),"8,028",Barbers Point (HI),"8,162",Stoneport (MI),"7 ,990",Vancouver (WA),"7 ,535"
9,8.0,Vancouver (WA),"7,849",Stoneport (MI),"8,101",Providence (RI),"7 ,803",Providence (RI),"6 ,932"
10,9.0,Conneaut (OH),"7,786",Vancouver (WA),"7,838",Vancouver (WA),"7 ,704",Miami (FL),"6 ,579"
11,10.0,Wilmington (NC),"7,410",Wilmington (NC),"7,441",Albany (NY),"5 ,768",Longview (WA),"6 ,167"
12,11.0,Miami (FL),"7,392",Escanaba (MI),"7,261",Camden (NJ),"5 ,765",Camden (NJ),"5 ,919"
13,12.0,Albany (NY),"6,723",Albany (NY),"6,819",Miami (FL),"5 ,719",Albany (NY),"5 ,803"
14,13.0,Barbers Point (HI),"6,658",Miami (FL),"6,612",Conneaut (OH),"5 ,714",Conneaut (OH),"5 ,612"
15,14.0,Saginaw River (MI),"5,609",Camden (NJ),"6,570",Morehead City (NC),"5 ,588",St. Clair (MI),"5 ,028"
