,Rank,Port,2014,Port,2013 short tons,port,2012 short tons
20,69,"Victoria, TX","6,476","Mount Vernon, IN","6,141","Silver Bay, MN","5,495"
21,70,"New Castle, DE","6,285","Calcite, MI","5,868","Mount Vernon, IN","5,224"
22,71,"Kaskaskia, IL, Port of","6,176","Camden-Gloucester, NJ","5,537","Wilmington, DE","5,113"
23,72,"Camden-Gloucester, NJ","6,115","Brownsville, TX","5,533","St. Paul, MN","5,023"
24,73,"Calcite, MI","6,017","Victoria, TX","5,520","Calcite, MI","4,718"
25,74,"Silver Bay, MN","5,979","Vancouver, WA","5,364","Kahului, Maui, HI","4,711"
26,75,"Stoneport, MI","5,937","Kaskaskia, IL, Port of","5,208","Port Inland, MI","4,659"
27,76,"Wilmington, NC","5,888","Silver Bay, MN","5,164","Ashtabula, OH","4,540"
28,77,"St. Paul, MN","4,984","Ashtabula, OH","4,954","Victoria, TX","4,518"
29,78,"Ashtabula, OH","4,834","Conneaut, OH","4,772","Marcus Hook, PA","4,274"
30,79,"Conneaut, OH","4,800","St. Paul, MN","4,625","Conneaut, OH","3,990"
31,80,"Stockton, CA","4,619","Nikishka, AK","4,484","Nikishka, AK","3,891"
32,81,"Escanaba, MI","4,553","Port Inland, MI","4,023","Stockton, CA","3,456"
33,82,"Nikishka, AK","4,425","Escanaba, MI","3,757","Port Manatee, FL","3,397"
34,83,"Terrebonne, LA, Port of","4,384","Kahului, Maui, HI","3,669","Escanaba, MI","3,318"
35,84,"Penn Manor, PA","3,833","Marblehead, OH","3,580","Port Dolomite, MI","3,279"
36,85,"Port Inland, MI","3,797","Greenville, MS","3,474","Morehead City, NC","3,249"
37,86,"Kahului, Maui, HI","3,739","Stockton, CA","3,452","Port Canaveral, FL","3,164"
38,87,"Greenville, MS","3,644","Morehead City, NC","3,426","Greenville, MS","3,071"
39,88,"Bridgeport, CT","3,332","Terrebonne, LA, Port of","3,426","Penn Manor, PA","3,037"
40,89,"Brunswick, GA","3,252","Port Canaveral, FL","3,337","Sandusky, OH","2,952"
41,90,"Port Canaveral, FL","3,149","Brunswick, GA","3,228","Anchorage, AK","2,843"
42,91,"Milwaukee, WI","2,977","Milwaukee, WI","3,129","Kivilina, AK","2,767"
43,92,"Anchorage, AK","2,864","Port Dolomite, MI","3,088","Brunswick, GA","2,752"
44,93,"Portsmouth, NH","2,803","Sandusky, OH","2,988","Tulsa, Port of Catoosa, OK","2,657"
45,94,"Monroe, MI","2,763","Anchorage, AK","2,949","Vicksburg, MS","2,602"
46,95,"Vicksburg, MS","2,720","Port Manatee, FL","2,736","Chattanooga, TN","2,570"
47,96,"Port Dolomite, MI","2,682","Tulsa, Port of Catoosa, OK","2,681","Alpena, MI","2,553"
48,97,"Nashville, TN","2,646","Portsmouth, NH","2,679","Portsmouth, NH","2,419"
49,98,"Grays Harbor, WA","2,629","Nashville, TN","2,633","Marblehead, OH","2,392"
50,99,"Morehead City, NC","2,624","Caruthersville Harbor, MO","2,599","Marquette, MI","2,354"
51,100,"Green Bay, WI","2,483","Panama City, FL","2,326","Panama City, FL","2,326"
52,101,"Panama City, FL","2,479","Monroe, MI","2,308","Monroe, MI","2,308"
53,102,"Kivilina, AK","2,477","Ponce, PR","2,301","Ponce, PR","2,301"
54,103,"Marblehead, OH","2,464","Milwaukee, WI","2,267","Milwaukee, WI","2,267"
55,104,"Tulsa, Port of Catoosa, OK","2,463","Nashville, TN","2,238","Nashville, TN","2,238"
56,105,"Iberia, LA","2,316","Palm Beach, FL","2,065","Palm Beach, FL","2,065"
57,106,"Redwood City, CA","2,271","Helena, AR","1,980","Helena, AR","1,980"
58,107,"Alpena, MI","2,249","Hilo, HI","1,968","Hilo, HI","1,968"
59,108,"Gulfport, MS","2,228","Coos Bay, OR","1,958","Coos Bay, OR","1,958"
60,109,"Hilo, HI","2,188","Green Bay, WI","1,958","Green Bay, WI","1,958"
61,110,"Sandusky, OH","2,139","Nawiliwili, Kauai, HI","1,947","Nawiliwili, Kauai, HI","1,947"
62,111,"Palm Beach, FL","2,135","Grays Harbor, WA","1,903","Grays Harbor, WA","1,903"
63,112,"Helena, AR","2,001","Gulfport, MS","1,888","Gulfport, MS","1,888"
64,113,"Port Manatee, FL","1,992","Kawaihae Harbor, HI","1,837","Kawaihae Harbor, HI","1,837"
65,114,"Chattanooga, TN","1,979","Guntersville, AL","1,783","Guntersville, AL","1,783"
66,115,"San Francisco, CA","1,892","Morgan City, La, Port of","1,773","Morgan City, La, Port of","1,773"
67,116,"Nawiliwili, Kauai, HI","1,874","Muskegon, MI","1,690","Muskegon, MI","1,690"
68,117,"Coos Bay, OR","1,859","Searsport, ME","1,654","Searsport, ME","1,654"
69,118,"Muskegon, MI","1,850","Bridgeport, CT","1,593","Bridgeport, CT","1,593"
70,119,"Kawaihae Harbor, HI","1,836","Port Hueneme, CA","1,541","Port Hueneme, CA","1,541"
71,120,"Biloxi, MS","1,818","Fairport Harbor, OH","1,534","Fairport Harbor, OH","1,534"
72,121,"Searsport, ME","1,798","Buffington, IN","1,497","Buffington, IN","1,497"
73,122,"Fairport Harbor, OH","1,719","Everett, WA","1,479","Everett, WA","1,479"
74,123,"Everett, WA","1,716","Unalaska Island, AK","1,389","Unalaska Island, AK","1,389"
75,124,"Guntersville, AL","1,644","San Diego, CA","1,368","San Diego, CA","1,368"
76,125,"Buffington, IN","1,589","Olympia, WA","1,354","Olympia, WA","1,354"
77,126,"Olympia, WA","1,563","Chester, PA","1,253","Chester, PA","1,253"
78,127,"Port Hueneme, CA","1,548","Port Jefferson, NY","1,249","Port Jefferson, NY","1,249"
79,128,"Chester, PA","1,539","Kansas City, MO","1,206","Kansas City, MO","1,206"
80,129,"Unalaska Island, AK","1,515","Rosedale, MS","1,184","Rosedale, MS","1,184"
81,130,"Natchez, MS","1,478","Drummond Island, MI","1,169","Drummond Island, MI","1,169"
82,131,"San Diego, CA","1,411","Biloxi, MS","1,047","Biloxi, MS","1,047"
83,132,"Kansas City, MO","1,390","Hopewell, VA",989,"Hopewell, VA",989
0,133,"Rosedale, MS","1,380","Seward, AK",965,"Seward, AK.1",965.1
1,134,"Fall River, MA","1,352","Redwood City, CA",917,"Redwood City, CA",917.0
2,135,"Aransas Pass, TX","1,301","Pensacola, FL",879,"Pensacola, FL",879.0
0,136,"Marquette, MI","1,273","Southeast Missouri Port, MO",877.0,"Southeast Missouri Port, MO.1",877.1
1,137,"Morgan City, LA","1,264","Elvis Stahr Harbor, KY",847.0,"Elvis Stahr Harbor, KY",847.0
2,138,"Lake Providence, LA","1,243","San Francisco, CA",845.0,"San Francisco, CA",845.0
3,139,"Port Jefferson, NY","1,194","Buffalo, NY",830.0,"Buffalo, NY",830.0
4,140,"Drummond Island, MI","1,122","Ketchikan, AK",784.0,"Ketchikan, AK",784.0
5,141,"Ketchikan, AK","1,020","Aransas Pass, TX",782.0,"Aransas Pass, TX",782.0
6,142,"Caruthersville Harbor, MO",975,"Fall River, MA",768.0,"Fall River, MA",768.0
7,143,"Lorain, OH",960,"Lake Providence, LA",733.0,"Lake Providence, LA",733.0
8,144,"Juneau, AK",929,"Orange, TX",732.0,"Orange, TX",732.0
9,145,"Pensacola, FL",926,"Port Angeles, WA",731.0,"Port Angeles, WA",731.0
10,146,"Hopewell, VA",926,"Iliuliuk Harbor, AK",724.0,"Iliuliuk Harbor, AK",724.0
11,147,"Elvis Stahr Harbor, KY",872,"Hempstead, NY",713.0,"Hempstead, NY",713.0
12,148,"Southeast Missouri Port, MO",871,"Grand Haven, MI",712.0,"Grand Haven, MI",712.0
13,149,"Orange, TX",818,"Natchez, MS",678.0,"Natchez, MS",678.0
