,Rank,Port/State,Foreign Trade | TONS,Imports,Port/State,Export Tons,Port/state,Total foreign trade | Tons,10,Port/state,Tons,Port/state,Tons
39,35,"Port Everglades, FL","20,058,993",35,"New Castle, DE","3,660,307","Richmond, CA","1,985,617",35.0,"Barbers Point, Oahu, HI","8,364,972","Indiana Harbor, IN","7,903,530"
40,36,"Chicago, IL","19,228,125",36,"Providence, RI","3,561,111","Port Lavaca, TX","1,841,469",36.0,"Duluth/Superior, MN/WI","7,755,460","Two Harbors, MN","7,095,686"
41,37,"Jacksonville, FL","17,686,279",37,"Wilmington, NC","3,544,741","Presque Isle, MI","1,783,776",37.0,"Miami, FL","6,252,396","Jacksonville, FL","7,047,676"
42,38,"Oakland, CA","17,405,784",38,"Toledo, OH","3,137,788","Jacksonville, FL","1,598,483",38.0,"Toledo, OH","5,835,474","Los Angeles, CA","7,006,435"
43,39,"Charleston, SC","15,834,464",39,"Miami, FL","3,061,298","Boston, MA","1,542,596",39.0,"Port Lavaca, TX","5,559,929","Boston, MA","6,952,251"
44,40,"Memphis, TN","13,980,433",40,"Brownsville, TX","2,928,230","Wilmington, NC","1,334,132",40.0,"Vancouver, WA","5,127,625","New Haven, CT","6,900,810"
45,41,"Cincinnati, OH","11,767,981",41,"Portsmouth, NH","2,923,658","Anacortes, WA","1,296,186",41.0,"San Juan, PR","4,973,226","San Juan, PR","6,322,003"
46,42,"San Juan, PR","11,295,229",42,"New Haven, CT","2,856,482","Brunswick, GA","1,281,867",42.0,"Wilmington, NC","4,878,873","Albany, NY","6,301,957"
47,43,"Anacortes, WA","10,430,937",43,"Detroit, MI","2,704,474","Ashtabula, OH","1,276,244",43.0,"Galveston, TX","4,543,707","Gary, IN","5,999,234"
48,44,"New Haven, CT","10,135,297",44,"Wilmington, DE","2,703,968","Kivilina, AK","1,275,383",44.0,"New Castle, DE","3,922,730","Detroit, MI","5,895,713"
49,45,"Kalama, WA","9,911,832",45,"Chicago, IL","2,592,408","Morehead City, NC","1,104,789",45.0,"Longview, WA","3,911,496","Tacoma, WA","5,558,302"
50,46,"Galveston, TX","9,791,907",46,"Camden-Gloucester, NJ","2,502,445","Port Manatee, FL","1,089,356",46.0,"Providence, RI","3,850,504","Mount Vernon, IN","5,554,763"
51,47,"Toledo, OH","9,682,178",47,"Portland, OR","2,335,009","Camden-Gloucester, NJ","1,065,606",47.0,"Camden-Gloucester, NJ","3,568,051","Louisville, KY","5,352,587"
52,48,"Barbers Point, Oahu, HI","9,669,583",48,"Plaquemines, LA, Port of","2,215,295","Coos Bay, OR","1,046,183",48.0,"Chicago, IL","3,488,012","Galveston, TX","5,248,200"
53,49,"Honolulu, HI","9,161,378",49,"Bridgeport, CT","1,866,427","Palm Beach, FL","990,293",49.0,"Wilmington, DE","3,260,976","Presque Isle, MI","5,205,787"
