port,Short tons 1995
South Louisiana (LA),"2 04,483"
Houston (TX),"1 35,231"
New York/New Jersey,"1 19,342"
Baton Rouge (LA),"8 3,613"
Valdez (AK0,"8 0,955"
New Orleans (LA),"7 6,984"
Plaquemines (LA),"7 2,897"
Hampton Roads (VA),"7 2,508"
Corpus Christi (TX),"7 0,427"
Long Beach (CA),"5 3,227"
Tampa (FL),"5 1,911"
Mobile (AL),"5 0,972"
Texas City (TX),"5 0,403"
Port Arthur (TX),"4 9,800"
Lake Charles (LA),"4 6,571"
Los Angeles (CA),"4 6,479"
Duluth/Superior (MI/WI),"4 5,049"
Baltimore (MD),"4 4,696"
Philadelphia (PA),"4 0,634"
Portland (WA),"3 1,256"
Pascagoula (MS),"2 6,927"
Seattle (WA),"2 6,180"
Chicago (IL),"2 5,329"
Beaumont (TX),"2 0,937"
Tacoma (WA),"2 0,879"
Richmond (CA),"2 0,839"
Freeport (TX),"1 9,662"
Detroit (MI),"1 8,661"
Port Everglades (FL),"1 8,367"
Savannah (GA),"1 7,380"
Boston(MA),"1 6,744"
Indiana Harbor (IN),"1 5,700"
Jacksonville (FL),"1 5,693"
San Juan (PR),"1 5,478"
Cleveland (OH),"1 5,393"
Lorain (OH),"1 4,964"
Toledo (OH),"1 4,074"
Oakland (CA),"1 3,224"
Anacortes (WA),"1 3,110"
Honolulu (HI),"1 1,545"
Portland (ME),"1 1,456"
Kalama (WA),"1 1,347"
Charleston (SC),"1 1,172"
Galveston (TX),"1 0,465"
Burns Waterway (IN),"1 0,275"
Presque Isle (MI),"1 0,099"
Ashtabula (OH),"1 0,010"
Taconite (MN),"9 ,247"
Port Lavaca (TX),"9 ,237"
New Haven (CT),"8 ,813"
Escanaba (MI),"8 ,479"
Stoneport (MI),"8 ,468"
Calcite (MI),"8 ,381"
Two Harbors (MI),"8 ,265"
Barbers Point (HI),"8 ,233"
Wilmington (NC),"8 ,111"
Vancouver (WA),"7 ,535"
Providence (RI),"6 ,932"
Miami (FL),"6 ,579"
Longview (WA),"6 ,167"
Camden (NJ),"5 ,919"
Albany (NY),"5 ,803"
Conneaut (OH),"5 ,612"
St. Clair (MI),"5 ,028"
Saginaw River (MI),"4 ,720"
Morehead City (NC),"4 ,620"
Everett (WA),"4 ,441"
Wilmington (DE),"4 ,273"
Portsmouth(NH),"3 ,914"
Marine City (MI),"3 ,850"
Coos Bay (OR),"3 ,628"
Sandusky (OH),"3 ,536"
Bridgeport (CT),"3 ,447"
Fall River (MA),"3 ,282"
Milwaukee (WI),"3 ,262"
Anchorage (AK),"3 ,222"
Palm Beach (FL),"2 ,972"
Fairport (OH),"2 ,941"
Panama City (FL),"2 ,891"
Canaveral (FL),"2 ,817"
Alpena (MI),"2 ,767"
Brownsville (TX),"2 ,656"
Kahului (HI),"2 ,586"
Port Manatee,"2 ,505"
Olympia (WA),"2 ,166"
Green Bay (WI),"2 ,122"
Gulfport (MS),"2 ,023"
Brunswick (GA),"2 ,002"
Monroe (MI),"1 ,920"
Port Angeles (WA),"1 ,911"
Buffalo (NY),"1 ,873"
Muskegon (MI),"1 ,825"
Ketchikan (AK),"1 ,821"
New London (CT),"1 ,636"
Pensacola (FL),"1 ,623"
Drummond Island (MI),"1 ,606"
Charlevoix (MI),"1 ,584"
Grays Harbor (WA),"1 ,566"
Hilo (HI),"1 ,354"
San Diego (CA),"1 ,351"
San Francisco (CA),"1 ,330"
Stockton (CA),"1 ,320"
Bellingham (WA),"1 ,291"
Searsport (ME),"1 ,263"
Bucksport (ME),"1 ,238"
Georgetown(SC),"1 ,234"
Humboldt Bay (CA),"1 ,220"
Salem (MA),"1 ,197"
Ludington (MI),"1 ,150"
Sacramento (CA),"1 ,137"
Richmond (VA),"1 ,135"
Richmond (VA),"1 ,135"
Ponce (PR),"1 ,134"
Nawiliwili (HI),"1 ,130"
Huron (OH),"1 ,087"
Hueneme (CA),"1 ,076"
Erie (PA),"1 ,057"
Astoria (OR),9 85
Grand Haven (MI),9 61
Hopewell (VA),9 35
Seward (AK),9 28
Marysville (MI),8 89
Kawaihae (HI),8 73
Marquette (MI),8 36
Redwood City (CA),7 54
Kodiak (AK),6 96
Orange (TX),6 93
Fernandina (FL),5 99
New Bedford (MA),5 70
Wrangell (AK),5 44
Homer (AK),5 01
Waukegan (IL),4 96
Port Huron (MI).1,4 88
Oswego (NY),4 35
Mayaguez (PR),4 05
St. Thomas (VI),3 92
Port Townsend (WA),3 62
Christiansted (VI),2 87
Skagway (AK),2 65
Fajardo (PR),2 51
Juneau (AK),1 92
Kelleys Island (OH),1 23
Sitka (AK),-
Rochester (NY),
Port Dolmite (MI),
Port Inland (MI),
Gary (IN),
Marblehead (OH),
Silver Bay (MN),
