port,Short tons 2000
South Louisiana (LA),"217,757"
Houston (TX),"191,419"
New York/New Jersey,"138,670"
New Orleans (LA),"90,768"
Corpus Christi (TX),"83,125"
Beaumont (TX),"82,653"
Long Beach (CA),"70,150"
Baton Rouge (LA),"65,631"
Texas City (TX),"61,586"
Plaquemines (LA),"59,910"
Hampton Roads (VA),"56,180"
Lake Charles (LA),"55,518"
Mobile (AL),"54,157"
Los Angeles (CA),"48,192"
Valdez (AK0,"48,081"
Tampa (FL),"46,460"
Philadelphia (PA),"43,855"
Duluth/Superior (MI/WI),"41,678"
Baltimore (MD),"40,832"
Freeport (TX),"30,985"
Portland (ME),"29,330"
Portland (WA),"29,330"
Pascagoula (MS),"28,710"
Paulsboro (NJ),"26,874"
Seattle (WA),"24,159"
Chicago (IL),"23,929"
Marcus Hook (PA),"22,584"
Port Everglades (FL),"22,500"
Tacoma (WA),"22,287"
Port Arthur (TX),"21,387"
Charleston (SC),"21,082"
Boston(MA),"20,751"
Jacksonville (FL),"19,701"
Savannah (GA),"19,671"
Richmond (CA),"19,464"
Anacortes (WA),"18,035"
Detroit (MI),"17,295"
Indiana Harbor (IN),"16,187"
Honolulu (HI),"15,797"
Cleveland (OH),"14,391"
Lorain (OH),"14,180"
San Juan (PR),"13,904"
Toledo (OH),"13,322"
Two Harbors (MI),"13,060"
Ashtabula (OH),"12,322"
Oakland (CA),"12,176"
Presque Isle (MI),"10,742"
Galveston (TX),"10,643"
New Haven (CT),"10,604"
Conneaut (OH),"10,603"
Port Lavaca (TX),"10,522"
Gary (IN),"9,712"
Burns Waterway (IN),"9,346"
Providence (RI),"8,870"
Escanaba (MI),"8,647"
Miami (FL),"8,610"
Taconite (MN),"8,505"
Calcite (MI),"8,475"
Stoneport (MI),"7,842"
Vancouver (WA),"7,653"
Barbers Point (HI),"7,141"
Wilmington (NC),"6,717"
Albany (NY),"6,127"
Kalama (WA),"5,791"
St. Clair (MI),"5,553"
Port Inland (MI),"5,483"
Silver Bay (MN),"5,390"
Wilmington (DE),"5,184"
Camden (NJ),"5,171"
Saginaw River (MI),"4,609"
Portsmouth(NH),"4,462"
Morehead City (NC),"4,365"
Port Manatee,"4,280"
Bridgeport (CT),"4,255"
Canaveral (FL),"4,247"
Longview (WA),"4,113"
Marine City (MI),"3,987"
Marblehead (OH),"3,717"
San Diego (CA),"3,653"
Sandusky (OH),"3,645"
San Francisco (CA),"3,626"
Milwaukee (WI),"3,539"
Kahului (HI),"3,477"
Everett (WA),"3,457"
Alpena (MI),"3,405"
Fall River (MA),"3,402"
Brownsville (TX),"3,268"
Port Dolmite (MI),"3,205"
Anchorage (AK),"3,157"
Palm Beach (FL),"2,950"
Brunswick (GA),"2,581"
Panama City (FL),"2,573"
Fairport (OH),"2,539"
Muskegon (MI),"2,435"
Ponce (PR),"2,265"
Gulfport (MS),"2,229"
Coos Bay (OR),"2,210"
Buffalo (NY),"2,169"
Sacramento (CA),"2,051"
Stockton (CA),"2,051"
Georgetown(SC),"2,009"
Port Angeles (WA),"1,886"
New London (CT),"1,771"
Charlevoix (MI),"1,748"
Fajardo (PR),"1,717"
Hilo (HI),"1,651"
Pensacola (FL),"1,617"
Nawiliwili (HI),"1,581"
Grand Haven (MI),"1,555"
Green Bay (WI),"1,551"
Buffington (IN),"1,545"
Erie (PA),"1,501"
Richmond (VA),"1,489"
Richmond (VA),"1,489"
Searsport (ME),"1,441"
Olympia (WA),"1,434"
Drummond Island (MI),"1,358"
Kawaihae (HI),"1,310"
Huron (OH),"1,275"
Grays Harbor (WA),"1,251"
Marysville (MI),"1,227"
Salem (MA),"1,205"
Hueneme (CA),"1,194"
Humboldt Bay (CA),"1,063"
Hopewell (VA),"1,024"
Monroe (MI),915
Marquette (MI),912
New Bedford (MA),813
Kelleys Island (OH),798
Waukegan (IL),740
Redwood City (CA),734
Seward (AK),721
Orange (TX),681
Fernandina (FL),630
Port Huron (MI),611
Oswego (NY),589.0
Homer (AK),557.0
Bellingham (WA),541.0
Ludington (MI),512.0
Astoria (OR),504.0
Mayaguez (PR),399.0
Bucksport (ME),342.0
St. Thomas (VI),333.0
Sitka (AK),314.0
Juneau (AK),256.0
Christiansted (VI),212.0
Kodiak (AK),209.0
Skagway (AK),122.0
