port,Short tons 1980
South Louisiana (LA),*
New York/New Jersey,"166,991"
Houston (TX),"108,973"
Valdez (AK0,"85,973"
Baton Rouge (LA),"79,347"
Hampton Roads (VA),"74,832"
New Orleans (LA),"62,921"
Beaumont (TX),"52,261"
Baltimore (MD),"50,042"
Tampa (FL),"48,625"
Philadelphia (PA),"47,883"
Duluth/Superior (MI/WI),"41,435"
Corpus Christi (TX),"39,107"
Long Beach (CA),"38,780"
Plaquemines (LA),"38,513"
Mobile (AL),"37,569"
Chicago (IL),"32,993"
Los Angeles (CA),"30,151"
Port Arthur (TX),"29,797"
Portland (WA),"29,314"
Texas City (TX),"25,949"
Pascagoula (MS),"25,434"
Toledo (OH),"22,263"
Boston(MA),"22,034"
Seattle (WA),"21,289"
Lake Charles (LA),"20,750"
Freeport (TX),"20,131"
Detroit (MI),"19,268"
Ashtabula (OH),"18,655"
Conneaut (OH),"18,655"
Richmond (CA),"18,560"
Tacoma (WA),"17,162"
Indiana Harbor (IN),"16,899"
Jacksonville (FL),"15,644"
Cleveland (OH),"14,045"
Port Everglades (FL),"13,288"
Portland (ME),"12,848"
Savannah (GA),"12,293"
Escanaba (MI),"11,241"
Two Harbors (MI),"11,158"
San Juan (PR),"10,087"
Longview (WA),"9,956"
Galveston (TX),"9,631"
New Haven (CT),"9,336"
Anacortes (WA),"9,166"
Charleston (SC),"9,097"
Albany (NY),"8,712"
Wilmington (NC),"8,402"
Lorain (OH),"8,151"
Presque Isle (MI),"7,881"
Honolulu (HI),"7,646"
Providence (RI),"7,509"
Calcite (MI),"7,452"
Stoneport (MI),"7,354"
Oakland (CA),"7,314"
Taconite (MN),"7,028"
Gary (IN),"6,871"
Coos Bay (OR),"6,804"
Burns Waterway (IN),"6,462"
Sandusky (OH),"6,412"
Buffalo (NY),"5,986"
Barbers Point (HI),"5,726"
Silver Bay (MN),"4,871"
Fall River (MA),"4,804"
Everett (WA),"4,359"
Port Angeles (WA),"4,278"
Milwaukee (WI),"4,080"
Port Lavaca (TX),"3,991"
Miami (FL),"3,929"
St. Clair (MI),"3,726"
Wilmington (DE),"3,536"
Grays Harbor (WA),"3,249"
Bridgeport (CT),"3,195"
Camden (NJ),"3,092"
Saginaw River (MI),"3,081"
Morehead City (NC),"3,011"
Port Inland (MI),"3,006"
Port Dolmite (MI),"2,979"
Sacramento (CA),"2,949"
Vancouver (WA),"2,911"
Portsmouth(NH),"2,784"
Monroe (MI),"2,769"
Ketchikan (AK),"2,767"
Alpena (MI),"2,737"
Canaveral (FL),"2,707"
Brownsville (TX),"2,570"
New London (CT),"2,530"
Pensacola (FL),"2,458"
Astoria (OR),"2,437"
Buffington (IN),"2,340"
Green Bay (WI),"2,299"
San Diego (CA),"2,189"
Huron (OH),"2,129"
Ludington (MI),"2,129"
Bellingham (WA),"2,047"
Stockton (CA),"1,995"
Fairport (OH),"1,907"
San Francisco (CA),"1,752"
Anchorage (AK),"1,752"
Panama City (FL),"1,639"
Palm Beach (FL),"1,625"
Richmond (VA),"1,609"
Richmond (VA),"1,609"
Salem (MA),"1,557"
Drummond Island (MI),"1,489"
Kalama (WA),"1,466"
Brunswick (GA),"1,464"
Kahului (HI),"1,442"
Hueneme (CA),"1,406"
Humboldt Bay (CA),"1,324"
Hopewell (VA),"1,266"
Gulfport (MS),"1,242"
Muskegon (MI),"1,235"
Searsport (ME),"1,193"
Ponce (PR),"1,145"
Hilo (HI),"1,102"
Skagway (AK),"1,085"
Georgetown(SC),"1,045"
Marblehead (OH),"1,030"
Sitka (AK),"1,014"
Redwood City (CA),951
Bucksport (ME),939
Oswego (NY),860
Nawiliwili (HI),785
Olympia (WA),721
Port Townsend (WA),701
Christiansted (VI),687
Marysville (MI),615
Orange (TX),567
Wrangell (AK),550
Kawaihae (HI),516
Erie (PA),508
St. Thomas (VI),415
Mayaguez (PR),387
Fernandina (FL),351
Waukegan (IL),286.0
Marine City (MI),282.0
New Bedford (MA),229.0
Rochester (NY),178.0
Fajardo (PR),165.0
Charlevoix (MI),144.0
Marquette (MI),77.0
Kelleys Island (OH),3.0
Port Manatee,
Paulsboro (NJ),
Marcus Hook (PA),
Grand Haven (MI),
Port Huron (MI),
