port,Short tons 1992
South Louisiana (LA),"199,665"
Houston (TX),"137,664"
New York/New Jersey,"115,311"
Valdez (AK0,"93,737"
Baton Rouge (LA),"84,699"
Hampton Roads (VA),"79,064"
New Orleans (LA),"66,441"
Corpus Christi (TX),"60,833"
Plaquemines (LA),"58,473"
Long Beach (CA),"52,049"
Tampa (FL),"46,434"
Lake Charles (LA),"44,039"
Texas City (TX),"43,104"
Mobile (AL),"40,482"
Los Angeles (CA),"40,104"
Philadelphia (PA),"39,667"
Duluth/Superior (MI/WI),"39,304"
Baltimore (MD),"37,656"
Port Arthur (TX),"33,526"
Pascagoula (MS),"29,253"
Portland (WA),"28,227"
Beaumont (TX),"22,702"
Chicago (IL),"22,154"
Seattle (WA),"21,883"
Richmond (CA),"21,042"
Tacoma (WA),"20,116"
Boston(MA),"19,208"
Jacksonville (FL),"17,209"
Detroit (MI),"16,303"
Indiana Harbor (IN),"15,326"
Anacortes (WA),"15,260"
Freeport (TX),"14,953"
Port Everglades (FL),"14,508"
San Juan (PR),"14,331"
Savannah (GA),"13,989"
Cleveland (OH),"13,654"
Lorain (OH),"13,282"
Oakland (CA),"13,211"
Toledo (OH),"12,722"
Portland (ME),"12,511"
Galveston (TX),"12,318"
Honolulu (HI),"11,522"
Two Harbors (MI),"11,160"
Presque Isle (MI),"10,737"
Ashtabula (OH),"10,519"
Charleston (SC),"9,650"
Taconite (MN),"9,069"
Barbers Point (HI),"8,824"
Burns Waterway (IN),"8,756"
Stoneport (MI),"8,650"
New Haven (CT),"8,430"
Escanaba (MI),"7,401"
Wilmington (NC),"7,226"
Calcite (MI),"7,049"
Grays Harbor (WA),"6,953"
Vancouver (WA),"6,839"
Kalama (WA),"6,676"
Conneaut (OH),"6,540"
Miami (FL),"6,451"
Longview (WA),"6,309"
Providence (RI),"6,185"
Everett (WA),"6,010"
Albany (NY),"5,674"
Port Lavaca (TX),"5,390"
Sandusky (OH),"5,179"
Camden (NJ),"4,855"
St. Clair (MI),"4,666"
Coos Bay (OR),"4,458"
Morehead City (NC),"4,440"
Wilmington (DE),"3,826"
Saginaw River (MI),"3,789"
Portsmouth(NH),"3,738"
Fall River (MA),"3,530"
San Francisco (CA),"3,198"
Marine City (MI),"3,174"
Canaveral (FL),"2,968"
Bridgeport (CT),"2,948"
Port Manatee,"2,797"
Panama City (FL),"2,734"
Palm Beach (FL),"2,646"
Fairport (OH),"2,613"
Anchorage (AK),"2,540"
Alpena (MI),"2,486"
Buffalo (NY),"2,473"
Green Bay (WI),"2,431"
Kahului (HI),"2,357"
Port Angeles (WA),"2,336"
Milwaukee (WI),"2,153"
Ketchikan (AK),"1,986"
Skagway (AK),"1,949"
Monroe (MI),"1,778"
New London (CT),"1,765"
Stockton (CA),"1,719"
Pensacola (FL),"1,690"
Port Huron (MI),"1,652"
Richmond (VA),"1,633"
Richmond (VA),"1,633"
Brownsville (TX),"1,594"
Hilo (HI),"1,588"
Muskegon (MI),"1,562"
Drummond Island (MI),"1,496"
Brunswick (GA),"1,450"
Salem (MA),"1,439"
Bellingham (WA),"1,383"
Bucksport (ME),"1,354"
Charlevoix (MI),"1,353"
Humboldt Bay (CA),"1,311"
Hopewell (VA),"1,278"
Gulfport (MS),"1,249"
Erie (PA),"1,247"
Nawiliwili (HI),"1,143"
Sacramento (CA),"1,136"
Christiansted (VI),"1,046"
Georgetown(SC),955
Grand Haven (MI),871
Ludington (MI),846
Ponce (PR),829
Redwood City (CA),816
Kawaihae (HI),790
Searsport (ME),783
Astoria (OR),721
Wrangell (AK),718
Olympia (WA),714
Seward (AK),686
Marysville (MI),640
San Diego (CA),638
Huron (OH),618
Oswego (NY),582
Kelleys Island (OH),564
Orange (TX),553
Waukegan (IL),520
Kodiak (AK),490
New Bedford (MA),484
Hueneme (CA),474
Marquette (MI),454
St. Thomas (VI).1,447
Fernandina (FL),379
Mayaguez (PR),366
Port Townsend (WA),325
Homer (AK),287
Fajardo (PR),283
Juneau (AK),163
Sitka (AK),-
Silver Bay (MN),
Marcus Hook (PA),
Port Dolmite (MI),
Marblehead (OH),
Gary (IN),
Port Inland (MI),
