port,Short tons 1973
South Louisiana (LA),
New York/New Jersey,"216,896"
Houston (TX),"88,518"
Hampton Roads (VA),"63,694"
New Orleans (LA),"57,526"
Philadelphia (PA),"54,630"
Baltimore (MD),"53,787"
Baton Rouge (LA),"53,569"
Duluth/Superior (MI/WI),"48,158"
Chicago (IL),"47,381"
Plaquemines (LA),"42,301"
Tampa (FL),"41,923"
Beaumont (TX),"34,491"
Detroit (MI),"31,542"
Mobile (AL),"30,518"
Portland (ME),"28,844"
Long Beach (CA),"27,133"
Boston(MA),"27,057"
Corpus Christi (TX),"25,992"
Los Angeles (CA),"25,977"
Port Arthur (TX),"24,931"
Toledo (OH),"24,922"
Cleveland (OH),"24,828"
Portland (WA),"20,077"
Texas City (TX),"19,959"
Richmond (CA),"18,260"
Indiana Harbor (IN),"17,898"
Seattle (WA),"17,000"
Conneaut (OH),"16,732"
Ashtabula (OH),"16,732"
Lake Charles (LA),"16,505"
Jacksonville (FL),"15,514"
New Haven (CT),"13,709"
Buffalo (NY),"13,177"
Pascagoula (MS),"12,877"
Port Everglades (FL),"12,542"
Lorain (OH),"11,584"
Albany (NY),"11,328"
San Juan (PR),"10,773"
Providence (RI),"10,236"
Wilmington (NC),"10,062"
Tacoma (WA),"9,805"
Charleston (SC),"9,380"
Savannah (GA),"8,980"
Two Harbors (MI),"8,630"
Honolulu (HI),"8,188"
Coos Bay (OR),"7,731"
Oakland (CA),"7,415"
Freeport (TX),"7,348"
Galveston (TX),"6,862"
Brownsville (TX),"6,011"
Longview (WA),"5,859"
Milwaukee (WI),"5,636"
New London (CT),"5,580"
Miami (FL),"5,569"
Burns Waterway (IN),"5,520"
Everett (WA),"4,920"
Sandusky (OH),"4,914"
Fall River (MA),"4,625"
Port Lavaca (TX),"4,527"
San Francisco (CA),"4,486"
Saginaw River (MI),"4,096"
Wilmington (DE),"4,002"
Barbers Point (HI),"3,945"
Grays Harbor (WA),"3,843"
Presque Isle (MI),"3,741"
Fairport (OH),"3,681"
Huron (OH),"3,655"
Vancouver (WA),"3,591"
Bellingham (WA),"3,565"
Bridgeport (CT),"3,554"
St. Clair (MI),"3,338"
Muskegon (MI),"2,923"
Port Angeles (WA),"2,919"
Anacortes (WA),"2,896"
Alpena (MI),"2,854"
Drummond Island (MI),"2,733"
Green Bay (WI),"2,724"
Camden (NJ),"2,698"
Anchorage (AK),"2,625"
Ludington (MI),"2,542"
Canaveral (FL),"2,363"
Portsmouth(NH),"2,315"
Pensacola (FL),"2,279"
Ketchikan (AK),"2,167"
San Diego (CA),"2,063"
Astoria (OR),"1,827"
Stockton (CA),"1,807"
Panama City (FL),"1,806"
Salem (MA),"1,800"
Sacramento (CA),"1,601"
Georgetown(SC),"1,486"
Humboldt Bay (CA),"1,432"
Brunswick (GA),"1,394"
Kalama (WA),"1,382"
Skagway (AK),"1,348"
Port Townsend (WA),"1,347"
Searsport (ME),"1,323"
Palm Beach (FL),"1,284"
Erie (PA),"1,283"
Orange (TX),"1,280"
Bucksport (ME),"1,183"
Wrangell (AK),"1,172"
Morehead City (NC),"1,161"
Hueneme (CA),"1,109"
Hopewell (VA),"1,097"
Kahului (HI),"1,043"
Hilo (HI),"1,042"
Olympia (WA),990
Gulfport (MS),989
Oswego (NY),931
Sitka (AK),828
Marysville (MI),607
Waukegan (IL),590
Ponce (PR),516
Nawiliwili (HI),495
Redwood City (CA),468
Christiansted (VI),402
St. Thomas (VI),392
Fernandina (FL),387
Kawaihae (HI),386
Mayaguez (PR),345
Valdez (AK0,301
Marine City (MI),253
Monroe (MI),37
