Port,Short tons 2008
"Toledo, OH","10,955"
"Cleveland, OH","10,637"
"Port Lavaca, TX","10,318"
"Barbers Point, Oahu, HI","10,137"
"Galveston, TX","9,781"
"New Haven, CT","9,663"
"Gary, IN","9,030"
"Presque Isle, MI","8,808"
"Providence, RI","8,518"
"Vancouver, WA","7,937"
"St. Clair, MI","7,880"
"Albany, NY","7,556"
"Louisville, KY","7,436"
"Ashtabula, OH","6,906"
"Wilmington, NC","6,872"
"New Castle, DE","6,868"
"Miami, FL","6,826"
"Stoneport, MI","6,625"
"Silver Bay, MN","6,604"
"Escanaba, MI","6,340"
"Burns Waterway Harbor, IN","6,283"
"Camden-Gloucester, NJ","6,263"
"Longview, WA","5,867"
"Bridgeport, CT","5,841"
"Calcite, MI","5,834"
"Port Inland, MI","5,706"
"Brownsville, TX","5,669"
"Mount Vernon, IN","5,209"
"Nikishka, AK","5,037"
"Conneaut, OH","4,654"
"Chester, PA","4,122"
"Wilmington, DE","3,979"
"Kahului, Maui, HI","3,958"
"Portsmouth, NH","3,833"
"Ponce, PR","3,753"
"Fall River, MA","3,655"
"Vicksburg, MS","3,550"
"Biloxi, MS","3,508"
"St. Paul, MN","3,424"
"Nashville, TN","3,314"
"Morehead City, NC","3,300"
"Milwaukee, WI","3,240"
"Alpena, MI","3,099"
"Marblehead, OH","3,022"
"Greenville, MS","3,018"
"Victoria, TX","2,862"
"Everett, WA","2,837"
"Sandusky, OH","2,765"
"Panama City, FL","2,732"
"Port Manatee, FL","2,728"
"Kivilina, AK","2,586"
"Helena, AR","2,541"
"Penn Manor, PA","2,520"
"Green Bay, WI","2,477"
"Brunswick, GA","2,444"
"Port Canaveral, FL","2,431"
"Anchorage, AK","2,405"
"Palm Beach, FL","2,377"
"Chattanooga, TN","2,231"
"Lorain, OH","2,186"
"Port Dolomite, MI","2,169"
"Gulfport, MS","2,143"
"Muskegon, MI","2,116"
"Hilo, HI","2,068"
"Kawaihae Harbor, HI","2,063"
"Kansas City, MO","2,051"
"Tulsa, Port of Catoosa, OK","2,025"
"San Diego, CA","1,891"
"Searsport, ME","1,856"
"Fairport Harbor, OH","1,798"
"Stockton, CA","1,772"
"Guntersville, AL","1,744"
"Coos Bay, OR","1,733"
"Nawiliwili, Kauai, HI","1,680"
"Grays Harbor, WA","1,678"
"Redwood City, CA","1,675"
"Buffalo, NY","1,457"
"San Francisco, CA","1,386"
"Trenton, NJ","1,384"
"Charlevoix, MI","1,351"
"Buffington, IN","1,334"
"Richmond, VA","1,318"
"Port Hueneme, CA","1,301"
"Port Jefferson, NY","1,271"
"Port Angeles, WA","1,245"
"Marquette, MI","1,222"
"Sabin Pass, TX","1,214"
"Drummond Island, MI","1,116"
"Grand Haven, MI","1,080"
"Stamford, CT","1,064"
"Monroe, MI","1,059"
"Olympia, WA","1,026"
"Unalaska Island, AK","1,024"
"Marine City, MI","1,010"
"Hopewell, VA","1,010"
"Huron, OH","1,002"
"Hempstead, NY",964
"Lake Providence, LA",856
"Elvis Stahr Harbor, KY",838
"Pensacola, FL",831
"Sacramento, CA",825
"South Louisiana, LA,","223,987"
"Houston, TX","212,208"
New York/New Jersey,"153,480"
"Long Beach, CA","80,205"
"Corpus Christi, TX","76,786"
"New Orleans, LA","73,011"
"Beaumont, TX","69,484"
Huntington - Tristate,"69,335"
"Mobile, AL","67,636"
"Hampton Roads, VA","67,196"
"Plaquemines, LA,","63,744"
"Los Angeles, CA","59,788"
"Lake Charles, LA","53,778"
"Texas City, TX","52,606"
"Baton Rouge, LA","51,809"
"Duluth-Superior, MN/WI","45,342"
"Baltimore, MD","43,413"
"Pittsburgh, PA","41,837"
"Tampa, FL","39,676"
"Paulsboro, NJ","36,352"
"Valdez, AK","35,967"
"Savannah, GA","35,394"
"Pascagoula, MS","33,590"
"Philadelphia, PA","32,283"
"Port Arthur, TX","317,527"
"Freeport, TX","29,842"
"St. Louis, MO and IL","29,512"
"Tacoma, WA","27,166"
"Portland, OR","26,668"
"Richmond, CA","26,357"
"Seattle, WA","26,169"
"Marcus Hook, PA","24,671"
"Chicago, IL","22,660"
"Portland, ME","22,124"
"Port Everglades, FL","21,652"
"Jacksonville, FL","21,050"
"Boston, MA","21,035"
"Charleston, SC","20,936"
"Oakland, CA","17,810"
"Memphis, TN","16,361"
"Indiana Harbor, IN","15,381"
"Honolulu, HI","14,006"
"Cincinnati, OH","13,445"
"Two Harbors, MN","13,433"
"Kalama, WA","12,935"
"Detroit, MI","12,836"
"Anacortes, WA","11,468"
"San Juan, PR","10,973"
