port,Short tons 2001
"South Louisiana, LA","212,565"
"Houston, TX","185,050"
New York/New Jersey,"137,484"
"New Orleans, LA","85,628"
"Beaumont, TX","79,131"
"Corpus Christi, TX","77,576"
"Huntington, WV","76,670"
"Long Beach, CA","67,644"
"Texas City, TX","62,270"
"Baton Rouge, LA","61,415"
"Plaquemines, LA","60,694"
"Pittsburgh, PA","53,009"
"Lake Charles, LA","52,845"
"Los Angeles, CA","51,396"
"Hampton Roads, VA","51,170"
"Valdez, AK","50,977"
"Mobile, AL","48,116"
"Philadelphia, PA","46,372"
"Tampa, FL","45,794"
"Baltimore, MD","42,072"
"Duluth-Superior, MN and WI","39,811"
"St. Louis, MO and IL","34,432"
"Portland, OR","31,339"
"Freeport, TX","30,143"
"Pascagoula, MS","29,549"
"Portland, ME","28,492"
"Charleston, SC","23,250"
"Port Arthur, TX","22,802"
"Chicago, IL","21,976"
"Port Everglades, FL","21,915"
"Paulsboro, NJ","21,261"
"Richmond, CA","21,220"
"Boston, MA","20,581"
"Seattle, WA","20,546"
"Tacoma, WA","20,523"
"Savannah, GA","19,392"
"Marcus Hook, PA","19,124"
"Jacksonville, FL","17,809"
"Detroit, MI","16,991"
"Memphis, TN","16,907"
"Anacortes, WA","16,769"
"Honolulu, HI","16,562"
"Cincinnati, OH","14,099"
"Indiana Harbor, IN","13,579"
"San Juan, PR","12,805"
"Oakland, CA","12,273"
"Cleveland, OH","11,938"
"Two Harbors, MN","11,875"
"Ashtabula, OH","10,934"
"Toledo, OH","10,535"
"Conneaut, OH","10,485"
"New Haven, CT","9,876"
"Presque Isle, MI","9,475"
"Louisville, KY","9,087"
"Matagorda Ship Channel, TX","9,086"
"Galveston, TX","9,038"
"Providence, RI","9,030"
"Gary, IN","8,907"
"Burns Waterway Harbor, IN","8,735"
"New Castle, DE","8,560"
"Miami, FL","8,514"
"Calcite, MI","8,317"
"Stoneport, MI","8,118"
"Lorain, OH","7,865"
"Albany, NY","7,265"
"Vancouver, WA","7,039"
"Escanaba, MI","6,980"
"Kalama, WA","6,640"
"Wilmington, DE","6,420"
"Nikishka, AK","6,371"
"Port Inland, MI","6,260"
"Wilmington, NC","6,206"
"Barbers Point, Oahu, HI","6,079"
"Camden-Gloucester, NJ","5,126"
"Nashville, TN","4,845"
"St. Clair, MI","4,818"
"Vicksburg, MS","4,740"
"Victoria, TX","4,733"
"St. Paul, MN","4,668"
"Sandusky, OH","4,649"
"Bridgeport, CT","4,581"
"Portsmouth, NH","4,447"
"Port Canaveral, FL","4,378"
"Silver Bay, MN","4,304"
"Kansas City, MO","4,276"
"Brownsville, TX","4,100"
"Chester, PA","3,989"
"Marine City, MI","3,896"
"Port Manatee, FL","3,802"
"Kahului, Maui, HI","3,695"
"Longview, WA","3,589"
"Palm Beach, FL","3,518"
"Fall River, MA","3,382"
"Milwaukee, WI","3,373"
"Penn Manor, PA","3,326"
"Port Dolomite, MI","3,295"
"Alpena, MI","3,268"
"Ponce, PR","3,220"
"Morehead City, NC","3,143"
"San Diego, CA","3,121"
"Greenville, MS","3,068"
"Marblehead, OH","3,036"
"Mount Vernon, IN","3,014"
"Panama City, FL","2,997"
"Fairport Harbor, OH","2,942"
"Everett, WA","2,868"
"Anchorage, AK","2,861"
"Chattanooga, TN","2,814"
"Biloxi, MS","2,781"
"Kivilina, AK","2,683"
"Stockton, CA","2,605"
"Port Jefferson, NY","2,578"
"Brunswick, GA","2,499"
"Muskegon, MI","2,324"
"Gulfport, MS","2,317"
"San Francisco, CA","2,298"
"Taconite, MN","2,243"
"Green Bay, WI","2,242"
"Port Angeles, WA","2,154"
"Tulsa, Port of Catoosa, OK","1,932"
"Richmond, VA","1,907"
"Grand Haven, MI","1,794"
"Guntersville, AL","1,765"
"Helena, AR","1,719"
"Coos Bay, OR","1,704"
"Hilo, HI","1,680"
"Pensacola, FL","1,612"
"Minneapolis, MN","1,536"
"Charlevoix, MI","1,533"
"Marysville, MI","1,503"
"Nawiliwili, Kauai, HI","1,478"
"Kawaihae Harbor, HI","1,378"
"Trenton, NJ","1,373"
"Georgetown, SC","1,362"
"Grays Harbor, WA","1,326"
"Olympia, WA","1,326"
"Huron, OH","1,260"
"Manistee, MI","1,227"
"Buffalo, NY","1,215"
"Sabine Pass, TX","1,203"
"Drummond Island, MI","1,198"
"Hempstead, NY","1,197"
"Searsport, ME","1,196"
"Erie, PA","1,159"
"Buffington, IN","1,144"
"Port Hueneme, CA","1,134"
"Salem, MA","1,058"
"Kelleys Island, OH","1,050"
