port,Short tons 1986
South Louisiana (LA),*
New York/New Jersey,"1 57,801"
Houston (TX),"1 01,659"
Valdez (AK0,"1 01,118"
Baton Rouge (LA),"7 7,184"
Hampton Roads (VA),"6 6,052"
New Orleans (LA),"5 8,866"
Corpus Christi (TX),"5 0,105"
Pascagoula (MS),"4 5,767"
Mobile (AL),"4 5,058"
Tampa (FL),"4 4,522"
Plaquemines (LA),"4 3,211"
Long Beach (CA),"4 2,718"
Los Angeles (CA),"3 9,859"
Philadelphia (PA),"3 5,661"
Texas City (TX),"3 5,480"
Baltimore (MD),"3 5,432"
Lake Charles (LA),"3 0,921"
Duluth/Superior (MI/WI),"2 9,155"
Beaumont (TX),"2 7,454"
Portland (WA),"2 5,590"
Chicago (IL),"2 4,330"
Boston(MA),"2 1,036"
Port Arthur (TX),"1 8,880"
Richmond (CA),"1 8,833"
Toledo (OH),"1 7,819"
Seattle (WA),"1 7,098"
Tacoma (WA),"1 6,173"
Detroit (MI),"1 5,219"
Indiana Harbor (IN),"1 4,014"
Freeport (TX),"1 3,373"
Anacortes (WA),"1 2,747"
Jacksonville (FL),"1 2,442"
San Juan (PR),"1 2,361"
Cleveland (OH),"1 2,188"
Savannah (GA),"1 2,041"
Port Everglades (FL),"1 1,536"
Lorain (OH),"1 1,427"
Longview (WA),"1 0,313"
New Haven (CT),"1 0,065"
Charleston (SC),"9 ,344"
Escanaba (MI),"8 ,720"
St. Clair (MI),"8 ,608"
Honolulu (HI),"8 ,604"
Oakland (CA),"8 ,248"
Galveston (TX),"7 ,988"
Conneaut (OH),"7 ,675"
Providence (RI),"7 ,496"
Ashtabula (OH),"7 ,164"
Portland (ME),"6 ,992"
Albany (NY),"6 ,871"
Calcite (MI),"6 ,843"
Wilmington (NC),"6 ,807"
Burns Waterway (IN),"6 ,750"
Stoneport (MI),"6 ,643"
Two Harbors (MI),"6 ,609"
Taconite (MN),"6 ,102"
Coos Bay (OR),"6 ,055"
Everett (WA),"5 ,797"
Barbers Point (HI),"5 ,629"
Fall River (MA),"5 ,438"
Morehead City (NC),"5 ,225"
Port Lavaca (TX),"4 ,859"
Presque Isle (MI),"4 ,702"
Grays Harbor (WA),"4 ,585"
Miami (FL),"4 ,482"
Sandusky (OH),"4 ,135"
Pensacola (FL),"4 ,098"
Saginaw River (MI),"3 ,917"
Wilmington (DE),"3 ,820"
Camden (NJ),"3 ,691"
Panama City (FL),"3 ,507"
Portsmouth(NH),"3 ,487"
Port Angeles (WA),"3 ,310"
Bridgeport (CT),"2 ,863"
Vancouver (WA),"2 ,852"
San Francisco (CA),"2 ,774"
Fairport (OH),"2 ,493"
Alpena (MI),"2 ,393"
Canaveral (FL),"2 ,374"
Richmond (VA),"2 ,364"
Richmond (VA),"2 ,364"
San Diego (CA),"2 ,344"
Palm Beach (FL),"2 ,322"
Green Bay (WI),"2 ,200"
Ketchikan (AK),"2 ,072"
Kalama (WA),"2 ,044"
Milwaukee (WI),"1 ,823"
Bellingham (WA),"1 ,776"
Salem (MA),"1 ,695"
Buffalo (NY),"1 ,628"
Kahului (HI),"1 ,627"
Brunswick (GA),"1 ,598"
Humboldt Bay (CA),"1 ,506"
Hopewell (VA),"1 ,427"
Anchorage (AK),"1 ,332"
Drummond Island (MI),"1 ,301"
Gulfport (MS),"1 ,213"
Brownsville (TX),"1 ,213"
Olympia (WA),"1 ,199"
Hilo (HI),"1 ,199"
Muskegon (MI),"1 ,193"
Astoria (OR),"1 ,137"
Sacramento (CA),"1 ,015"
Searsport (ME),9 79
New London (CT),9 01
Stockton (CA),8 68
Erie (PA),8 34
Seward (AK),8 12
Nawiliwili (HI),7 45
Ludington (MI),7 21
Sitka (AK),7 17
Orange (TX),6 62
Skagway (AK),6 40
Ponce (PR),6 33
Monroe (MI),6 23
Bucksport (ME),5 95
Kawaihae (HI),5 92
Port Townsend (WA),5 35
Hueneme (CA),5 21
Redwood City (CA),5 21
Christiansted (VI),4 95
Oswego (NY),4 83
Waukegan (IL),4 64
Georgetown(SC),4 59
Mayaguez (PR),4 00
Wrangell (AK),3 86
Marine City (MI),3 82
Marquette (MI),3 57
St. Thomas (VI),3 55
New Bedford (MA),3 46
Huron (OH),2 63
Marysville (MI),2 10
Kodiak (AK),2 00
Fernandina (FL),1 56
Fajardo (PR),1 08
Charlevoix (MI),5 9
Rochester (NY),
Buffington (IN),
Silver Bay (MN),
Paulsboro (NJ),
Marblehead (OH),
Gary (IN),
Grand Haven (MI),
Kelleys Island (OH),
Port Huron (MI),
Marcus Hook (PA),
Port Inland (MI),
Port Manatee,
