Port,2011 short tons
"South Louisiana, LA","246,509"
"Houston, TX","237,799"
New York/New Jersey,"139,173"
"Long Beach, CA","80,276"
"New Orleans, LA","77,175"
"Beaumont, TX","73,672"
"Hampton Roads, VA","72,553"
"Corpus Christi, TX","70,538"
"Los Angeles, CA","64,992"
Huntington - Tristate,"58,551"
"Baton Rouge, LA","57,872"
"Texas City, TX","57,758"
"Mobile, AL","55,552"
"Lake Charles, LA","54,247"
"Plaquemines, LA","54,093"
"Baltimore, MD","44,866"
"Pascagoula, MS","36,863"
"St. Louis, MO/IL","36,487"
"Savannah, GA","35,459"
"Duluth/Superior, MI/WI","35,081"
"Pittsburgh, PA","33,819"
"Tampa, FL","31,408"
"Philadelphia, PA","30,632"
"Port Arthur, TX","30,275"
"Valdez, AK","29,838"
"Seattle, WA","26,610"
"Portland, OR","25,479"
"Richmond, CA","24,256"
"Tacoma, WA","24,151"
"Freeport, TX","23,312"
"Port Everglades, FL","20,956"
"Chicago, IL","20,351"
"Marcus Hook, PA","18,826"
"Oakland, CA","18,495"
"Boston, MA","18,407"
"Charleston, SC","17,917"
"Paulsboro, NJ","17,583"
"Jacksonville, FL","16,828"
"Two Harbors, MN","15,630"
"Galveston, TX","13,744"
"Detroit, MI","13,739"
"Portland, ME","13,178"
"Honolulu, HI","12,658"
"Memphis, TN","12,612"
"Kalama, WA","12,234"
"Indiana Harbor, IN","11,977"
"Anacortes, WA","11,976"
"Cincinnati, OH","11,733"
"Cleveland, OH","11,574"
"Toledo, OH","11,128"
"San Juan, PR","11,027"
"Presque Isle, MI","10,605"
"Barbers Point, Oahu, HI","9,800"
"Gary, IN","9,723"
Port Lavaca (TX),"9,333"
"New Haven, CT","8,892"
"Burns Waterway Harbor, IN","8,281"
"Vancouver, WA","7,963"
"Providence, RI","7,553"
"St. Clair, MI","7,500"
"Miami, FL","7,178"
"Wilmington, NC","6,973"
"Longview, WA","6,873"
"Camden-Gloucester, NJ","6,197"
"Mount Vernon, IN","5,993"
"Brownsville, TX","5,907"
"Silver Bay, MN","5,845"
"Albany, NY","5,726"
"Stoneport, MI","5,652"
"Wilmington, DE","5,629"
"Calcite, MI","5,590"
"Louisville, KY","5,465"
"New Castle, DE","5,050"
"Port Inland, MI","4,868"
"Ashtabula, OH","4,716"
"Conneaut, OH","4,669"
"St. Paul, MN","4,588"
"Nikishka, AK","4,525"
"Escanaba, MI","4,128"
"Port Manatee, FL","3,724"
"Morehead City, NC","3,570"
"Victoria, TX","3,528"
"Kahului, Maui, HI","3,504"
"Stockton, CA","3,482"
"Port Canaveral, FL","3,462"
"Portsmouth, NH","3,047"
"Port Dolomite, MI","2,959"
"Marblehead, OH","2,938"
"Milwaukee, WI","2,901"
"Anchorage, AK","2,784"
"Kivilina, AK","2,706"
"Vicksburg, MS","2,623"
"Bridgeport, CT","2,593"
"Greenville, MS","2,529"
"Chattanooga, TN","2,404"
"Sandusky, OH","2,370"
"Coos Bay, OR","2,332"
"Alpena, MI","2,330"
"Monroe, MI","2,251"
"Fairport Harbor, OH","2,201"
"Green Bay, WI","2,178"
"Gulfport, MS","2,151"
"Panama City, FL","2,142"
"Brunswick, GA","2,054"
"Tulsa/Catoosa, OK","2,037"
"Hilo, HI","1,984"
"Penn Manor, PA","1,946"
"Nashville, TN","1,918"
"Palm Beach, FL","1,813"
"Kawaihae Harbor, HI","1,811"
"Marquette, MI","1,774"
"Fall River, MA","1,772"
"Searsport, ME","1,728"
"Ponce, PR","1,683"
"Nawiliwili, Kauai, HI","1,667"
"Grays Harbor, WA","1,651"
"Biloxi, MS","1,612"
"Morgan City, LA","1,558"
"Guntersville, AL","1,540"
"Buffington, IN","1,530"
"Muskegon, MI","1,476"
"Port Hueneme, CA","1,472"
"San Diego, CA","1,444"
"Helena, AR","1,437"
"San Francisco, CA","1,376"
"Rosedale, MS","1,365"
"Olympia, WA","1,357"
"Unalaska Island, AK","1,321"
"Chester, PA","1,279"
"Port Jefferson, NY","1,222"
130,"Nawiliwili, Kauai, HI"
"Kansas City, MO","1,130"
"Seward, AK","1,113"
"Everett, WA","1,093"
"Drummond Island, MI","1,050"
"Hopewell, VA","1,019"
"Aransas Pass, TX",945
"Buffalo, NY",943
"Southeast Missouri Port, MO",932
138,"Grand Haven, MI"
"Port Angeles, WA",927
"Richmond, VA",902
"Lake Providence, LA",896
"Redwood City, CA",896
"Elvis Stahr Harbor, KY",856
"Ketchikan, AK",833
"Hempstead, NY",814
"Taconite, MN",764
"Pensacola, FL",752
"Orange, TX",696
