port,Short tons 2002
"South Louisiana, LA","216,396"
"Houston, TX","177,561"
New York/New Jersey,"134,505"
"Beaumont, TX","85,911"
"New Orleans, LA","85,000"
"Huntington, WV","81,064"
"Corpus Christi, TX","72,000"
"Long Beach, CA","67,872"
"Baton Rouge, LA","60,583"
"Plaquemines, LA","59,111"
"Texas City, TX","55,233"
"Los Angeles, CA","52,216"
"Pittsburgh, PA","52,051"
"Valdez, AK","50,513"
"Tampa, FL","48,385"
"Lake Charles, LA","47,522"
"Mobile, AL","46,022"
"Duluth-Superior, MN and WI","44,161"
"Hampton Roads, VA","39,202"
"Baltimore, MD","38,823"
"Philadelphia, PA","34,101"
"St. Louis, MO and IL","32,601"
"Pascagoula, MS","31,858"
"Freeport, TX","27,164"
"Portland, ME","27,132"
"Portland, OR","26,635"
"Paulsboro, NJ","26,383"
"Marcus Hook, PA","25,207"
"Charleston, SC","24,993"
"Port Arthur, TX","22,676"
"Richmond, CA","21,901"
"Port Everglades, FL","21,280"
"Savannah, GA","20,664"
"Tacoma, WA","20,587"
"Chicago, IL","20,403"
"Boston, MA","20,354"
"Seattle, WA","19,591"
"Jacksonville, FL","17,906"
"Detroit, MI","17,306"
"Honolulu, HI","16,636"
"Memphis, TN","16,401"
"Anacortes, WA","15,363"
"Two Harbors, MN","14,895"
"Indiana Harbor, IN","13,839"
"Cincinnati, OH","13,007"
"Oakland, CA","12,455"
"San Juan, PR","12,378"
"Cleveland, OH","11,412"
"Toledo, OH","11,115"
"Presque Isle, MI","10,592"
"Conneaut, OH","10,474"
"New Castle, DE","10,387"
"New Haven, CT","10,142"
"Ashtabula, OH","9,838"
Port Lavaca< TX,"9,590"
"Gary, IN","9,482"
"Galveston, TX","9,136"
"Miami, FL","8,927"
"Burns Waterway Harbor, IN","8,621"
"Calcite, MI","8,575"
"Providence, RI","8,244"
"Louisville, KY","7,894"
"Stoneport, MI","7,455"
"Nikishka, AK","7,235"
"Albany, NY","6,836"
"Lorain, OH","6,672"
"Vancouver, WA","6,610"
"Wilmington, NC","6,504"
"Kalama, WA","6,386"
"Camden-Gloucester, NJ","6,142"
"Barbers Point, Oahu, HI","5,990"
"St. Paul, MN","5,617"
"Port Inland, MI","5,563"
"Silver Bay, MN","4,921"
"Brownsville, TX","4,739"
"Victoria, TX","4,734"
"Longview, WA","4,706"
"Escanaba, MI","4,645"
"Bridgeport, CT","4,607"
"St. Clair, MI","4,506"
"Wilmington, DE","4,483"
"Sandusky, OH","4,455"
"Vicksburg, MS","4,237"
"Port Manatee, FL","4,233"
"Nashville, TN","4,224"
"Portsmouth, NH","4,108"
"Palm Beach, FL","4,022"
"Port Canaveral, FL","3,981"
"Mount Vernon, IN","3,835"
"Marine City, MI","3,713"
"Ponce, PR","3,712"
"Kansas City, MO","3,575"
"Kahului, Maui, HI","3,458"
"Fall River, MA","3,392"
"Marblehead, OH","3,384"
"Alpena, MI","3,218"
"Port Dolomite, MI","3,147"
"Kivilina, AK","3,127"
"Milwaukee, WI","3,127"
"Everett, WA","3,009"
"Anchorage, AK","2,983"
"Penn Manor, PA","2,848"
"Greenville, MS","2,782"
"Chattanooga, TN","2,770"
"Brunswick, GA","2,577"
"Port Jefferson, NY","2,505"
"San Diego, CA","2,480"
"Panama City, FL","2,478"
"Stockton, CA","2,428"
"Guntersville, AL","2,417"
"Biloxi, MS","2,330"
"Fairport Harbor, OH","2,326"
"Gulfport, MS","2,290"
"Muskegon, MI","2,187"
"Tulsa, Port of Catoosa, OK","2,097"
"Morehead City, NC","2,097"
"Green Bay, WI","2,078"
"San Francisco, CA","2,006"
"Chester, PA","1,818"
"Helena, AR","1,778"
"Minneapolis, MN","1,770"
"Hilo, HI","1,765"
"Coos Bay, OR","1,707"
"Buffalo, NY","1,686"
"Port Angeles, WA","1,674"
"Grays Harbor, WA","1,666"
"Kawaihae Harbor, HI","1,645"
"Nawiliwili, Kauai, HI","1,619"
"Manistee, MI","1,457"
"Olympia, WA","1,440"
"Pensacola, FL","1,423"
"Georgetown, SC","1,411"
"Richmond, VA","1,363"
"Erie, PA","1,362"
"Weedon Island, FL","1,354"
"Charlevoix, MI","1,343"
"Marysville, MI","1,323"
"Kelleys Island, OH","1,289"
"Buffington, IN","1,251"
"Hempstead, NY","1,236"
"Drummond Island, MI","1,221"
"Sabine Pass, TX","1,214"
"Port Hueneme, CA","1,152"
"Hopewell, VA","1,108"
"Searsport, ME","1,040"
"Stamford, CT","1,010"
"Trenton, NJ","1,008"
"Monroe, MI","1,008"
