Port,Short tons 1983
South Louisiana (LA),*
New York/New Jersey,"147,307"
Valdez (AK0,"93,536"
Houston (TX),"88,707"
Baton Rouge (LA),"68,395"
Hampton Roads (VA),"59,154"
New Orleans (LA),"53,768"
Tampa (FL),"44,397"
Long Beach (CA),"41,113"
Pascagoula (MS),"39,740"
Corpus Christi (TX),"39,131"
Plaquemines (LA),"38,953"
Beaumont (TX),"36,002"
Mobile (AL),"35,638"
Texas City (TX),"35,496"
Baltimore (MD),"31,574"
Duluth/Superior (MI/WI),"30,094"
Philadelphia (PA),"29,808"
Los Angeles (CA),"28,035"
Portland (WA),"25,749"
Chicago (IL),"24,454"
Lake Charles (LA),"21,785"
Port Arthur (TX),"18,338"
Seattle (WA),"17,584"
Toledo (OH),"17,409"
Boston(MA),"17,036"
Richmond (CA),"15,803"
Freeport (TX),"15,680"
Detroit (MI),"14,955"
Indiana Harbor (IN),"14,475"
Tacoma (WA),"14,458"
Jacksonville (FL),"11,760"
Port Everglades (FL),"11,463"
Cleveland (OH),"11,360"
San Juan (PR),"10,745"
Savannah (GA),"10,610"
Galveston (TX),"10,178"
Longview (WA),"9,438"
Two Harbors (MI),"9,055"
Conneaut (OH),"8,771"
Escanaba (MI),"8,670"
Ashtabula (OH),"8,395"
Anacortes (WA),"8,361"
New Haven (CT),"8,266"
Honolulu (HI),"8,040"
Portland (ME),"7,904"
Charleston (SC),"7,693"
Lorain (OH),"7,230"
Oakland (CA),"7,131"
Barbers Point (HI),"7,051"
Burns Waterway (IN),"6,332"
Calcite (MI),"6,116"
Wilmington (NC),"6,075"
Providence (RI),"5,693"
Stoneport (MI),"5,347"
Albany (NY),"5,265"
Presque Isle (MI),"5,130"
Coos Bay (OR),"4,776"
Sandusky (OH),"4,344"
Morehead City (NC),"4,257"
St. Clair (MI),"4,242"
Pensacola (FL),"3,949"
Taconite (MN),"3,925"
Everett (WA),"3,733"
Miami (FL),"3,652"
Grays Harbor (WA),"3,565"
Port Lavaca (TX),"3,423"
Fall River (MA),"3,235"
Vancouver (WA),"3,009"
Bridgeport (CT),"2,987"
Camden (NJ),"2,940"
Milwaukee (WI),"2,741"
Monroe (MI),"2,570"
Green Bay (WI),"2,441"
Anchorage (AK),"2,424"
Palm Beach (FL),"2,387"
Saginaw River (MI),"2,386"
Wilmington (DE),"2,319"
Panama City (FL),"2,319"
Canaveral (FL),"2,286"
Buffalo (NY),"2,286"
Portsmouth(NH),"2,240"
Alpena (MI),"2,178"
Port Angeles (WA),"2,086"
Huron (OH),"1,954"
Kahului (HI),"1,843"
Sacramento (CA),"1,822"
Brunswick (GA),"1,809"
Ketchikan (AK),"1,793"
Fairport (OH),"1,710"
Kalama (WA),"1,691"
Astoria (OR),"1,661"
Richmond (VA),"1,653"
Richmond (VA),"1,653"
Hilo (HI),"1,522"
San Francisco (CA),"1,484"
Brownsville (TX),"1,339"
Bellingham (WA),"1,332"
Hopewell (VA),"1,195"
Humboldt Bay (CA),"1,152"
Gulfport (MS),"1,148"
Drummond Island (MI),"1,130"
San Diego (CA),"1,122"
New London (CT),"1,108"
Stockton (CA),"1,103"
Nawiliwili (HI),"1,009"
Salem (MA),962
Muskegon (MI),932
Searsport (ME),825
Redwood City (CA),684
Fajardo (PR),664
Bucksport (ME),662
Ludington (MI),660
Christiansted (VI),657
Erie (PA),607
Wrangell (AK),587
Ponce (PR),577
Port Townsend (WA),559
Sitka (AK),508
Kawaihae (HI),441
Olympia (WA),415
Orange (TX),399
Oswego (NY),355
Georgetown(SC),353
Marysville (MI),286
Kodiak (AK),267
New Bedford (MA),264
Mayaguez (PR),255
Marquette (MI),254
St. Thomas (VI),249
Hueneme (CA),204
Waukegan (IL),192
Marine City (MI),163
Skagway (AK),158
Fernandina (FL),142
Charlevoix (MI),100.0
Seward (AK),40.0
Silver Bay (MN),
Rochester (NY),
Marcus Hook (PA),
Gary (IN),
Paulsboro (NJ),
Port Manatee,
Buffington (IN),
Grand Haven (MI),
Port Inland (MI),
Port Huron (MI),
Port Dolmite (MI),
Kelleys Island (OH),
