port,Short tons 1978
South Louisiana (LA),
New York/New Jersey,"186,773"
Houston (TX),"111,936"
Baton Rouge (LA),"74,570"
New Orleans (LA),"58,595"
Valdez (AK0,"55,552"
Beaumont (TX),"52,770"
Philadelphia (PA),"50,823"
Tampa (FL),"47,077"
Baltimore (MD),"46,809"
Corpus Christi (TX),"46,555"
Duluth/Superior (MI/WI),"45,841"
Hampton Roads (VA),"41,025"
Chicago (IL),"39,691"
Mobile (AL),"36,261"
Texas City (TX),"34,656"
Port Arthur (TX),"33,475"
Plaquemines (LA),"33,086"
Los Angeles (CA),"32,827"
Long Beach (CA),"31,586"
Toledo (OH),"27,571"
Lake Charles (LA),"26,606"
Portland (WA),"26,573"
Boston(MA),"26,074"
Detroit (MI),"25,882"
Pascagoula (MS),"25,244"
Seattle (WA),"22,482"
Portland (ME),"22,165"
Freeport (TX),"21,712"
Indiana Harbor (IN),"20,716"
Cleveland (OH),"19,659"
Richmond (CA),"18,986"
Ashtabula (OH),"17,428"
Conneaut (OH),"17,428"
Jacksonville (FL),"15,713"
Tacoma (WA),"13,084"
Port Everglades (FL),"11,964"
Savannah (GA),"11,426"
New Haven (CT),"11,408"
Charleston (SC),"10,841"
Two Harbors (MI),"10,517"
San Juan (PR),"10,148"
Anacortes (WA),"9,965"
Buffalo (NY),"9,962"
Wilmington (NC),"9,920"
Albany (NY),"9,832"
Providence (RI),"8,459"
Longview (WA),"8,373"
Lorain (OH),"8,236"
Presque Isle (MI),"7,957"
Galveston (TX),"7,786"
Honolulu (HI),"7,751"
Burns Waterway (IN),"7,306"
Coos Bay (OR),"7,064"
Oakland (CA),"6,937"
Barbers Point (HI),"6,307"
Everett (WA),"6,064"
Port Angeles (WA),"4,868"
Fall River (MA),"4,820"
Port Lavaca (TX),"4,678"
Milwaukee (WI),"4,498"
Bridgeport (CT),"3,736"
Miami (FL),"3,667"
Sandusky (OH),"3,656"
Canaveral (FL),"3,434"
Morehead City (NC),"3,343"
St. Clair (MI),"3,320"
Wilmington (DE),"3,310"
Portsmouth(NH),"3,305"
Vancouver (WA),"3,215"
Alpena (MI),"3,204"
Saginaw River (MI),"3,174"
Grays Harbor (WA),"3,082"
Pensacola (FL),"3,064"
New London (CT),"2,839"
Camden (NJ),"2,622"
Fairport (OH),"2,590"
Drummond Island (MI),"2,578"
San Diego (CA),"2,571"
Green Bay (WI),"2,458"
Huron (OH),"2,429"
Ludington (MI),"2,398"
Monroe (MI),"2,374"
Astoria (OR),"2,331"
San Francisco (CA),"2,318"
Anchorage (AK),"2,226"
Brownsville (TX),"2,164"
Ketchikan (AK),"1,973"
Muskegon (MI),"1,952"
Kahului (HI),"1,922"
Brunswick (GA),"1,820"
Sacramento (CA),"1,658"
Panama City (FL),"1,585"
Bellingham (WA),"1,557"
Stockton (CA),"1,554"
Salem (MA),"1,487"
Humboldt Bay (CA),"1,455"
Searsport (ME),"1,339"
Hopewell (VA),"1,287"
Hilo (HI),"1,273"
Oswego (NY),"1,216"
Bucksport (ME),"1,176"
Georgetown(SC),"1,148"
Gulfport (MS),"1,145"
Erie (PA),"1,130"
Kalama (WA),"1,013"
Hueneme (CA),959
Ponce (PR),911
Skagway (AK),906
Sitka (AK),888
Olympia (WA),869
Nawiliwili (HI),766
Palm Beach (FL),734
Port Townsend (WA),681
Marysville (MI),530
Orange (TX),513
Wrangell (AK),506
Kawaihae (HI),502
Waukegan (IL),479
Redwood City (CA),474
Fernandina (FL),400
St. Thomas (VI),380
Mayaguez (PR),335
Christiansted (VI),333
Marine City (MI),325
