Port,Short tons 1972
South Louisiana (LA),
New York/New Jersey,"196,843"
Houston (TX),"71,431"
Hampton Roads (VA),"58,357"
Baton Rouge (LA),"52,903"
New Orleans (LA),"49,682"
Philadelphia (PA),"48,357"
Chicago (IL),"46,838"
Baltimore (MD),"45,799"
Plaquemines (LA),"44,664"
Tampa (FL),"43,230"
Duluth/Superior (MI/WI),"37,896"
Beaumont (TX),"32,391"
Portland (ME),"30,683"
Detroit (MI),"29,913"
Mobile (AL),"27,291"
Boston(MA),"26,483"
Toledo (OH),"25,249"
Cleveland (OH),"23,866"
Los Angeles (CA),"23,837"
Corpus Christi (TX),"22,301"
Port Arthur (TX),"21,708"
Long Beach (CA),"20,795"
Texas City (TX),"20,355"
Indiana Harbor (IN),"17,611"
Portland (WA),"17,086"
Lake Charles (LA),"17,029"
Richmond (CA),"15,650"
Jacksonville (FL),"14,886"
Ashtabula (OH),"14,684"
Conneaut (OH),"14,684"
Seattle (WA),"14,663"
New Haven (CT),"13,163"
Pascagoula (MS),"12,435"
Port Everglades (FL),"11,183"
Albany (NY),"10,262"
Lorain (OH),"10,173"
San Juan (PR),"9,528"
Buffalo (NY),"9,226"
Providence (RI),"9,200"
Wilmington (NC),"8,535"
Tacoma (WA),"8,477"
Savannah (GA),"8,037"
Honolulu (HI),"7,960"
Charleston (SC),"7,477"
Two Harbors (MI),"6,778"
Coos Bay (OR),"6,544"
Freeport (TX),"5,977"
Oakland (CA),"5,908"
Sandusky (OH),"5,613"
Longview (WA),"5,431"
Milwaukee (WI),"5,374"
New London (CT),"5,333"
Everett (WA),"5,219"
Port Lavaca (TX),"4,856"
Burns Waterway (IN),"4,760"
Miami (FL),"4,484"
Saginaw River (MI),"4,386"
Fall River (MA),"4,301"
Galveston (TX),"4,274"
St. Clair (MI),"3,950"
Brownsville (TX),"3,875"
Grays Harbor (WA),"3,786"
Wilmington (DE),"3,602"
Bridgeport (CT),"3,472"
Presque Isle (MI),"3,450"
Barbers Point (HI),"3,420"
Huron (OH),"3,381"
Alpena (MI),"3,380"
Ludington (MI),"3,368"
Anacortes (WA),"3,316"
Vancouver (WA),"3,189"
Fairport (OH),"2,913"
Camden (NJ),"2,854"
Port Angeles (WA),"2,849"
Muskegon (MI),"2,836"
Green Bay (WI),"2,824"
San Francisco (CA),"2,590"
Portsmouth(NH),"2,188"
Ketchikan (AK),"2,186"
Bellingham (WA),"2,184"
Anchorage (AK),"2,058"
Olympia (WA),"2,027"
Pensacola (FL),"2,015"
Astoria (OR),"1,922"
Canaveral (FL),"1,835"
Drummond Island (MI),"1,784"
San Diego (CA),"1,666"
Panama City (FL),"1,663"
Salem (MA),"1,592"
Georgetown(SC),"1,524"
Stockton (CA),"1,515"
Orange (TX),"1,486"
Kalama (WA),"1,468"
Morehead City (NC),"1,423"
Port Townsend (WA),"1,399"
Sacramento (CA),"1,393"
Skagway (AK),"1,388"
Erie (PA),"1,360"
Kahului (HI),"1,298"
Brunswick (GA),"1,263"
Sitka (AK),"1,243"
Searsport (ME),"1,199"
Gulfport (MS),"1,198"
Wrangell (AK),"1,169"
Bucksport (ME),"1,128"
Palm Beach (FL),"1,115"
Hilo (HI),"1,108"
Humboldt Bay (CA),"1,074"
Redwood City (CA),959
Hopewell (VA),922
Oswego (NY),779
Ponce (PR),757
Marysville (MI),634
Nawiliwili (HI),583
Waukegan (IL),437
Fernandina (FL),383
St. Thomas (VI),378
Kawaihae (HI),303
Christiansted (VI),299
Mayaguez (PR),265
Valdez (AK0,254
Hueneme (CA),173
Marine City (MI),160
Monroe (MI),30
