port,Short tons 1996
South Louisiana (LA),"1 89,615"
Houston (TX),"1 48,183"
New York/New Jersey,"1 31,601"
New Orleans (LA),"8 3,726"
Baton Rouge (LA),"8 1,009"
Corpus Christi (TX),"8 0,460"
Valdez (AK0,"7 7,116"
Hampton Roads (VA),"7 5,552"
Plaquemines (LA),"6 6,910"
Long Beach (CA),"5 8,395"
Texas City (TX),"5 6,394"
Mobile (AL),"5 0,864"
Tampa (FL),"4 9,293"
Lake Charles (LA),"4 9,100"
Los Angeles (CA),"4 5,689"
Baltimore (MD),"4 3,552"
Philadelphia (PA),"4 1,882"
Duluth/Superior (MI/WI),"4 1,398"
Port Arthur (TX),"3 7,158"
Beaumont (TX),"3 5,705"
Portland (WA),"2 9,734"
Pascagoula (MS),"2 9,343"
Chicago (IL),"2 7,886"
Freeport (TX),"2 4,571"
Seattle (WA),"2 3,547"
Richmond (CA),"2 1,803"
Tacoma (WA),"2 1,491"
Boston(MA),"2 0,104"
Port Everglades (FL),"1 8,897"
Detroit (MI),"1 8,604"
Savannah (GA),"1 7,598"
Indiana Harbor (IN),"1 6,893"
Jacksonville (FL),"1 6,737"
Cleveland (OH),"1 6,721"
Lorain (OH),"1 5,978"
Portland (ME),"1 5,243"
San Juan (PR),"1 5,112"
Anacortes (WA),"1 3,844"
Toledo (OH),"1 3,032"
Honolulu (HI),"1 2,010"
Galveston (TX),"1 1,641"
Oakland (CA),"1 1,230"
Charleston (SC),"1 1,083"
Two Harbors (MI),"1 0,662"
Burns Waterway (IN),"9 ,848"
Ashtabula (OH),"9 ,523"
Escanaba (MI),"9 ,253"
Port Lavaca (TX),"9 ,151"
Presque Isle (MI),"8 ,959"
Gary (IN),"8 ,882"
New Haven (CT),"8 ,838"
Barbers Point (HI),"8 ,745"
Calcite (MI),"8 ,669"
Taconite (MN),"8 ,408"
Kalama (WA),"8 ,223"
Wilmington (NC),"8 ,121"
Stoneport (MI),"7 ,990"
Providence (RI),"7 ,803"
Vancouver (WA),"7 ,704"
Albany (NY),"5 ,768"
Camden (NJ),"5 ,765"
Miami (FL),"5 ,719"
Conneaut (OH),"5 ,714"
Morehead City (NC),"5 ,588"
St. Clair (MI),"5 ,427"
Saginaw River (MI),"5 ,264"
Silver Bay (MN),"5 ,240"
Longview (WA),"5 ,163"
Port Inland (MI),"5 ,063"
Bridgeport (CT),"4 ,862"
Wilmington (DE),"4 ,324"
Marine City (MI),"4 ,116"
Everett (WA),"4 ,007"
Portsmouth(NH),"3 ,708"
Canaveral (FL),"3 ,567"
Sandusky (OH),"3 ,408"
Anchorage (AK),"3 ,401"
Coos Bay (OR),"3 ,322"
Port Dolmite (MI),"3 ,318"
Fall River (MA),"3 ,180"
Panama City (FL),"3 ,124"
Milwaukee (WI),"2 ,858"
Kahului (HI),"2 ,828"
Marblehead (OH),"2 ,817"
Port Angeles (WA),"2 ,780"
Fairport (OH),"2 ,770"
Port Manatee,"2 ,516"
Brownsville (TX),"2 ,401"
Alpena (MI),"2 ,345"
Palm Beach (FL),"2 ,294"
Green Bay (WI),"2 ,176"
Muskegon (MI),"2 ,172"
Gulfport (MS),"2 ,124"
Brunswick (GA),"2 ,063"
New London (CT),"2 ,049"
Grays Harbor (WA),"1 ,990"
San Francisco (CA),"1 ,982"
Olympia (WA),"1 ,893"
Buffalo (NY),"1 ,864"
San Diego (CA),"1 ,842"
Monroe (MI),"1 ,794"
Drummond Island (MI),"1 ,682"
Charlevoix (MI),"1 ,666"
Marquette (MI),"1 ,598"
Richmond (VA),"1 ,499"
Richmond (VA),"1 ,499"
Hilo (HI),"1 ,442"
Erie (PA),"1 ,434"
Searsport (ME),"1 ,433"
Salem (MA),"1 ,432"
Bellingham (WA),"1 ,419"
Hopewell (VA),"1 ,395"
Georgetown(SC),"1 ,379"
Pensacola (FL),"1 ,379"
Ketchikan (AK),"1 ,341"
Buffington (IN),"1 ,243"
Sacramento (CA),"1 ,240"
Ludington (MI),"1 ,237"
Nawiliwili (HI),"1 ,230"
Humboldt Bay (CA),"1 ,197"
Stockton (CA),"1 ,143"
Marysville (MI),"1 ,068"
Bucksport (ME),"1 ,029"
Huron (OH),"1 ,004"
Redwood City (CA),9 85
Grand Haven (MI),9 71
Kawaihae (HI),9 69
Hueneme (CA),9 43
Seward (AK),8 77
Ponce (PR),7 98
Kodiak (AK),7 66
Skagway (AK),6 50
Fernandina (FL),6 48
Orange (TX),6 16
Port Huron (MI),5 81
New Bedford (MA),5 16
St. Thomas (VI),5 12
Oswego (NY),5 11
Wrangell (AK),4 73
Waukegan (IL),4 69
Juneau (AK),4 65
Port Townsend (WA),4 64
Homer (AK),3 97
Mayaguez (PR),3 95
Kelleys Island (OH),3 71
Astoria (OR),3 24
Christiansted (VI),2 97
Fajardo (PR),2 95
Rochester (NY),1 67
