port,Short tons 1985
South Louisiana (LA),*
New York/New Jersey,"152,054"
Valdez (AK0,"99,624"
Houston (TX),"90,669"
Baton Rouge (LA),"70,716"
Hampton Roads (VA),"69,265"
New Orleans (LA),"60,624"
Tampa (FL),"50,921"
Long Beach (CA),"43,977"
Mobile (AL),"43,704"
Corpus Christi (TX),"42,682"
Plaquemines (LA),"41,440"
Pascagoula (MS),"37,992"
Baltimore (MD),"36,425"
Los Angeles (CA),"36,374"
Texas City (TX),"33,441"
Philadelphia (PA),"32,690"
Duluth/Superior (MI/WI),"28,817"
Beaumont (TX),"26,842"
Lake Charles (LA),"25,494"
Chicago (IL),"22,610"
Portland (WA),"21,845"
Toledo (OH),"18,400"
Boston(MA),"17,269"
Richmond (CA),"17,178"
Seattle (WA),"16,230"
Tacoma (WA),"15,795"
Port Arthur (TX),"15,755"
Detroit (MI),"15,612"
Cleveland (OH),"13,767"
Indiana Harbor (IN),"13,549"
Freeport (TX),"12,968"
Port Everglades (FL),"11,649"
San Juan (PR),"11,642"
Jacksonville (FL),"11,332"
Savannah (GA),"11,327"
Anacortes (WA),"10,208"
Two Harbors (MI),"9,631"
Lorain (OH),"9,426"
New Haven (CT),"9,349"
Conneaut (OH),"9,148"
Charleston (SC),"9,074"
Escanaba (MI),"8,676"
Longview (WA),"8,449"
Burns Waterway (IN),"8,179"
Honolulu (HI),"7,986"
Oakland (CA),"7,953"
Galveston (TX),"7,792"
Calcite (MI),"7,740"
Coos Bay (OR),"7,635"
Portland (ME),"7,626"
Presque Isle (MI),"7,203"
Ashtabula (OH),"7,039"
Barbers Point (HI),"6,752"
Providence (RI),"6,742"
Stoneport (MI),"6,501"
Grays Harbor (WA),"6,357"
St. Clair (MI),"6,177"
Albany (NY),"5,725"
Wilmington (NC),"5,632"
Taconite (MN),"5,446"
Vancouver (WA),"5,330"
Sandusky (OH),"4,586"
Camden (NJ),"4,573"
Kalama (WA),"4,452"
Port Lavaca (TX),"4,366"
Fall River (MA),"4,198"
Everett (WA),"4,128"
Saginaw River (MI),"3,903"
San Francisco (CA),"3,762"
Morehead City (NC),"3,626"
Pensacola (FL),"3,488"
Miami (FL),"3,255"
Port Angeles (WA),"2,927"
San Diego (CA),"2,873"
Portsmouth(NH),"2,780"
Milwaukee (WI),"2,490"
Bridgeport (CT),"2,411"
Alpena (MI),"2,382"
Wilmington (DE),"2,362"
Fairport (OH),"2,318"
Green Bay (WI),"2,296"
Canaveral (FL),"2,258"
Panama City (FL),"2,126"
Palm Beach (FL),"2,042"
Huron (OH),"1,950"
Anchorage (AK),"1,939"
Richmond (VA),"1,864"
Richmond (VA),"1,864"
Ketchikan (AK),"1,800"
Buffalo (NY),"1,784"
Brunswick (GA),"1,728"
Astoria (OR),"1,671"
Kahului (HI),"1,517"
Sacramento (CA),"1,497"
Brownsville (TX),"1,443"
Gulfport (MS),"1,433"
Salem (MA),"1,413"
Humboldt Bay (CA),"1,412"
Bellingham (WA),"1,327"
Hilo (HI),"1,319"
Drummond Island (MI),"1,187"
Hueneme (CA),"1,140"
Ludington (MI),"1,075"
Hopewell (VA),"1,037"
New London (CT),"1,028"
Erie (PA),966
Nawiliwili (HI),933
Redwood City (CA),901
Seward (AK),873
Searsport (ME),841
Monroe (MI),793
Muskegon (MI),774
Stockton (CA),749
Bucksport (ME),724
Sitka (AK),693
Orange (TX),648
Ponce (PR),635
Olympia (WA),606
Kawaihae (HI),527
Oswego (NY),525
Port Townsend (WA),499
Waukegan (IL),405
Georgetown(SC),400
Christiansted (VI),380
Wrangell (AK),365
New Bedford (MA),351
St. Thomas (VI),341
Mayaguez (PR),314
Marine City (MI),271
Kodiak (AK),211
Marquette (MI),178
Fernandina (FL),133
Charlevoix (MI),126
Fajardo (PR),119
Skagway (AK),101.0
Marysville (MI),74.0
Port Manatee,
Grand Haven (MI),
Gary (IN),
Silver Bay (MN),
Buffington (IN),
Kelleys Island (OH),
Marblehead (OH),
Marcus Hook (PA),
Port Dolmite (MI),
Paulsboro (NJ),
Rochester (NY),
Port Inland (MI),
