Port,Short tons 1990
South Louisiana (LA),"194,190"
New York/New Jersey,"140,020"
Houston (TX),"126,178"
Valdez (AK0,"95,953"
Hampton Roads (VA),"79,638"
Baton Rouge (LA),"78,132"
New Orleans (LA),"62,740"
Corpus Christi (TX),"62,020"
Plaquemines (LA),"56,598"
Long Beach (CA),"52,425"
Tampa (FL),"51,578"
Texas City (TX),"48,071"
Los Angeles (CA),"46,352"
Philadelphia (PA),"41,830"
Mobile (AL),"41,136"
Lake Charles (LA),"40,883"
Duluth/Superior (MI/WI),"40,766"
Baltimore (MD),"39,538"
Port Arthur (TX),"30,680"
Portland (WA),"27,475"
Beaumont (TX),"26,729"
Pascagoula (MS),"26,479"
Chicago (IL),"22,541"
Boston(MA),"21,902"
Seattle (WA),"21,570"
Tacoma (WA),"21,433"
Richmond (CA),"21,156"
Detroit (MI),"17,735"
Anacortes (WA),"15,438"
Jacksonville (FL),"15,120"
Indiana Harbor (IN),"14,673"
Toledo (OH),"14,668"
San Juan (PR),"14,537"
Freeport (TX),"14,494"
Cleveland (OH),"14,368"
Port Everglades (FL),"14,145"
Lorain (OH),"13,967"
Savannah (GA),"13,569"
Grays Harbor (WA),"12,825"
Two Harbors (MI),"12,313"
Ashtabula (OH),"11,852"
Honolulu (HI),"11,341"
Portland (ME),"10,772"
Oakland (CA),"10,290"
Calcite (MI),"10,058"
Charleston (SC),"9,697"
Taconite (MN),"9,651"
Galveston (TX),"9,619"
Gary (IN),"9,605"
Conneaut (OH),"9,567"
Burns Waterway (IN),"9,524"
New Haven (CT),"9,301"
Stoneport (MI),"8,694"
Longview (WA),"8,681"
Barbers Point (HI),"8,034"
Presque Isle (MI),"7,737"
Providence (RI),"7,129"
Albany (NY),"7,117"
Wilmington (NC),"7,099"
Vancouver (WA),"7,073"
Everett (WA),"6,580"
Escanaba (MI),"6,400"
Kalama (WA),"6,255"
Coos Bay (OR),"6,069"
Port Lavaca (TX),"5,097"
Morehead City (NC),"5,049"
St. Clair (MI),"4,889"
Port Dolmite (MI),"4,718"
Portsmouth(NH),"4,646"
Sandusky (OH),"4,600"
Marine City (MI),"4,497"
Fall River (MA),"4,413"
Camden (NJ),"4,379"
Miami (FL),"4,296"
Wilmington (DE),"4,209"
Saginaw River (MI),"4,039"
Port Angeles (WA),"3,072"
Canaveral (FL),"2,992"
Bridgeport (CT),"2,852"
Buffalo (NY),"2,563"
Panama City (FL),"2,548"
Palm Beach (FL),"2,466"
Port Manatee,"2,413"
Kahului (HI),"2,409"
Fairport (OH),"2,320"
San Francisco (CA),"2,297"
Alpena (MI),"2,255"
New London (CT),"2,149"
Milwaukee (WI),"2,128"
Richmond (VA),"2,064"
Richmond (VA),"2,064"
Brunswick (GA),"1,978"
Ketchikan (AK),"1,947"
Muskegon (MI),"1,802"
Christiansted (VI),"1,751"
Stockton (CA),"1,732"
Anchorage (AK),"1,706"
Hilo (HI),"1,690"
Green Bay (WI),"1,677"
Humboldt Bay (CA),"1,600"
Pensacola (FL),"1,593"
Monroe (MI),"1,585"
Skagway (AK),"1,576"
Charlevoix (MI),"1,508"
Sacramento (CA),"1,485"
Salem (MA),"1,466"
Port Huron (MI),"1,429"
Brownsville (TX),"1,372"
Bellingham (WA),"1,303"
Hopewell (VA),"1,292"
Ludington (MI),"1,291"
San Diego (CA),"1,280"
Olympia (WA),"1,265"
Searsport (ME),"1,194"
Bucksport (ME),"1,121"
Gulfport (MS),"1,101"
Grand Haven (MI),"1,052"
Astoria (OR),966
Nawiliwili (HI),959
Oswego (NY),951
Georgetown(SC),890
Kawaihae (HI),887
Wrangell (AK),858
Seward (AK),846
Erie (PA),811
Buffington (IN),804
Ponce (PR),759
Drummond Island (MI),758
Orange (TX),709
Marquette (MI),628
Marysville (MI),615
Sitka (AK),609
St. Thomas (VI),585
Hueneme (CA),574
Huron (OH),565
Fernandina (FL),531.0
Redwood City (CA),499.0
Waukegan (IL),490.0
Fajardo (PR),454.0
Kodiak (AK),443.0
Mayaguez (PR),431.0
Port Townsend (WA),427.0
New Bedford (MA),406.0
Juneau (AK),157.0
Homer (AK),119.0
Kelleys Island (OH),6.0
Paulsboro (NJ),
Marcus Hook (PA),
Marblehead (OH),
