port,Short tons 1988
South Louisiana (LA),*
New York/New Jersey,"155,062"
Houston (TX),"124,887"
Valdez (AK0,"107,145"
Baton Rouge (LA),"78,857"
Hampton Roads (VA),"71,967"
New Orleans (LA),"64,059"
Corpus Christi (TX),"57,932"
Tampa (FL),"54,071"
Plaquemines (LA),"52,214"
Mobile (AL),"46,630"
Long Beach (CA),"46,560"
Los Angeles (CA),"45,214"
Texas City (TX),"42,747"
Baltimore (MD),"41,926"
Duluth/Superior (MI/WI),"40,002"
Philadelphia (PA),"37,827"
Lake Charles (LA),"37,312"
Portland (WA),"31,971"
Beaumont (TX),"31,947"
Pascagoula (MS),"28,528"
Port Arthur (TX),"23,801"
Chicago (IL),"22,894"
Tacoma (WA),"20,668"
Boston(MA),"20,641"
Richmond (CA),"18,913"
Seattle (WA),"18,646"
Lorain (OH),"17,476"
Indiana Harbor (IN),"16,643"
Jacksonville (FL),"15,823"
Detroit (MI),"15,331"
Freeport (TX),"15,156"
Toledo (OH),"14,742"
Cleveland (OH),"14,551"
Port Everglades (FL),"14,207"
Savannah (GA),"13,981"
Anacortes (WA),"13,638"
San Juan (PR),"13,503"
Galveston (TX),"12,355"
Two Harbors (MI),"12,116"
Presque Isle (MI),"11,433"
Honolulu (HI),"10,655"
Ashtabula (OH),"10,335"
Charleston (SC),"10,250"
Conneaut (OH),"10,220"
Calcite (MI),"10,205"
Oakland (CA),"10,141"
New Haven (CT),"9,658"
Longview (WA),"9,003"
Wilmington (NC),"8,348"
Stoneport (MI),"8,337"
Taconite (MN),"8,267"
St. Clair (MI),"8,212"
Albany (NY),"8,061"
Portland (ME),"8,048"
Escanaba (MI),"7,873"
Providence (RI),"7,837"
Coos Bay (OR),"7,830"
Kalama (WA),"7,521"
Barbers Point (HI),"7,511"
Burns Waterway (IN),"7,468"
Everett (WA),"7,396"
Grays Harbor (WA),"6,488"
Morehead City (NC),"6,287"
Port Lavaca (TX),"5,062"
Sandusky (OH),"4,831"
Fall River (MA),"4,787"
Saginaw River (MI),"4,571"
Miami (FL),"4,342"
Pensacola (FL),"4,227"
Camden (NJ),"4,032"
Humboldt Bay (CA),"3,734"
Wilmington (DE),"3,715"
Portsmouth(NH),"3,484"
Panama City (FL),"3,413"
Vancouver (WA),"3,375"
Port Angeles (WA),"3,089"
Bridgeport (CT),"2,670"
Canaveral (FL),"2,612"
Palm Beach (FL),"2,579"
Richmond (VA),"2,574"
Richmond (VA),"2,574"
Anchorage (AK),"2,294"
Milwaukee (WI),"2,289"
San Francisco (CA),"2,275"
Fairport (OH),"2,212"
Brunswick (GA),"2,161"
Kahului (HI),"2,157"
Alpena (MI),"2,128"
San Diego (CA),"2,017"
Ketchikan (AK),"2,005"
Bellingham (WA),"1,867"
Olympia (WA),"1,676"
Green Bay (WI),"1,640"
Muskegon (MI),"1,544"
Salem (MA),"1,465"
Hilo (HI),"1,456"
Sacramento (CA),"1,443"
Skagway (AK),"1,441"
Stockton (CA),"1,375"
Buffalo (NY),"1,335"
New London (CT),"1,332"
Hopewell (VA),"1,244"
Brownsville (TX),"1,237"
Searsport (ME),"1,173"
Ludington (MI),"1,152"
Monroe (MI),"1,123"
Astoria (OR),"1,097"
Erie (PA),"1,002"
Christiansted (VI),994
Bucksport (ME),956
Port Huron (MI),955
Gulfport (MS),924
Seward (AK),920
Nawiliwili (HI),876
Georgetown(SC),826
Sitka (AK),778
Redwood City (CA),747
Wrangell (AK),739
Marquette (MI),729
Orange (TX),658
Kawaihae (HI),655
Hueneme (CA),623
Ponce (PR),595
Drummond Island (MI),535
Oswego (NY),531
Huron (OH),523
New Bedford (MA),505
Waukegan (IL),480
Port Townsend (WA),464
St. Thomas (VI),464
Juneau (AK),395
Marine City (MI),383
Mayaguez (PR),371
Fernandina (FL),340
Kodiak (AK),287.0
Marysville (MI),221.0
Fajardo (PR),178.0
Charlevoix (MI),118.0
Homer (AK),68.0
Kelleys Island (OH),18.0
Gary (IN),
Buffington (IN),
Paulsboro (NJ),
Marcus Hook (PA),
Port Manatee,
Marblehead (OH),
Port Dolmite (MI),
Port Inland (MI),
