port,Short tons 1976
South Louisiana (LA),
New York/New Jersey,"1 79,587"
Houston (TX),"8 9,898"
Baton Rouge (LA),"6 6,703"
Hampton Roads (VA),"6 3,164"
New Orleans (LA),"5 9,288"
Baltimore (MD),"5 2,437"
Philadelphia (PA),"5 0,604"
Beaumont (TX),"4 3,939"
Chicago (IL),"4 0,575"
Tampa (FL),"3 9,904"
Corpus Christi (TX),"3 8,559"
Plaquemines (LA),"3 7,631"
Mobile (AL),"3 5,379"
Duluth/Superior (MI/WI),"3 2,655"
Long Beach (CA),"3 1,457"
Los Angeles (CA),"3 0,931"
Port Arthur (TX),"3 0,687"
Texas City (TX),"2 8,516"
Detroit (MI),"2 6,408"
Boston(MA),"2 6,172"
Portland (ME),"2 5,374"
Toledo (OH),"2 5,002"
Pascagoula (MS),"2 3,927"
Portland (WA),"2 1,493"
Lake Charles (LA),"2 0,221"
Richmond (CA),"2 0,165"
Indiana Harbor (IN),"1 9,491"
Cleveland (OH),"1 8,168"
Seattle (WA),"1 6,778"
Conneaut (OH),"1 6,465"
Ashtabula (OH),"1 6,465"
Jacksonville (FL),"1 4,398"
Buffalo (NY),"1 2,267"
Port Everglades (FL),"1 2,021"
New Haven (CT),"1 1,070"
Tacoma (WA),"1 0,227"
Albany (NY),"1 0,146"
Freeport (TX),"9 ,711"
Charleston (SC),"9 ,665"
San Juan (PR),"9 ,321"
Longview (WA),"9 ,224"
Savannah (GA),"9 ,188"
Wilmington (NC),"8 ,683"
Providence (RI),"8 ,578"
Two Harbors (MI),"8 ,264"
Anacortes (WA),"7 ,492"
Lorain (OH),"7 ,439"
Galveston (TX),"7 ,303"
Honolulu (HI),"7 ,190"
Coos Bay (OR),"7 ,116"
Presque Isle (MI),"6 ,841"
Oakland (CA),"6 ,634"
Barbers Point (HI),"6 ,593"
Burns Waterway (IN),"5 ,513"
Sandusky (OH),"5 ,370"
Fall River (MA),"4 ,739"
Port Lavaca (TX),"4 ,256"
Astoria (OR),"4 ,168"
Everett (WA),"4 ,143"
Miami (FL),"3 ,709"
Milwaukee (WI),"3 ,547"
St. Clair (MI),"3 ,355"
New London (CT),"3 ,342"
Bridgeport (CT),"3 ,265"
Port Angeles (WA),"3 ,241"
Portsmouth(NH),"3 ,143"
Grays Harbor (WA),"3 ,143"
Canaveral (FL),"3 ,079"
Saginaw River (MI),"3 ,072"
Vancouver (WA),"3 ,040"
Anchorage (AK),"2 ,932"
Huron (OH),"2 ,856"
Alpena (MI),"2 ,835"
Fairport (OH),"2 ,677"
Wilmington (DE),"2 ,653"
Brownsville (TX),"2 ,585"
Pensacola (FL),"2 ,548"
Drummond Island (MI),"2 ,511"
Morehead City (NC),"2 ,504"
Camden (NJ),"2 ,350"
Green Bay (WI),"2 ,341"
Ludington (MI),"2 ,339"
Muskegon (MI),"2 ,271"
San Diego (CA),"2 ,185"
San Francisco (CA),"1 ,956"
Humboldt Bay (CA),"1 ,776"
Bellingham (WA),"1 ,761"
Brunswick (GA),"1 ,686"
Georgetown(SC),"1 ,666"
Salem (MA),"1 ,651"
Sacramento (CA),"1 ,622"
Ketchikan (AK),"1 ,559"
Hopewell (VA),"1 ,491"
Stockton (CA),"1 ,470"
Hueneme (CA),"1 ,452"
Searsport (ME),"1 ,313"
Kalama (WA),"1 ,285"
Kahului (HI),"1 ,276"
Port Townsend (WA),"1 ,224"
Panama City (FL),"1 ,208"
Bucksport (ME),"1 ,185"
Erie (PA),"1 ,158"
Palm Beach (FL),"1 ,026"
Oswego (NY),"1 ,014"
Sitka (AK),9 98
Hilo (HI),9 96
Gulfport (MS),9 82
Orange (TX),9 82
Monroe (MI),9 73
Skagway (AK),8 33
Wrangell (AK),8 27
Christiansted (VI),5 83
Marysville (MI),5 17
Valdez (AK0,5 08
Nawiliwili (HI),4 61
Waukegan (IL),4 51
Ponce (PR),4 47
Fernandina (FL),4 12
Redwood City (CA),3 96
St. Thomas (VI),3 81
Mayaguez (PR),3 15
Kawaihae (HI),2 64
Olympia (WA),2 00
Marine City (MI),1 88
