Port,Short tons 2009
"South Louisiana, LA,","212,581"
"Houston, TX","211,341"
New York/New Jersey,"144,690"
"Long Beach, CA","72,500"
"Corpus Christi, TX","68,240"
"New Orleans, LA","68,126"
"Beaumont, TX","67,715"
Huntington - Tristate,"59,172"
"Los Angeles, CA","58,406"
Hampton Roads (VA),"58,369"
"Texas City, TX","52,632"
"Lake Charles, LA","52,252"
"Mobile, AL","52,219"
"Baton Rouge, LA","51,918"
"Plaquemines, LA","50,869"
"Pascagoula, MS","36,618"
"Tampa, FL","34,888"
"Valdez, AK","34,473"
"Port Arthur, TX","33,804"
"Pittsburgh, PA","32,891"
"Savannah, GA","32,339"
"Philadelphia, PA","31,751"
"St. Louis, MO and IL","31,337"
"Paulsboro, NJ","30,258"
"Duluth/Superior, MN/WI","30,226"
"Baltimore, MD","30,136"
"Freeport, TX","27,363"
"Richmond, CA","25,363"
"Seattle, WA","24,608"
"Marcus Hook, PA","24,569"
"Portland, OR","23,307"
"Tacoma, WA","23,165"
"Portland, ME","21,002"
"Boston, MA","20,456"
"Port Everglades, FL","20,059"
"Chicago, IL","19,228"
"Jacksonville, FL","17,686"
"Oakland, CA","17,406"
"Charleston, SC","15,834"
"Memphis, TN","13,980"
"Cincinnati, OH","11,768"
"San Juan, PR","11,295"
"Anacortes, WA","10,431"
"New Haven, CT","10,135"
"Kalama, WA","9,912"
"Galveston, TX","9,792"
"Toledo, OH","9,682"
"Barbers Point, Oahu, HI","9,670"
"Honolulu, HI","9,161"
"Detroit, MI","9,014"
"Indiana Harbor, IN","8,198"
"St. Clair, MI","8,074"
"New Castle, DE","7,583"
"Albany, NY","7,178"
"Two Harbors, MN","7,096"
"Presque Isle, MI","6,990"
"Port Lavaca, TX","6,951"
"Providence, RI","6,928"
"Vancouver, WA","6,819"
"Miami, FL","6,772"
"Wilmington, NC","6,716"
"Gary, IN","6,389"
"Cleveland, OH","6,076"
"Camden-Gloucester, NJ","5,700"
"Mount Vernon, IN","5,555"
"Louisville, KY","5,353"
"Longview, WA","5,100"
"Escanaba, MI","4,855"
"Stoneport, MI","4,847"
"Calcite, MI","4,796"
"Brownsville, TX","4,674"
"Bridgeport, CT","4,577"
"Wilmington, DE","4,482"
"St. Paul, MN","4,148"
"Nikishka, AK","4,065"
"Burns  Harbor, IN","4,026"
"Portsmouth, NH","3,583"
"Silver Bay, MN","3,552"
"Port Inland, MI","3,506"
"Ashtabula, OH","3,448"
"Fall River, MA","3,423"
"Milwaukee, WI","3,381"
"Vicksburg, MS","3,316"
"Morehead City, NC","3,278"
"Biloxi, MS","3,233"
"Conneaut, OH","3,122"
"Port Manatee, FL","2,898"
"Kivilina, AK","2,678"
"Panama City, FL","2,461"
"Palm Beach, FL","2,342"
"Port Dolomite, MI","2,331"
"Port Canaveral, FL","2,301"
"Ponce, PR","2,214"
"Alpena, MI","2,199"
"Anchorage, AK","2,193"
"Kahului, Maui, HI","2,139"
"Morgan City, La","2,129"
"Greenville, MS","2,115"
"Green Bay, WI","2,104"
"Brunswick, GA","2,094"
"Marblehead, OH","2,092"
"1,998",102
"Port Jefferson, NY","1,955"
"Victoria, TX","1,952"
"Kansas City, MO","1,934"
"Penn Manor, PA","1,923"
"Gulfport, MS","1,868"
"Tulsa, OK","1,762"
"Guntersville, AL","1,746"
"Muskegon, MI","1,737"
"Sandusky, OH","1,654"
"Stockton, CA","1,633"
"Chattanooga, TN","1,601"
"Helena, AR","1,566"
"Searsport, ME","1,490"
"Monroe, MI","1,453"
"Richmond, VA","1,429"
"Port Hueneme, CA","1,372"
"Buffalo, NY","1,367"
"Coos Bay, OR","1,328"
"Buffington, IN","1,301"
"Grays Harbor, WA","1,162"
"San Diego, CA","1,137"
"Fairport Harbor, OH","1,122"
"Kawaihae Harbor, HI","1,112"
"Hilo, HI","1,088"
"Drummond Island, MI","1,040"
"Everett, WA","1,006"
"Olympia, WA",995
,
,
911,131
"Redwood City, CA",907
"Seward, AK",904
"Hopewell, VA",889
888,135
886,136.2
"Chester, PA",881.0
,
,
770,139.0
"Southeast Missouri Port, MO",758.0
"Sabine Pass, TX",753.0
"Stamford, CT",693.0
"Hempstead, NY",658.0
"Port Angeles, WA",649.0
"Lake Providence, LA",635.0
"Elvis Stahr Harbor, KY",634.0
"Salem, MA",629.0
"Marquette, MI",626.0
