Port,Short tons 1982
South Louisiana (LA),*
New York/New Jersey,"149,255"
Houston (TX),"94,650"
Valdez (AK0,"90,138"
Hampton Roads (VA),"78,093"
Baton Rouge (LA),"68,556"
New Orleans (LA),"60,366"
Long Beach (CA),"42,010"
Baltimore (MD),"40,831"
Tampa (FL),"40,642"
Plaquemines (LA),"40,069"
Mobile (AL),"38,975"
Corpus Christi (TX),"37,974"
Pascagoula (MS),"36,538"
Texas City (TX),"33,371"
Beaumont (TX),"33,287"
Los Angeles (CA),"33,100"
Philadelphia (PA),"31,936"
Duluth/Superior (MI/WI),"27,436"
Chicago (IL),"26,820"
Portland (WA),"25,129"
Port Arthur (TX),"19,946"
Lake Charles (LA),"18,876"
Seattle (WA),"17,805"
Boston(MA),"17,594"
Toledo (OH),"16,394"
Richmond (CA),"15,395"
Freeport (TX),"15,034"
Tacoma (WA),"13,247"
Detroit (MI),"13,176"
Jacksonville (FL),"12,707"
Indiana Harbor (IN),"12,304"
Port Everglades (FL),"11,488"
Savannah (GA),"10,979"
Conneaut (OH),"10,968"
Portland (ME),"10,456"
San Juan (PR),"10,049"
Anacortes (WA),"9,439"
Galveston (TX),"9,350"
Cleveland (OH),"8,941"
Longview (WA),"8,760"
New Haven (CT),"7,935"
Honolulu (HI),"7,593"
Charleston (SC),"7,105"
Oakland (CA),"6,985"
Ashtabula (OH),"6,832"
Coos Bay (OR),"6,781"
Providence (RI),"6,562"
Escanaba (MI),"6,507"
Wilmington (NC),"5,960"
Barbers Point (HI),"5,707"
Lorain (OH),"5,672"
Burns Waterway (IN),"5,458"
Calcite (MI),"5,269"
Albany (NY),"5,154"
Sandusky (OH),"5,065"
Two Harbors (MI),"5,060"
Port Lavaca (TX),"4,308"
Taconite (MN),"4,217"
Everett (WA),"3,987"
Buffalo (NY),"3,968"
Stoneport (MI),"3,943"
Morehead City (NC),"3,731"
Pensacola (FL),"3,647"
Presque Isle (MI),"3,364"
Grays Harbor (WA),"3,275"
St. Clair (MI),"3,259"
Miami (FL),"3,160"
Fall River (MA),"2,928"
Vancouver (WA),"2,735"
Bridgeport (CT),"2,723"
Camden (NJ),"2,645"
Canaveral (FL),"2,537"
Wilmington (DE),"2,515"
Panama City (FL),"2,404"
Monroe (MI),"2,401"
San Diego (CA),"2,398"
Portsmouth(NH),"2,267"
Milwaukee (WI),"2,249"
Brownsville (TX),"2,200"
Green Bay (WI),"2,031"
Anchorage (AK),"1,998"
Bellingham (WA),"1,978"
Sacramento (CA),"1,949"
Astoria (OR),"1,908"
Huron (OH),"1,893"
Alpena (MI),"1,821"
Port Angeles (WA),"1,811"
Ketchikan (AK),"1,765"
Brunswick (GA),"1,727"
Palm Beach (FL),"1,697"
San Francisco (CA),"1,655"
Fairport (OH),"1,627"
Saginaw River (MI),"1,609"
Kalama (WA),"1,489"
Kahului (HI),"1,484"
Hilo (HI),"1,382"
Stockton (CA),"1,335"
New London (CT),"1,245"
Gulfport (MS),"1,196"
Ludington (MI),"1,191"
Muskegon (MI),"1,153"
Richmond (VA),"1,072"
Richmond (VA),"1,072"
Salem (MA),929
Humboldt Bay (CA),873
Bucksport (ME),861
Hopewell (VA),824
Drummond Island (MI),815
Nawiliwili (HI),808
Searsport (ME),794
Port Townsend (WA),764
Ponce (PR),726
Erie (PA),624
Wrangell (AK),595
Redwood City (CA),553
Oswego (NY),542
Skagway (AK),510
Olympia (WA),494
Kawaihae (HI),441
Sitka (AK),395
Christiansted (VI),393
Hueneme (CA),339
Mayaguez (PR),317
Marysville (MI),293
St. Thomas (VI),293
Orange (TX),280
Georgetown(SC),271
Fajardo (PR),245
Kodiak (AK),236
New Bedford (MA),214
Marquette (MI),176
Charlevoix (MI),163
Seward (AK),137
Waukegan (IL),114
Marine City (MI),110.0
Fernandina (FL),90.0
Rochester (NY),
Silver Bay (MN),
Gary (IN),
Grand Haven (MI),
Paulsboro (NJ),
Port Manatee,
Buffington (IN),
Marcus Hook (PA),
Port Inland (MI),
Port Huron (MI),
Port Dolmite (MI),
Kelleys Island (OH),
