Port,Short tons 1979
South Louisiana (LA),*
New York/New Jersey,"163,621"
Houston (TX),"117,551"
Baton Rouge (LA),"76,703"
Valdez (AK0,"65,452"
New Orleans (LA),"62,521"
Hampton Roads (VA),"59,991"
Beaumont (TX),"58,137"
Philadelphia (PA),"54,866"
Baltimore (MD),"51,445"
Tampa (FL),"47,885"
Duluth/Superior (MI/WI),"47,725"
Corpus Christi (TX),"46,423"
Chicago (IL),"38,693"
Texas City (TX),"35,954"
Plaquemines (LA),"35,317"
Mobile (AL),"35,265"
Long Beach (CA),"33,347"
Port Arthur (TX),"32,773"
Los Angeles (CA),"31,749"
Portland (WA),"29,146"
Boston(MA),"26,343"
Toledo (OH),"26,256"
Pascagoula (MS),"25,289"
Detroit (MI),"24,996"
Lake Charles (LA),"24,485"
Ashtabula (OH),"21,478"
Conneaut (OH),"21,478"
Seattle (WA),"20,038"
Freeport (TX),"19,984"
Cleveland (OH),"19,470"
Richmond (CA),"18,978"
Indiana Harbor (IN),"18,419"
Jacksonville (FL),"15,278"
Tacoma (WA),"15,193"
Savannah (GA),"13,528"
Portland (ME),"13,262"
Port Everglades (FL),"13,031"
Two Harbors (MI),"11,933"
New Haven (CT),"10,622"
Wilmington (NC),"10,293"
San Juan (PR),"10,122"
Charleston (SC),"10,056"
Albany (NY),"9,658"
Anacortes (WA),"9,599"
Galveston (TX),"8,982"
Buffalo (NY),"8,840"
Providence (RI),"8,580"
Longview (WA),"8,550"
Presque Isle (MI),"8,122"
Burns Waterway (IN),"8,078"
Honolulu (HI),"7,464"
Coos Bay (OR),"7,051"
Oakland (CA),"6,840"
Barbers Point (HI),"6,155"
Sandusky (OH),"5,973"
Port Angeles (WA),"5,844"
Grays Harbor (WA),"5,131"
Lorain (OH),"4,833"
Fall River (MA),"4,799"
Everett (WA),"4,799"
Milwaukee (WI),"4,680"
Port Lavaca (TX),"4,563"
Saginaw River (MI),"4,046"
Miami (FL),"3,575"
Morehead City (NC),"3,569"
Portsmouth(NH),"3,520"
Canaveral (FL),"3,473"
Huron (OH),"3,458"
St. Clair (MI),"3,286"
Wilmington (DE),"3,253"
Bridgeport (CT),"3,243"
Vancouver (WA),"3,227"
New London (CT),"3,158"
Alpena (MI),"2,942"
Camden (NJ),"2,867"
Green Bay (WI),"2,839"
Ludington (MI),"2,765"
Monroe (MI),"2,663"
Brownsville (TX),"2,508"
Pensacola (FL),"2,457"
Astoria (OR),"2,437"
San Diego (CA),"2,401"
Fairport (OH),"2,392"
San Francisco (CA),"2,354"
Ketchikan (AK),"2,202"
Bellingham (WA),"2,132"
Drummond Island (MI),"2,047"
Sacramento (CA),"2,031"
Muskegon (MI),"1,907"
Palm Beach (FL),"1,895"
Brunswick (GA),"1,644"
Anchorage (AK),"1,639"
Stockton (CA),"1,618"
Oswego (NY),"1,496"
Kahului (HI),"1,473"
Panama City (FL),"1,432"
Salem (MA),"1,384"
Georgetown(SC),"1,382"
Humboldt Bay (CA),"1,313"
Searsport (ME),"1,280"
Hilo (HI),"1,220"
Hopewell (VA),"1,189"
Hueneme (CA),"1,180"
Kalama (WA),"1,142"
Bucksport (ME),"1,092"
Gulfport (MS),"1,060"
Erie (PA),834
Skagway (AK),800
Olympia (WA),794
Redwood City (CA),775
Nawiliwili (HI),758
Christiansted (VI),649
Orange (TX),632
Waukegan (IL),544
Port Townsend (WA),534
Sitka (AK),526
Ponce (PR),480
Kawaihae (HI),448
Marysville (MI),425
St. Thomas (VI),402
Mayaguez (PR),365
Fernandina (FL),354
Wrangell (AK),308
Marine City (MI),239
Fajardo (PR),108
Port Inland (MI),
Taconite (MN),
Port Huron (MI),
Stoneport (MI),
Port Dolmite (MI),
Rochester (NY),
Silver Bay (MN),Unnamed: 0
Richmond (VA),
Port Manatee,
Buffington (IN),Unnamed: 0
Richmond (VA),
Marcus Hook (PA),
New Bedford (MA),
Paulsboro (NJ),
Calcite (MI),
Kelleys Island (OH),
Marblehead (OH),
Marquette (MI),
Grand Haven (MI),
Charlevoix (MI),
Escanaba (MI),
Gary (IN),
