Port,Short tons 2003
"South Louisiana, LA","198,825"
"Houston, TX","190,923"
New York/New Jersey,"145,889"
"Beaumont, TX","87,541"
"New Orleans, LA","83,847"
"Huntington, WV","77,641"
"Corpus Christi, TX","77,225"
"Long Beach, CA","69,195"
"Baton Rouge, LA","61,338"
"Plaquemines, LA","61,264"
"Texas City, TX","55,917"
"Los Angeles, CA","53,364"
"Pittsburgh, PA","51,327"
"Valdez, AK","50,214"
"Tampa, FL","49,857"
"Lake Charles, LA","48,252"
"Mobile, AL","41,675"
"Duluth-Superior, MN and WI","41,453"
"Hampton Roads, VA","40,183"
"Baltimore, MD","38,343"
"Philadelphia, PA","33,249"
"St. Louis, MO and IL","32,431"
"Pascagoula, MS","31,292"
"Freeport, TX","30,537"
"Portland, ME","29,161"
"Portland, OR","27,283"
"Paulsboro, NJ","27,170"
"Marcus Hook, PA","26,796"
"Charleston, SC","26,164"
"Port Arthur, TX","25,199"
"Richmond, CA","24,832"
"Port Everglades, FL","23,369"
"Savannah, GA","23,040"
"Tacoma, WA","23,001"
"Chicago, IL","22,966"
"Boston, MA","22,610"
"Seattle, WA","21,731"
"Jacksonville, FL","19,448"
"Detroit, MI","18,191"
"Honolulu, HI","17,836"
"Memphis, TN","15,820"
"Anacortes, WA","14,556"
"Two Harbors, MN","14,308"
"Indiana Harbor, IN","14,133"
"Cincinnati, OH","13,033"
"Oakland, CA","12,627"
"San Juan, PR","12,621"
"Cleveland, OH","11,828"
"Toledo, OH","11,673"
"Presque Isle, MI","10,427"
"Conneaut, OH","10,385"
"New Castle, DE","9,864"
"New Haven, CT","9,214"
"Ashtabula, OH","9,165"
Port Lavaca< TX,"9,010"
"Gary, IN","8,776"
"Galveston, TX","8,538"
"Miami, FL","8,477"
"Burns Waterway Harbor, IN","8,069"
"Calcite, MI","7,659"
"Providence, RI","7,656"
"Louisville, KY","7,545"
"Stoneport, MI","6,880"
"Nikishka, AK","6,819"
"Albany, NY","6,811"
"Lorain, OH","6,705"
"Vancouver, WA","6,631"
"Wilmington, NC","6,445"
"Kalama, WA","6,420"
"Camden-Gloucester, NJ","5,930"
"Barbers Point, Oahu, HI","5,885"
"St. Paul, MN","5,152"
"Port Inland, MI","5,056"
"Silver Bay, MN","5,025"
"Brownsville, TX","4,971"
"Victoria, TX","4,861"
"Longview, WA","4,782"
"Escanaba, MI","4,756"
"Bridgeport, CT","4,752"
"St. Clair, MI","4,750"
"Wilmington, DE","4,582"
"Sandusky, OH","4,363"
"Vicksburg, MS","4,254"
"Port Manatee, FL","4,183"
"Nashville, TN","4,004"
"Portsmouth, NH","3,886"
"Palm Beach, FL","3,778"
"Port Canaveral, FL","3,731"
"Mount Vernon, IN","3,709"
"Marine City, MI","3,671"
"Ponce, PR","3,650"
"Kansas City, MO","3,597"
"Kahului, Maui, HI","3,585"
"Fall River, MA","3,220"
"Marblehead, OH","3,179"
"Alpena, MI","3,002"
"Port Dolomite, MI","3,000"
"Kivilina, AK","2,977"
"Milwaukee, WI","2,900"
"Everett, WA","2,864"
"Anchorage, AK","2,843"
"Penn Manor, PA","2,804"
"Greenville, MS","2,712"
"Chattanooga, TN","2,622"
"Brunswick, GA","2,546"
"Port Jefferson, NY","2,545"
"San Diego, CA","2,526"
"Panama City, FL","2,297"
"Stockton, CA","2,243"
"Guntersville, AL","2,241"
"Biloxi, MS","2,217"
"Fairport Harbor, OH","2,154"
"Gulfport, MS","2,119"
"Muskegon, MI","2,103"
"Tulsa, Port of Catoosa, OK","2,084"
"Morehead City, NC","2,066"
"Green Bay, WI","2,021"
"San Francisco, CA","1,992"
"Chester, PA","1,980"
"Helena, AR","1,883"
"Minneapolis, MN","1,850"
"Hilo, HI","1,848"
"Coos Bay, OR","1,847"
"Buffalo, NY","1,812"
"Port Angeles, WA","1,801"
"Grays Harbor, WA","1,728"
"Kawaihae Harbor, HI","1,721"
"Nawiliwili, Kauai, HI","1,537"
"Manistee, MI","1,475"
"Olympia, WA","1,427"
"Pensacola, FL","1,419"
"Georgetown, SC","1,403"
"Richmond, VA","1,401"
"Erie, PA","1,319"
"Weedon Island, FL","1,305"
"Charlevoix, MI","1,291"
"Marysville, MI","1,270"
"Kelleys Island, OH","1,264"
"Buffington, IN","1,213"
"Hempstead, NY","1,206"
"Drummond Island, MI","1,190"
"Sabine Pass, TX","1,175"
"Port Hueneme, CA","1,141"
"Hopewell, VA","1,121"
"Searsport, ME","1,093"
"Stamford, CT","1,090"
"Trenton, NJ","1,077"
"Monroe, MI",858
