Port,Short tons 1999
South Louisiana (LA),"214,197"
Houston (TX),"158,828"
New York/New Jersey,"133,715"
New Orleans (LA),"87,511"
Corpus Christi (TX),"77,987"
Beaumont (TX),"69,406"
Baton Rouge (LA),"63,729"
Plaquemines (LA),"62,461"
Long Beach (CA),"60,883"
Hampton Roads (VA),"55,123"
Valdez (AK0,"53,392"
Tampa (FL),"51,518"
Lake Charles (LA),"50,742"
Texas City (TX),"49,503"
Mobile (AL),"45,439"
Duluth/Superior (MI/WI),"42,297"
Los Angeles (CA),"42,267"
Philadelphia (PA),"39,271"
Baltimore (MD),"37,287"
Portland (WA),"29,339"
Pascagoula (MS),"28,095"
Freeport (TX),"28,076"
Paulsboro (NJ),"26,845"
Chicago (IL),"26,602"
Seattle (WA),"25,443"
Richmond (CA),"22,356"
Boston(MA),"22,171"
Port Everglades (FL),"22,054"
Tacoma (WA),"21,103"
Portland (ME),"20,371"
Charleston (SC),"19,916"
Marcus Hook (PA),"19,261"
Jacksonville (FL),"19,257"
Port Arthur (TX),"18,308"
Savannah (GA),"18,156"
Detroit (MI),"16,948"
Anacortes (WA),"16,232"
San Juan (PR),"15,555"
Cleveland (OH),"15,540"
Indiana Harbor (IN),"15,127"
Lorain (OH),"12,968"
Toledo (OH),"12,327"
Honolulu (HI),"12,259"
Two Harbors (MI),"11,872"
Oakland (CA),"11,739"
Ashtabula (OH),"10,495"
Galveston (TX),"10,336"
Calcite (MI),"9,533"
Presque Isle (MI),"9,531"
Port Lavaca (TX),"9,078"
Gary (IN),"9,065"
Stoneport (MI),"8,873"
Conneaut (OH),"8,868"
Barbers Point (HI),"8,707"
New Haven (CT),"8,687"
Providence (RI),"8,627"
Escanaba (MI),"8,511"
Taconite (MN),"8,366"
Vancouver (WA),"7,825"
Miami (FL),"7,723"
Burns Waterway (IN),"7,456"
Kalama (WA),"6,956"
Wilmington (NC),"6,503"
Albany (NY),"6,402"
Camden (NJ),"5,715"
Port Inland (MI),"5,665"
Wilmington (DE),"5,369"
St. Clair (MI),"5,326"
Saginaw River (MI),"5,290"
Silver Bay (MN),"5,023"
Sandusky (OH),"4,898"
Morehead City (NC),"4,636"
Portsmouth(NH),"4,556"
Bridgeport (CT),"4,154"
Longview (WA),"3,984"
Alpena (MI),"3,947"
Canaveral (FL),"3,916"
Port Manatee,"3,853"
Everett (WA),"3,815"
Anchorage (AK),"3,701"
Marine City (MI),"3,652"
Milwaukee (WI),"3,531"
Kahului (HI),"3,513"
Fall River (MA),"3,395"
Palm Beach (FL),"3,352"
Marblehead (OH),"3,121"
Port Dolmite (MI),"3,118"
San Diego (CA),"2,659"
Coos Bay (OR),"2,631"
Fairport (OH),"2,553"
Panama City (FL),"2,491"
Brownsville (TX),"2,487"
Fajardo (PR),"2,406"
Brunswick (GA),"2,371"
Ponce (PR),"2,334"
Green Bay (WI),"2,333"
Port Angeles (WA),"2,237"
Buffalo (NY),"2,075"
Gulfport (MS),"1,988"
San Francisco (CA),"1,933"
Muskegon (MI),"1,925"
Monroe (MI),"1,771"
New London (CT),"1,734"
Drummond Island (MI),"1,732"
Buffington (IN),"1,727"
Hilo (HI),"1,701"
Bellingham (WA),"1,526"
Charlevoix (MI),"1,489"
Salem (MA),"1,422"
Grays Harbor (WA),"1,406"
Ketchikan (AK),"1,400"
Pensacola (FL),"1,400"
Marysville (MI),"1,357"
Nawiliwili (HI),"1,348"
Hopewell (VA),"1,330"
Stockton (CA),"1,315"
Olympia (WA),"1,313"
Humboldt Bay (CA),"1,302"
Searsport (ME),"1,302"
Georgetown(SC),"1,269"
Huron (OH),"1,154"
Erie (PA),"1,136"
Hueneme (CA),"1,121"
Grand Haven (MI),"1,110"
Kawaihae (HI),"1,090"
Kelleys Island (OH),"1,081"
Port Huron (MI),971
Sacramento (CA),915
Orange (TX),873
Richmond (VA),822
Richmond (VA),822
Marquette (MI),818
Oswego (NY),805
Redwood City (CA),736
New Bedford (MA),687
Fernandina (FL),644.0
Seward (AK),614.0
Waukegan (IL),560.0
Bucksport (ME),553.0
Juneau (AK),527.0
Ludington (MI),493.0
Mayaguez (PR),419.0
Port Townsend (WA),335.0
Kodiak (AK),299.0
St. Thomas (VI),298.0
Astoria (OR),288.0
Homer (AK),271.0
Christiansted (VI),267.0
