port,Short tons 1993
South Louisiana (LA),"193,796"
Houston (TX),"141,477"
New York/New Jersey,"116,736"
Valdez (AK0,"85,722"
Baton Rouge (LA),"85,079"
New Orleans (LA),"67,037"
Hampton Roads (VA),"65,711"
Corpus Christi (TX),"59,636"
Long Beach (CA),"54,321"
Texas City (TX),"53,653"
Plaquemines (LA),"53,110"
Lake Charles (LA),"45,436"
Tampa (FL),"44,993"
Mobile (AL),"43,960"
Los Angeles (CA),"43,623"
Philadelphia (PA),"42,708"
Port Arthur (TX),"38,327"
Duluth/Superior (MI/WI),"37,679"
Baltimore (MD),"37,170"
Portland (WA),"29,804"
Pascagoula (MS),"27,020"
Beaumont (TX),"25,410"
Chicago (IL),"25,048"
Richmond (CA),"24,570"
Seattle (WA),"21,693"
Boston(MA),"19,448"
Jacksonville (FL),"18,850"
Tacoma (WA),"18,652"
Detroit (MI),"17,422"
Port Everglades (FL),"16,297"
Indiana Harbor (IN),"15,546"
Savannah (GA),"14,963"
San Juan (PR),"14,153"
Cleveland (OH),"14,083"
Freeport (TX),"14,025"
Lorain (OH),"13,677"
Anacortes (WA),"13,124"
Oakland (CA),"12,734"
Toledo (OH),"12,150"
Portland (ME),"11,171"
Two Harbors (MI),"10,711"
Honolulu (HI),"10,595"
Galveston (TX),"9,755"
Taconite (MN),"9,716"
Presque Isle (MI),"9,672"
Charleston (SC),"9,503"
Barbers Point (HI),"9,357"
Burns Waterway (IN),"9,315"
Ashtabula (OH),"8,979"
Stoneport (MI),"8,752"
New Haven (CT),"8,740"
Wilmington (NC),"7,813"
Vancouver (WA),"7,380"
Escanaba (MI),"7,142"
Miami (FL),"6,696"
Providence (RI),"6,558"
Kalama (WA),"6,501"
Calcite (MI),"6,419"
Albany (NY),"6,053"
Port Lavaca (TX),"5,893"
Longview (WA),"5,476"
Coos Bay (OR),"5,413"
Saginaw River (MI),"5,234"
Sandusky (OH),"5,176"
St. Clair (MI),"5,039"
Everett (WA),"4,714"
Camden (NJ),"4,664"
Grays Harbor (WA),"4,383"
Wilmington (DE),"4,106"
Morehead City (NC),"3,999"
Portsmouth(NH),"3,692"
Conneaut (OH),"3,534"
Fall River (MA),"3,458"
Marine City (MI),"3,454"
Canaveral (FL),"3,454"
Bridgeport (CT),"2,942"
Port Manatee,"2,890"
Palm Beach (FL),"2,816"
Green Bay (WI),"2,587"
Panama City (FL),"2,586"
Alpena (MI),"2,547"
Milwaukee (WI),"2,496"
Anchorage (AK),"2,470"
Fairport (OH),"2,403"
San Francisco (CA),"2,340"
Kahului (HI),"2,216"
Drummond Island (MI),"2,205"
Buffalo (NY),"2,109"
Port Angeles (WA),"1,987"
Redwood City (CA),"1,829"
New London (CT),"1,793"
Brownsville (TX),"1,735"
Port Huron (MI),"1,687"
Richmond (VA),"1,669"
Richmond (VA),"1,669"
Pensacola (FL),"1,650"
Muskegon (MI),"1,635"
Brunswick (GA),"1,593"
Ketchikan (AK),"1,564"
Salem (MA),"1,558"
Hilo (HI),"1,469"
Charlevoix (MI),"1,467"
Gulfport (MS),"1,420"
Searsport (ME),"1,407"
San Diego (CA),"1,294"
Nawiliwili (HI),"1,283"
Hopewell (VA),"1,256"
Bellingham (WA),"1,223"
Christiansted (VI),"1,202"
Erie (PA),"1,160"
Bucksport (ME),"1,158"
Georgetown(SC),"1,113"
Stockton (CA),"1,103"
Monroe (MI),"1,078"
Sacramento (CA),"1,078"
Grand Haven (MI),"1,004"
Humboldt Bay (CA),994
Ludington (MI),966
Olympia (WA),924
Seward (AK),862
Marquette (MI),789
Marysville (MI),736
Hueneme (CA),696
Skagway (AK),660
Kawaihae (HI),655
Ponce (PR),595
Orange (TX),579
Waukegan (IL),577
Wrangell (AK),569
Kelleys Island (OH),564
Huron (OH),529
Kodiak (AK),525
Fernandina (FL),520
Oswego (NY),506
New Bedford (MA),503
St. Thomas (VI),491
Mayaguez (PR),478
Homer (AK),472
Astoria (OR),412
Fajardo (PR),310
Port Townsend (WA),201
Juneau (AK),193
Sitka (AK),-
Silver Bay (MN),
Marcus Hook (PA),
Gary (IN),
Paulsboro (NJ),
Buffington (IN),
Port Inland (MI),
