Port,Short tons 2007
Vancouver (WA),"9,708"
New Haven (CT),"9,574"
Providence (RI),"9,225"
Presque Isle (MI),"8,792"
Gary (IN),"8,066"
Wilmington (NC),"7,930"
Bridgeport (CT),"7,628"
Miami (FL),"7,479"
Albany (NY),"7,143"
Camden/Gloucester City (NJ),"6,907"
Stoneport (MI),"6,670"
Calcite (MI),"6,622"
Burns Waterway (IN),"6,495"
Escanaba (MI),"5,861"
Kahului (HI),"5,630"
Silver Bay (MN),"5,627"
Ashtabula (OH),"5,580"
Longview (WA),"5,126"
Conneaut (OH),"5,009"
Port Inland (MI),"4,972"
Brownsville (TX),"4,506"
St. Clair (MI),"4,478"
Wilmington (DE),"4,132"
Marine City (MI),"4,100"
Portsmouth(NH),"4,026"
Milwaukee (WI),"4,019"
Sandusky (OH),"3,880"
Marblehead (OH),"3,845"
Ponce (PR),"3,710"
Fall River (MA),"3,648"
Port Manatee,"3,480"
Alpena (MI),"3,477"
Canaveral (FL),"3,470"
Palm Beach (FL),"3,117"
Morehead City (NC),"3,108"
Lorain (OH),"2,996"
Panama City (FL),"2,846"
Stockton (CA),"2,823"
Hilo (HI),"2,782"
Anchorage (AK),"2,633"
Green Bay (WI),"2,610"
Brunswick (GA),"2,587"
Kawaihae (HI),"2,558"
Everett (WA),"2,554"
Port Dolmite (MI),"2,529"
San Diego (CA),"2,416"
Nawiliwili (HI),"2,333"
Fairport (OH),"2,107"
Muskegon (MI),"2,086"
Coos Bay (OR),"1,934"
San Francisco (CA),"1,913"
Port Angeles (WA),"1,906"
Gulfport (MS),"1,805"
Searsport (ME),"1,782"
Buffalo (NY),"1,618"
Drummond Island (MI),"1,533"
Charlevoix (MI),"1,476"
Hueneme (CA),"1,471"
Erie (PA),"1,253"
Grays Harbor (WA),"1,245"
Buffington (IN),"1,209"
Huron (OH),"1,143"
Marquette (MI),"1,136"
Grand Haven (MI),"1,128"
Redwood City (CA),"1,118"
Hopewell (VA),"1,091"
Monroe (MI),"1,038"
Richmond (VA),"1,013"
Kelleys Island (OH),975
Pensacola (FL),952
Olympia (WA),950
Taconite (MN),889
Marysville (MI),887
Salem (MA),847
Humboldt Bay (CA),722
Sacramento (CA),700
Orange (TX),682
New London (CT),622
Ludington (MI),601
Ketchikan (AK),595
Waukegan (IL),576
Oswego (NY),558
Fernandina (FL),552
New Bedford (MA),425
Homer (AK),423
Juneau (AK),417
Christiansted (VI),364
Mayaguez (PR),363.0
Georgetown(SC),285.0
Seward (AK),251.0
St. Thomas (VI),197.0
Port Townsend (WA),173.0
Kodiak (AK),154.0
Sitka (AK),121.0
Rochester (NY),105.0
Fajardo (PR),101.0
Skagway (AK),76.0
Bellingham (WA),64.0
Astoria (OR),4.0
Port Huron (MI),0.0
Bucksport (ME),
South Louisiana (LA),"229,040"
Houston (TX),"216,064"
New York/New Jersey,"157,202"
Long Beach (CA),"85,940"
Beaumont (TX),"81,384"
Corpus Christi (TX),"81,073"
New Orleans (LA),"76,046"
Los Angeles (CA),"65,502"
Mobile (AL),"64,494"
Lake Charles (LA),"64,234"
Plaquemines (LA),"58,817"
Texas City (TX),"56,787"
Hampton Roads (VA),"5 4,705"
Baton Rouge (LA),"54,624"
Tampa (FL),"46,857"
Duluth/Superior (MI/WI),"46,498"
Baltimore (MD),"41,251"
Paulsboro (NJ),"37,984"
Valdez (AK),"37,775"
Savannah (GA),"36,486"
Pascagoula (MS),"35,195"
Philadelphia (PA),"35,149"
Portland (WA),"31,119"
Freeport (TX),"29,598"
Port Arthur (TX),"29,262"
Seattle (WA),"28,169"
Tacoma (WA),"26,944"
Richmond (CA),"24,992"
Marcus Hook (PA),"24,785"
Chicago (IL),"24,482"
Portland (ME),"24,254"
Port Everglades (FL),"24,216"
Charleston (SC),"22,616"
Boston(MA),"22,370"
Jacksonville (FL),"21,207"
Honolulu (HI),"17,582"
Oakland (CA),"16,912"
Indiana Harbor (IN),"15,026"
Detroit (MI),"14,943"
Anacortes (WA),"14,341"
Two Harbors (MI),"13,672"
Cleveland (OH),"12,793"
Toledo (OH),"12,468"
San Juan (PR),"12,226"
Barbers Point (HI),"11,295"
Port Lavaca (TX),"10,862"
Kalama (WA),"10,400"
Galveston (TX),"9,791"
