port,Short tons 1977
South Louisiana (LA),
New York/New Jersey,"185,292"
Houston (TX),"104,291"
Baton Rouge (LA),"70,008"
New Orleans (LA),"69,146"
Hampton Roads (VA),"52,371"
Philadelphia (PA),"49,711"
Beaumont (TX),"48,919"
Corpus Christi (TX),"46,872"
Tampa (FL),"45,620"
Baltimore (MD),"44,756"
Chicago (IL),"36,136"
Mobile (AL),"35,944"
Plaquemines (LA),"33,973"
Texas City (TX),"33,584"
Duluth/Superior (MI/WI),"33,419"
Long Beach (CA),"32,985"
Los Angeles (CA),"31,326"
Port Arthur (TX),"30,754"
Boston(MA),"25,975"
Lake Charles (LA),"25,401"
Detroit (MI),"25,093"
Pascagoula (MS),"23,833"
Richmond (CA),"23,824"
Toledo (OH),"23,276"
Portland (WA),"21,400"
Portland (ME),"18,326"
Seattle (WA),"16,433"
Cleveland (OH),"16,104"
Indiana Harbor (IN),"15,958"
Freeport (TX),"15,333"
Ashtabula (OH),"15,147"
Conneaut (OH),"15,147"
Jacksonville (FL),"15,108"
Port Everglades (FL),"11,828"
New Haven (CT),"11,119"
Tacoma (WA),"10,699"
Valdez (AK0,"10,667"
Charleston (SC),"10,328"
Wilmington (NC),"10,000"
Savannah (GA),"9,876"
Albany (NY),"9,591"
Galveston (TX),"9,564"
San Juan (PR),"9,401"
Anacortes (WA),"8,968"
Buffalo (NY),"8,696"
Providence (RI),"8,624"
Longview (WA),"8,169"
Coos Bay (OR),"7,599"
Honolulu (HI),"6,882"
Oakland (CA),"6,829"
Barbers Point (HI),"6,631"
Lorain (OH),"6,287"
Fall River (MA),"5,285"
Presque Isle (MI),"5,215"
Everett (WA),"4,589"
St. Clair (MI),"4,586"
Burns Waterway (IN),"4,570"
Sandusky (OH),"4,314"
Milwaukee (WI),"3,946"
Port Lavaca (TX),"3,895"
Two Harbors (MI),"3,846"
Saginaw River (MI),"3,656"
Miami (FL),"3,505"
Portsmouth(NH),"3,500"
Bridgeport (CT),"3,495"
Port Angeles (WA),"3,283"
Pensacola (FL),"3,105"
Alpena (MI),"3,005"
Camden (NJ),"2,938"
Wilmington (DE),"2,918"
Morehead City (NC),"2,875"
Vancouver (WA),"2,833"
Canaveral (FL),"2,807"
New London (CT),"2,650"
Grays Harbor (WA),"2,646"
Astoria (OR),"2,629"
Green Bay (WI),"2,477"
Ludington (MI),"2,449"
Anchorage (AK),"2,267"
San Diego (CA),"2,264"
Fairport (OH),"2,199"
Drummond Island (MI),"2,132"
Brownsville (TX),"2,130"
Ketchikan (AK),"1,966"
Huron (OH),"1,933"
San Francisco (CA),"1,932"
Muskegon (MI),"1,912"
Hueneme (CA),"1,876"
Hilo (HI),"1,813"
Brunswick (GA),"1,745"
Bellingham (WA),"1,718"
Salem (MA),"1,649"
Humboldt Bay (CA),"1,645"
Stockton (CA),"1,521"
Searsport (ME),"1,497"
Sacramento (CA),"1,482"
Panama City (FL),"1,393"
Georgetown(SC),"1,381"
Oswego (NY),"1,346"
Monroe (MI),"1,321"
Kahului (HI),"1,301"
Port Townsend (WA),"1,263"
Bucksport (ME),"1,191"
Hopewell (VA),"1,111"
Gulfport (MS),"1,095"
Skagway (AK),"1,026"
Orange (TX),"1,003"
Erie (PA),955
Kalama (WA),859
Palm Beach (FL),682
Wrangell (AK),630
Marysville (MI),576
Nawiliwili (HI),558
Sitka (AK),555
Olympia (WA),536
Waukegan (IL),477
Redwood City (CA),410
Fernandina (FL),373
Ponce (PR),368
St. Thomas (VI),350
Christiansted (VI),339
Mayaguez (PR),324
Kawaihae (HI),318
Marine City (MI),251
