port,Short tons 1998
South Louisiana (LA),"196,646"
Houston (TX),"169,070"
New York/New Jersey,"137,544"
New Orleans (LA),"88,768"
Corpus Christi (TX),"86,180"
Baton Rouge (LA),"66,835"
Hampton Roads (VA),"66,824"
Plaquemines (LA),"65,806"
Valdez (AK0,"61,946"
Beaumont (TX),"60,052"
Long Beach (CA),"57,745"
Lake Charles (LA),"53,568"
Tampa (FL),"53,223"
Texas City (TX),"49,477"
Mobile (AL),"49,230"
Philadelphia (PA),"47,466"
Los Angeles (CA),"44,144"
Duluth/Superior (MI/WI),"42,443"
Baltimore (MD),"40,114"
Portland (WA),"29,974"
Port Arthur (TX),"29,557"
Freeport (TX),"29,014"
Pascagoula (MS),"26,404"
Chicago (IL),"25,958"
Paulsboro (NJ),"23,504"
Marcus Hook (PA),"22,743"
Seattle (WA),"22,594"
Port Everglades (FL),"21,782"
Boston(MA),"21,222"
Jacksonville (FL),"21,190"
Detroit (MI),"19,454"
Richmond (CA),"19,020"
Charleston (SC),"18,689"
Cleveland (OH),"17,865"
Savannah (GA),"17,711"
Tacoma (WA),"17,400"
Ashtabula (OH),"15,602"
San Juan (PR),"15,279"
Portland (ME),"15,064"
Indiana Harbor (IN),"14,910"
Lorain (OH),"14,166"
Honolulu (HI),"13,723"
Toledo (OH),"13,229"
Two Harbors (MI),"13,223"
Anacortes (WA),"11,948"
Oakland (CA),"11,148"
Galveston (TX),"11,049"
Presque Isle (MI),"10,483"
Calcite (MI),"9,389"
New Haven (CT),"9,193"
Stoneport (MI),"9,114"
Gary (IN),"9,083"
Burns Waterway (IN),"9,006"
Taconite (MN),"8,761"
Escanaba (MI),"8,530"
Port Lavaca (TX),"8,040"
Providence (RI),"8,028"
Vancouver (WA),"7,849"
Conneaut (OH),"7,786"
Wilmington (NC),"7,410"
Miami (FL),"7,392"
Albany (NY),"6,723"
Barbers Point (HI),"6,658"
Saginaw River (MI),"5,609"
St. Clair (MI),"5,533"
Camden (NJ),"5,492"
Port Inland (MI),"5,489"
Morehead City (NC),"5,260"
Silver Bay (MN),"5,182"
Wilmington (DE),"4,998"
Kalama (WA),"4,717"
Bridgeport (CT),"4,626"
Sandusky (OH),"4,334"
Longview (WA),"4,279"
Marine City (MI),"4,252"
Portsmouth(NH),"4,194"
Port Dolmite (MI),"4,095"
Marblehead (OH),"3,975"
Canaveral (FL),"3,795"
Fall River (MA),"3,776"
Anchorage (AK),"3,589"
Everett (WA),"3,321"
Palm Beach (FL),"3,149"
Milwaukee (WI),"3,108"
Alpena (MI),"3,078"
Fairport (OH),"2,880"
Kahului (HI),"2,851"
Brownsville (TX),"2,799"
Coos Bay (OR),"2,773"
Panama City (FL),"2,683"
Ponce (PR),"2,677"
Brunswick (GA),"2,615"
Port Manatee,"2,419"
Port Angeles (WA),"2,417"
Green Bay (WI),"2,353"
Buffalo (NY),"2,341"
Gulfport (MS),"2,207"
New London (CT),"2,036"
Muskegon (MI),"1,936"
Monroe (MI),"1,929"
San Diego (CA),"1,873"
Buffington (IN),"1,823"
Salem (MA),"1,692"
Georgetown(SC),"1,631"
Hilo (HI),"1,630"
Drummond Island (MI),"1,582"
Pensacola (FL),"1,580"
Grays Harbor (WA),"1,488"
Olympia (WA),"1,423"
Stockton (CA),"1,339"
San Francisco (CA),"1,330"
Searsport (ME),"1,329"
Hueneme (CA),"1,328"
Erie (PA),"1,296"
Marysville (MI),"1,282"
Charlevoix (MI),"1,281"
Bellingham (WA),"1,244"
Huron (OH),"1,192"
Hopewell (VA),"1,183"
Kelleys Island (OH),"1,173"
Richmond (VA),"1,089"
Richmond (VA),"1,089"
Ludington (MI),"1,075"
Humboldt Bay (CA),"1,072"
Grand Haven (MI),"1,014"
Nawiliwili (HI),938
Ketchikan (AK),937
Sacramento (CA),925
Kawaihae (HI),886
Bucksport (ME),876
Marquette (MI),869
Redwood City (CA),863
Port Huron (MI),843
Orange (TX),756
Christiansted (VI),642
Fernandina (FL),572.0
Waukegan (IL),555.0
New Bedford (MA),533.0
Oswego (NY),471.0
Port Townsend (WA),456.0
Mayaguez (PR),452.0
Fajardo (PR),426.0
St. Thomas (VI),380.0
Seward (AK),380.0
Homer (AK),338.0
Juneau (AK),320.0
Astoria (OR),306.0
Kodiak (AK),207.0
Skagway (AK),197.0
