port,Short tons 1975
South Louisiana (LA),
New York/New Jersey,"177,815"
Houston (TX),"83,674"
Hampton Roads (VA),"66,937"
Baton Rouge (LA),"60,226"
New Orleans (LA),"56,846"
Baltimore (MD),"52,661"
Philadelphia (PA),"52,030"
Chicago (IL),"42,589"
Tampa (FL),"39,858"
Plaquemines (LA),"38,813"
Corpus Christi (TX),"35,487"
Duluth/Superior (MI/WI),"33,607"
Mobile (AL),"32,453"
Los Angeles (CA),"30,747"
Beaumont (TX),"30,583"
Portland (ME),"27,566"
Port Arthur (TX),"26,598"
Long Beach (CA),"26,587"
Detroit (MI),"26,488"
Boston(MA),"24,720"
Texas City (TX),"23,864"
Toledo (OH),"23,629"
Pascagoula (MS),"19,951"
Portland (WA),"19,600"
Conneaut (OH),"19,192"
Ashtabula (OH),"19,192"
Cleveland (OH),"18,145"
Lake Charles (LA),"17,463"
Indiana Harbor (IN),"17,126"
Seattle (WA),"15,008"
Richmond (CA),"14,358"
Jacksonville (FL),"13,496"
New Haven (CT),"11,433"
Port Everglades (FL),"10,522"
San Juan (PR),"10,522"
Two Harbors (MI),"9,606"
Albany (NY),"9,260"
Charleston (SC),"8,380"
Providence (RI),"8,266"
Freeport (TX),"8,194"
Wilmington (NC),"7,939"
Honolulu (HI),"7,935"
Tacoma (WA),"7,898"
Lorain (OH),"7,650"
Buffalo (NY),"7,614"
Savannah (GA),"7,593"
Longview (WA),"7,380"
Coos Bay (OR).1,"6,376"
Oakland (CA),"6,186"
Burns Waterway (IN),"6,093"
Galveston (TX),"5,971"
Barbers Point (HI),"5,186"
Anacortes (WA),"4,852"
Fall River (MA),"4,834"
Sandusky (OH),"4,533"
Everett (WA),"4,367"
Port Lavaca (TX),"4,343"
Presque Isle (MI),"3,847"
Miami (FL),"3,585"
Milwaukee (WI),"3,509"
New London (CT),"3,481"
Vancouver (WA),"3,467"
Astoria (OR),"3,234"
Wilmington (DE),"3,227"
Fairport (OH),"3,020"
Portsmouth(NH),"2,943"
Canaveral (FL),"2,937"
Anchorage (AK),"2,936"
Bridgeport (CT),"2,860"
Alpena (MI),"2,856"
Brownsville (TX),"2,829"
Port Angeles (WA),"2,727"
Saginaw River (MI),"2,705"
St. Clair (MI),"2,686"
Green Bay (WI),"2,608"
Camden (NJ),"2,591"
Grays Harbor (WA),"2,587"
San Francisco (CA),"2,479"
San Diego (CA),"2,351"
Drummond Island (MI),"2,341"
Pensacola (FL),"2,262"
Ludington (MI),"2,124"
Huron (OH),"2,116"
Muskegon (MI),"1,945"
Salem (MA),"1,936"
Bellingham (WA),"1,883"
Stockton (CA),"1,856"
Sacramento (CA),"1,696"
Panama City (FL),"1,616"
Ketchikan (AK),"1,563"
Kalama (WA),"1,549"
Morehead City (NC),"1,522"
Brunswick (GA),"1,430"
Skagway (AK),"1,416"
Searsport (ME),"1,366"
Georgetown(SC),"1,360"
Humboldt Bay (CA),"1,358"
Hopewell (VA),"1,234"
Erie (PA),"1,218"
Monroe (MI),"1,185"
Bucksport (ME),"1,145"
Kahului (HI),"1,109"
Port Townsend (WA),"1,107"
Hilo (HI),"1,054"
Palm Beach (FL),"1,023"
Hueneme (CA),"1,007"
Wrangell (AK),956
Gulfport (MS),922
Orange (TX),912
Oswego (NY),848
Valdez (AK0,654
Ponce (PR),566
Marysville (MI),560
Nawiliwili (HI),533
Christiansted (VI),473
Olympia (WA),459
Redwood City (CA),429
Sitka (AK),388
Fernandina (FL),354
St. Thomas (VI),351
Waukegan (IL),342
Mayaguez (PR),293
Kawaihae (HI),280
Marine City (MI),146
