port,Short tons 1997
South Louisiana (LA),"183,628"
Houston (TX),"165,456"
New York/New Jersey,"135,266"
New Orleans (LA),"89,442"
Corpus Christi (TX),"86,844"
Baton Rouge (LA),"84,023"
Valdez (AK0,"73,647"
Hampton Roads (VA),"67,077"
Plaquemines (LA),"63,607"
Long Beach (CA),"57,255"
Texas City (TX),"56,646"
Tampa (FL),"55,334"
Lake Charles (LA),"51,279"
Mobile (AL),"49,120"
Beaumont (TX),"48,665"
Philadelphia (PA),"44,968"
Duluth/Superior (MI/WI),"41,929"
Los Angeles (CA),"41,774"
Baltimore (MD),"40,029"
Port Arthur (TX),"37,318"
Pascagoula (MS),"31,270"
Portland (WA),"29,651"
Seattle (WA),"26,564"
Freeport (TX),"26,281"
Chicago (IL),"24,868"
Paulsboro (NJ),"24,392"
Richmond (CA),"21,706"
Marcus Hook (PA),"21,520"
Boston(MA),"20,893"
Tacoma (WA),"20,683"
Port Everglades (FL),"19,925"
Jacksonville (FL),"18,186"
Detroit (MI),"18,135"
Cleveland (OH),"18,113"
Savannah (GA),"17,929"
Charleston (SC),"17,874"
Indiana Harbor (IN),"16,524"
Portland (ME),"16,334"
Lorain (OH),"15,955"
Toledo (OH),"14,422"
San Juan (PR),"14,067"
Anacortes (WA),"13,904"
Two Harbors (MI),"13,508"
Honolulu (HI),"12,704"
Ashtabula (OH),"11,929"
Presque Isle (MI),"11,201"
Oakland (CA),"10,858"
Gary (IN),"10,417"
Burns Waterway (IN),"10,414"
Galveston (TX),"10,126"
Calcite (MI),"10,036"
New Haven (CT),"9,594"
Port Lavaca (TX),"9,429"
Providence (RI),"8,814"
Taconite (MN),"8,607"
Kalama (WA),"8,301"
Barbers Point (HI),"8,162"
Stoneport (MI),"8,101"
Vancouver (WA),"7,838"
Wilmington (NC),"7,441"
Escanaba (MI),"7,261"
Albany (NY),"6,819"
Miami (FL),"6,612"
Camden (NJ),"6,570"
Conneaut (OH),"6,205"
Saginaw River (MI),"5,730"
St. Clair (MI),"5,699"
Longview (WA),"5,540"
Silver Bay (MN),"5,489"
Bridgeport (CT),"5,340"
Port Inland (MI),"5,305"
Morehead City (NC),"5,201"
Sandusky (OH),"4,403"
Wilmington (DE),"4,401"
Marine City (MI),"4,001"
Port Dolmite (MI),"3,992"
Portsmouth(NH),"3,954"
Everett (WA),"3,640"
Marblehead (OH),"3,619"
Anchorage (AK),"3,424"
Fall River (MA),"3,394"
Fairport (OH),"3,296"
Milwaukee (WI),"3,265"
Coos Bay (OR),"3,164"
Canaveral (FL),"3,147"
Port Manatee,"3,108"
Palm Beach (FL),"2,922"
Alpena (MI),"2,901"
Kahului (HI),"2,895"
Panama City (FL),"2,878"
Monroe (MI),"2,750"
Brunswick (GA),"2,698"
Gulfport (MS),"2,448"
Port Angeles (WA),"2,377"
Brownsville (TX),"2,284"
Green Bay (WI),"2,130"
Muskegon (MI),"2,061"
Olympia (WA),"1,997"
New London (CT),"1,915"
Buffalo (NY),"1,894"
San Diego (CA),"1,724"
Pensacola (FL),"1,674"
Stockton (CA),"1,647"
Salem (MA),"1,599"
Drummond Island (MI),"1,560"
Bellingham (WA),"1,555"
Searsport (ME),"1,537"
Georgetown(SC),"1,535"
Charlevoix (MI),"1,529"
Buffington (IN),"1,500"
Hilo (HI),"1,489"
Grays Harbor (WA),"1,486"
Hopewell (VA),"1,362"
Redwood City (CA),"1,293"
Ketchikan (AK),"1,241"
Humboldt Bay (CA),"1,175"
Kelleys Island (OH),"1,170"
Erie (PA),"1,163"
Bucksport (ME),"1,153"
Sacramento (CA),"1,143"
Marysville (MI),"1,142"
Richmond (VA),"1,121"
Richmond (VA),"1,121"
Nawiliwili (HI),"1,091"
San Francisco (CA),"1,003"
Hueneme (CA),988
Grand Haven (MI),988
Kawaihae (HI),980
Ponce (PR),948
Christiansted (VI),888
Ludington (MI),864
Huron (OH),856
Kodiak (AK),853
Seward (AK),842
Orange (TX),691
Marquette (MI),689.0
Oswego (NY),640.0
Port Huron (MI),588.0
Juneau (AK),583.0
New Bedford (MA),554.0
Fernandina (FL),533.0
Waukegan (IL),473.0
Mayaguez (PR),424.0
Port Townsend (WA),412.0
St. Thomas (VI),383.0
Fajardo (PR),349.0
Homer (AK),302.0
Astoria (OR),298.0
Skagway (AK),258.0
