port,Short tons 1974
South Louisiana (LA),
New York/New Jersey,"195,096"
Houston (TX),"89,106"
Hampton Roads (VA),"73,102"
New Orleans (LA),"60,590"
Philadelphia (PA),"59,920"
Baltimore (MD),"59,891"
Baton Rouge (LA),"59,126"
Chicago (IL),"45,886"
Tampa (FL),"40,919"
Duluth/Superior (MI/WI),"40,345"
Plaquemines (LA),"39,990"
Beaumont (TX),"33,504"
Mobile (AL),"33,154"
Corpus Christi (TX),"32,844"
Port Arthur (TX),"27,800"
Portland (ME),"27,606"
Detroit (MI),"27,541"
Long Beach (CA),"26,894"
Los Angeles (CA),"25,919"
Boston(MA),"25,729"
Cleveland (OH),"21,934"
Toledo (OH),"21,557"
Portland (WA),"20,771"
Texas City (TX),"20,152"
Indiana Harbor (IN),"17,165"
Conneaut (OH),"16,566"
Ashtabula (OH),"16,566"
Lake Charles (LA),"16,565"
Jacksonville (FL),"14,795"
Richmond (CA),"14,764"
Seattle (WA),"14,252"
Pascagoula (MS),"13,073"
New Haven (CT),"12,055"
San Juan (PR),"11,805"
Port Everglades (FL),"11,557"
Buffalo (NY),"10,442"
Two Harbors (MI),"9,789"
Savannah (GA),"9,699"
Albany (NY),"9,610"
Wilmington (NC),"9,381"
Lorain (OH),"9,077"
Charleston (SC),"8,993"
Freeport (TX),"8,899"
Providence (RI),"8,856"
Longview (WA),"7,698"
Coos Bay (OR),"7,633"
Tacoma (WA),"7,600"
Honolulu (HI),"7,557"
Galveston (TX),"7,171"
Oakland (CA),"6,812"
Burns Waterway (IN),"6,054"
Fall River (MA),"5,122"
Port Lavaca (TX),"4,931"
New London (CT),"4,579"
Barbers Point (HI),"4,360"
Everett (WA),"4,321"
Milwaukee (WI),"4,264"
Sandusky (OH),"4,221"
Saginaw River (MI),"4,180"
Miami (FL),"4,141"
Anacortes (WA),"3,972"
San Francisco (CA),"3,914"
Wilmington (DE),"3,889"
Grays Harbor (WA),"3,495"
Huron (OH),"3,325"
Bridgeport (CT),"3,295"
Canaveral (FL),"3,242"
Vancouver (WA),"3,142"
Presque Isle (MI),"3,118"
Alpena (MI),"3,082"
St. Clair (MI),"3,075"
Camden (NJ),"3,066"
Port Angeles (WA),"2,990"
Fairport (OH),"2,938"
Drummond Island (MI),"2,910"
Brownsville (TX),"2,837"
Green Bay (WI),"2,531"
Muskegon (MI),"2,508"
Portsmouth(NH),"2,364"
Anchorage (AK),"2,340"
Pensacola (FL),"2,239"
Astoria (OR),"2,234"
Ludington (MI),"2,179"
Ketchikan (AK),"2,162"
San Diego (CA),"2,115"
Salem (MA),"2,031"
Brunswick (GA),"1,966"
Bellingham (WA),"1,946"
Panama City (FL),"1,891"
Georgetown(SC),"1,620"
Skagway (AK),"1,515"
Morehead City (NC),"1,513"
Stockton (CA),"1,476"
Humboldt Bay (CA),"1,398"
Sacramento (CA),"1,347"
Port Townsend (WA),"1,338"
Orange (TX),"1,331"
Kalama (WA),"1,252"
Searsport (ME),"1,216"
Olympia (WA),"1,216"
Hopewell (VA),"1,156"
Bucksport (ME),"1,154"
Palm Beach (FL),"1,097"
Wrangell (AK),"1,023"
Hueneme (CA),984
Kahului (HI),982
Sitka (AK),970
Ponce (PR),961
Hilo (HI),929
Erie (PA),903
Oswego (NY),902
Gulfport (MS),821
Marysville (MI),578
Christiansted (VI),543
Waukegan (IL),474
Redwood City (CA),447
Nawiliwili (HI),380
Fernandina (FL),373
St. Thomas (VI),372
Valdez (AK0,357
Mayaguez (PR),308
Kawaihae (HI),291
Marine City (MI),233
Monroe (MI),216
