Port,Short tons 2005
"South Louisiana, LA","212,245"
"Houston, TX","211,666"
New York/New Jersey,"152,132"
Huntington - Tristate,"83,889"
"Long Beach, CA","79,858"
"Beaumont, TX","78,887"
"Corpus Christi, TX","77,647"
"New Orleans, LA","65,876"
"Baton Rouge, LA","59,294"
"Texas City, TX","57,839"
"Mobile, AL","57,665"
"Los Angeles, CA","54,894"
"Lake Charles, LA","52,725"
"Tampa, FL","49,174"
"Hampton Roads, VA","48,953"
"Plaquemines, LA","47,872"
"Duluth-Superior, MN and WI","44,722"
"Valdez, AK","44,448"
"Baltimore, MD","44,113"
"Pittsburgh, PA","43,624"
"Philadelphia, PA","39,365"
"Freeport, TX","33,602"
"Paulsboro, NJ","32,072"
"St. Louis, MO and IL","30,347"
"Savannah, GA","30,114"
"Pascagoula, MS","29,324"
"Portland, ME","29,286"
"Tacoma, WA","28,289"
"Portland, OR","28,127"
"Seattle, WA","28,081"
"Port Arthur, TX","26,385"
"Chicago, IL","25,821"
"Charleston, SC","25,439"
"Port Everglades, FL","24,684"
"Richmond, CA","24,513"
"Boston, MA","22,378"
"Jacksonville, FL","21,777"
"Honolulu, HI","20,394"
"Marcus Hook, PA","20,255"
"Detroit, MI","17,448"
"Memphis, TN","17,095"
"Oakland, CA","16,627"
"Anacortes, WA","15,777"
"Cincinnati, OH","14,587"
"Indiana Harbor, IN","14,120"
"Cleveland, OH","13,641"
"San Juan, PR","13,365"
"Port Lavaca/Point Comfort, TX","11,607"
"Presque Isle, MI","10,983"
"Two Harbors, MN","10,959"
"New Haven, CT","10,931"
"Toledo, OH","10,504"
"Kalama, WA","10,318"
"Providence, RI","10,045"
"Burns Waterway Harbor, IN","9,812"
"New Castle, DE","9,794"
"Ashtabula, OH","9,714"
"Miami, FL","9,048"
"Louisville, KY","8,503"
"Wilmington, DE","8,445"
"Wilmington, NC","8,042"
"Galveston, TX","8,008"
"Camden-Gloucester, NJ","7,732"
"Nikishka, AK","7,462"
"Conneaut, OH","7,405"
"Gary, IN","7,303"
"Calcite, MI","7,288"
"Albany, NY","7,250"
"Stoneport, MI","6,785"
"Barbers Point, Oahu, HI","6,344"
"Vancouver, WA","6,266"
"Mount Vernon, IN","5,846"
"Bridgeport, CT","5,482"
"Portsmouth, NH","5,254"
"Longview, WA","5,178"
"Silver Bay, MN","5,177"
"Brownsville, TX","5,105"
"Escanaba, MI","5,073"
"St. Paul, MN","4,998"
"Port Inland, MI","4,946"
"Port Canaveral, FL","4,944"
"Port Manatee, FL","4,470"
"Nashville, TN","4,454"
"Marine City, MI","4,225"
"St. Clair, MI","4,151"
"Kahului, Maui, HI","4,132"
"Vicksburg, MS","4,057"
"Port Dolomite, MI","3,987"
"Palm Beach, FL","3,965"
"Morehead City, NC","3,954"
"Milwaukee, WI","3,805"
"Sandusky, OH","3,555"
"Anchorage, AK","3,527"
"Marblehead, OH","3,496"
"Kansas City, MO","3,280"
"Alpena, MI","3,229"
"Victoria, TX","3,224"
"San Diego, CA","3,218"
"Fall River, MA","3,157"
"Panama City, FL","3,153"
"Lorain, OH","3,055"
"Kivilina, AK","2,780"
"Green Bay, WI","2,728"
"Stockton, CA","2,643"
"Ponce, PR","2,608"
"Chattanooga, TN","2,600"
"Greenville, MS","2,528"
"Taconite, MN","2,508"
"Penn Manor, PA","2,501"
"Fairport Harbor, OH","2,452"
"Brunswick, GA","2,347"
"Everett, WA","2,318"
"San Francisco, CA","2,303"
"Coos Bay, OR","2,244"
"Kawaihae Harbor, HI","2,217"
"Chester, PA","2,118"
"Muskegon, MI","2,063"
"Hilo, HI","1,996"
"Nawiliwili, Kauai, HI","1,977"
"Searsport, ME","1,965"
"Port Angeles, WA","1,853"
"Guntersville, AL","1,840"
"Richmond, VA","1,827"
"Gulfport, MS","1,780"
"Tulsa, Port of Catoosa, OK","1,752"
"Grays Harbor, WA","1,670"
"Buffalo, NY","1,611"
"Port Hueneme, CA","1,611"
"Monroe, MI","1,587"
"Grand Haven, MI","1,475"
"Drummond Island, MI","1,460"
"Olympia, WA","1,460"
"Biloxi, MS","1,452"
"Helena, AR","1,314"
"Salem, MA","1,313"
"Redwood City, CA","1,306"
"Charlevoix, MI","1,295"
"Pensacola, FL","1,285"
"Marysville, MI","1,259"
"Buffington, IN","1,157"
"Marquette, MI","1,121"
"Trenton, NJ","1,089"
"Erie, PA","1,066"
"Humboldt, CA","1,063"
"Huron, OH","1,032"
"Hopewell, VA","1,007"
"Hempstead, NY",928
"Minneapolis, MN",927
