,0,1,2,3,4,5,6,7
21,20.0,20,20,Busan,Charleston SC,30,Sea Lead/TS Lines ‐ Asia East Coast‐AEC,"Asia: Russian Far East, Japan, Korea"
22,21.0,21,21,Busan,Charleston SC,31,THE Alliance ‐ North America East Coast‐EC1,"Asia: Russian Far East, Japan, Korea"
23,22.0,22,22,Busan,Charleston SC,39,CMA CGM/APL ‐‐ COSCO/Evergreen Line ‐ Chesapeake Bay Express‐CBX,"Asia: Russian Far East, Japan, Korea"
24,23.0,23,23,Busan,Charleston SC,46,THE Alliance ‐ North America East Coast 2‐EC2,"Asia: Russian Far East, Japan, Korea"
25,24.0,24,24,Cai Mep (near Ho Chi Minh),Charleston SC,28,ZIM ‐‐ 2M Alliance ‐ ZSE rtw,Asia: Southeast Asia
26,25.0,25,25,Cai Mep (near Ho Chi Minh),Charleston SC,39,THE Alliance ‐ North America East Coast‐EC4,Asia: Southeast Asia
27,26.0,26,26,Cai Mep (near Ho Chi Minh),Charleston SC,47,OCEAN Alliance ‐‐ ANL ‐ South Atlantic Express‐ECX1/AWE4 rtw,Asia: Southeast Asia
28,27.0,27,27,Cai Mep (near Ho Chi Minh),Charleston SC,56,OCEAN Alliance ‐‐ ANL ‐ Columbus JAX‐CJX,Asia: Southeast Asia
29,28.0,28,28,Cape Town,Charleston SC,36,MSC/Maersk Line ‐ America Express‐AMEX,Africa (excluding Med)
30,29.0,29,29,Cartagena Colombia,Charleston SC,9,Maersk Line ‐‐ Alianca/Hamburg Sud/Hapag‐Lloyd/MSC/SeaLand ‐ OC1,Caribbean/North Coast of South America
31,30.0,30,30,Cartagena Colombia,Charleston SC,15,Hamburg Sud/Hapag‐Lloyd ‐‐ APL/CMA CGM/Maersk Line/SeaLand ‐ AGAS/USW,Caribbean/North Coast of South America
32,31.0,31,31,Colombo,Charleston SC,46,OCEAN Alliance ‐‐ ANL ‐ Columbus JAX‐CJX,Indian Subcontinent
33,32.0,32,32,"Colon, Panama",Charleston SC,13,OCEAN Alliance ‐‐ ANL ‐ South Atlantic Express‐ECX1/AWE4 rtw,Central America
34,33.0,33,33,"Colon, Panama",Charleston SC,16,OCEAN Alliance ‐‐ ANL ‐ NUE,Central America
35,34.0,34,34,Cristobal Panama,Charleston SC,11,Maersk Line ‐‐ Alianca/Hamburg Sud/Hapag‐Lloyd/MSC/SeaLand ‐ OC1,Central America
36,35.0,35,35,Damietta Egypt,Charleston SC,29,Hapag‐Lloyd/CMA CGM/ONE/OOCL ‐‐ ANL/APL ‐ India East Coast Express‐INDAMEX,Mediterranean
37,36.0,36,36,Dubai Jebel Ali,Charleston SC,31,MSC ‐ Indus Express,Mideast
38,37.0,37,37,Dubai Jebel Ali,Charleston SC,34,Maersk Line ‐‐ APL/SeaLand ‐ MECL1,Mideast
39,38.0,38,38,Durban,Charleston SC,41,MSC/Maersk Line ‐ America Express‐AMEX,Africa (excluding Med)
40,39.0,39,39,Freeport Bahamas,Charleston SC,2,2M Alliance ‐‐ Hamburg Sud/SeaLand ‐ TA3/NEUATL3,Caribbean/North Coast of South America
41,40.0,40,40,Genoa IT,Charleston SC,25,2M Alliance ‐‐ Hamburg Sud ‐ MEDUSEC/TA5,Mediterranean
42,41.0,41,41,Gioia Tauro,Charleston SC,33,2M Alliance ‐‐ Hamburg Sud ‐ MEDUSEC/TA5,Mediterranean
43,42.0,42,42,Haifa,Charleston SC,12,MSC ‐ Indus Express,Mediterranean
44,43.0,43,43,Haiphong,Charleston SC,34,Wan Hai ‐ Asia America Service IX‐AA9 rtw,Asia: Southeast Asia
45,44.0,44,44,Haiphong,Charleston SC,37,MSC ‐ Santana Service,Asia: Southeast Asia
46,45.0,45,45,Hamburg,Charleston SC,11,THE Alliance ‐ Transatlantic Loop 3‐AL3,North Europe
47,46.0,46,46,Hong Kong,Charleston SC,40,THE Alliance ‐ North America East Coast‐EC1,"Asia: Taiwan, China, Hong Kong"
48,47.0,47,47,Hong Kong,Charleston SC,42,OCEAN Alliance ‐‐ ANL ‐ South Atlantic Express‐ECX1/AWE4 rtw,"Asia: Taiwan, China, Hong Kong"
49,48.0,48,48,Iskenderun,Charleston SC,25,COSCO/ONE ‐‐ OOCL ‐ EMA,Mediterranean
50,49.0,49,49,Jakarta,Charleston SC,40,Maersk/SeaLand ‐ Asia‐USEC‐TP20 rtw,Asia: Southeast Asia
51,50.0,50,50,Kaohsiung,Charleston SC,30,Wan Hai ‐ Asia America Service IX‐AA9 rtw,"Asia: Taiwan, China, Hong Kong"
52,51.0,51,51,Kaohsiung,Charleston SC,41,THE Alliance ‐ North America East Coast‐EC1,"Asia: Taiwan, China, Hong Kong"
