,OriginDestinationTransitServiceDestination Trade Region
55,Charleston SCMontevideo20Hamburg Sud/Hapag‐Lloyd ‐‐ Alianca/Maersk Line/SeaLand ‐ TANGO/SECEast Coast of South America
56,Charleston SCMumbai (Nhava Sheva)25Hapag‐Lloyd/CMA CGM/ONE/OOCL ‐‐ ANL/APL ‐ India East Coast Express‐INDAME Indian Subcontinent
57,Charleston SCMumbai (Nhava Sheva)45MSC ‐ Indus ExpressIndian Subcontinent
58,Charleston SCMundra27Hapag‐Lloyd/CMA CGM/ONE/OOCL ‐‐ ANL/APL ‐ India East Coast Express‐INDAME Indian Subcontinent
59,Charleston SCMundra47MSC ‐ Indus ExpressIndian Subcontinent
60,"Charleston SCNansha29Sea Lead/TS Lines ‐ Asia East Coast‐AECAsia: Taiwan, China, Hong Kong"
61,Charleston SCNapier46Maersk Line ‐‐ Alianca/Hamburg Sud/Hapag‐Lloyd/MSC/SeaLand ‐ OC1Oceania
62,Charleston SCNaples IT192M Alliance ‐‐ Hamburg Sud ‐ MEDUSEC/TA5Mediterranean
63,"Charleston SCNingbo17CMA CGM/APL ‐‐ COSCO/Evergreen Line ‐ Chesapeake Bay Express‐CBXAsia: Taiwan, China, Hong Kong"
64,"Charleston SCNingbo30THE Alliance ‐ North America East Coast 2‐EC2Asia: Taiwan, China, Hong Kong"
65,"Charleston SCNingbo30Sea Lead/TS Lines ‐ Asia East Coast‐AECAsia: Taiwan, China, Hong Kong"
