, Year, TYPE,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,TOTAL
45,2016.0,IMPORT EMPTY,"3,425","5,238","6,596","3,060","3,691","3,550","4,575","4,512 5,121","4,732","7,984","6,836","59,321"
46,2016.0,LOADED,"66,295","69,477","74,288","68,813","77,225","71,822","81,120","77,223 74,009","78,341","73,910","70,813","883,334"
47,2016.0,TOTAL,"69,720","74,716","80,884","71,873","80,916","75,372","85,695","81,735 79,130","83,074","81,894","77,649","942,655"
48,2016.0,SUBTOTAL,"145,092","157,962","170,740","157,959","177,865","157,207","177,265","180,153 162,858","169,477","175,217","164,480","1,996,276"
49,2015.0,EXPORT EMPTY,"22,982","17,835","24,985","24,167","32,991","29,627","33,751","31,363 32,088","25,535","25,518","21,158","321,999"
50,2015.0,LOADED,"55,859","64,063","66,428","62,946","65,657","61,976","60,038","62,762 60,504","59,961","59,482","53,739","733,413"
51,2015.0,TOTAL,"78,841","81,897","91,413","87,113","98,648","91,602","93,789","94,125 92,592","85,496","85,000","74,896","1,055,412"
52,2015.0,IMPORT EMPTY,"8,976","9,542","10,286","10,306","7,092","6,776","5,768","5,575 4,531","5,192","5,109","3,441","82,593"
53,2015.0,LOADED,"65,101","61,486","69,414","70,763","76,069","71,535","75,666","70,827 70,426","74,046","63,485","66,381","835,197"
54,2015.0,TOTAL,"74,077","71,028","79,700","81,069","83,161","78,311","81,434","76,402 74,957","79,238","68,594","69,822","917,790"
55,2015.0,SUBTOTAL,"152,917","152,925","171,113","168,182","181,809","169,913","175,223","170,528 167,549","164,734","153,594","144,718","1,973,202"
56,2014.0,EXPORT EMPTY,"13,266","12,641","12,341","18,995","19,394","23,037","23,450","25,878 22,486","25,990","20,376","20,993","238,847"
57,2014.0,LOADED,"53,013","53,661","64,272","60,641","64,102","56,802","55,739","60,727 56,216","60,174","57,519","54,578","697,440"
58,2014.0,TOTAL,"66,279","66,302","76,613","79,636","83,496","79,839","79,189","86,604 78,702","86,163","77,894","75,571","936,287"
59,2014.0,IMPORT EMPTY,"8,859","10,277","10,923","9,173","13,459","7,237","8,840","11,913 9,432","8,182","6,237","5,581","110,112"
60,2014.0,LOADED,"54,425","53,169","62,980","62,982","64,704","62,107","65,888","65,453 62,655","70,326","60,087","60,804","745,578"
61,2014.0,TOTAL,"63,283","63,445","73,903","72,154","78,163","69,344","74,728","77,366 72,087","78,508","66,324","66,385","855,690"
62,2014.0,SUBTOTAL,"129,562","129,747","150,516","151,790","161,658","149,183","153,916","163,970 150,790","164,672","144,218","141,956","1,791,977"
63,2013.0,EXPORT EMPTY,"16,224","9,954","12,210","17,058","17,035","13,937","19,942","20,893 17,863","20,085","15,034","13,928","194,162"
64,2013.0,LOADED,"46,812","58,022","57,193","54,832","55,837","52,541","48,598","57,065 52,321","53,010","55,448","49,221","640,897"
65,2013.0,TOTAL,"63,036","67,976","69,403","71,890","72,872","66,478","68,539","77,958 70,183","73,094","70,482","63,149","835,059"
66,2013.0,IMPORT EMPTY,"8,259","8,576","12,588","9,178","7,900","7,414","10,988","6,670 7,885","9,129","8,336","8,851","105,774"
67,2013.0,LOADED,"49,992","55,083","54,886","53,650","58,371","51,365","56,631","60,021 54,943","58,825","54,663","52,103","660,533"
68,2013.0,TOTAL,"58,251","63,659","67,474","62,828","66,271","58,780","67,620","66,691 62,828","67,955","62,999","60,954","766,307"
69,2013.0,SUBTOTAL,"121,286","131,634","136,877","134,718","139,143","125,257","136,159","144,649 133,011","141,049","133,481","124,103","1,601,366"
70,2012.0,EXPORT EMPTY,"12,169","8,938","14,564","16,333","15,971","15,459","19,200","18,584 18,194","18,189","12,105","10,849","180,553"
71,2012.0,LOADED,"43,327","50,439","53,445","47,230","50,349","45,679","48,774","50,697 52,983","45,383","50,573","56,155","595,033"
72,2012.0,TOTAL,"55,496","59,376","68,008","63,563","66,320","61,138","67,974","69,281 71,176","63,572","62,678","67,004","775,585"
73,2012.0,IMPORT EMPTY,"7,979","9,970","10,746","6,980","6,348","8,370","4,941","7,088 7,238","5,036","8,644","8,691","92,030"
74,2012.0,LOADED,"49,100","49,706","56,104","52,895","59,830","51,457","58,853","60,670 53,272","52,202","54,458","48,425","646,969"
75,2012.0,TOTAL,"57,079","59,676","66,849","59,875","66,177","59,827","63,794","67,758 60,510","57,238","63,102","57,116","739,000"
